"browser","language","benchmark","avg_energy"
"chrome","c","mandelbrot",3.6718423445
"chrome","c","mandelbrot",3.22752385
"chrome","c","mandelbrot",4.2249804465
"chrome","c","mandelbrot",3.1759862335
"chrome","c","mandelbrot",3.439162825
"chrome","c","mandelbrot",5.174314575
"chrome","c","mandelbrot",3.551079388
"chrome","c","mandelbrot",3.297929413
"chrome","c","mandelbrot",8.7215136935
"chrome","c","mandelbrot",3.6147997865
"firefox","c","mandelbrot",5.891201773
"firefox","c","mandelbrot",7.6163592335
"firefox","c","mandelbrot",7.516553678
"firefox","c","mandelbrot",4.9614491325
"firefox","c","mandelbrot",8.036635624
"firefox","c","mandelbrot",6.6956541805
"firefox","c","mandelbrot",5.6866121425
"firefox","c","mandelbrot",6.5523970855
"firefox","c","mandelbrot",7.21701146
"firefox","c","mandelbrot",5.1586035455
"chrome","cpp","n_body",68.9938835395
"chrome","cpp","n_body",73.4563810635
"chrome","cpp","n_body",76.0818471625
"chrome","cpp","n_body",71.5424431715
"chrome","cpp","n_body",68.047132878
"chrome","cpp","n_body",76.354162378
"chrome","cpp","n_body",74.717876816
"chrome","cpp","n_body",70.673833716
"chrome","cpp","n_body",72.1372005595
"chrome","cpp","n_body",40.299600109
"firefox","cpp","n_body",64.9464927925
"firefox","cpp","n_body",65.670210049
"firefox","cpp","n_body",61.5998757665
"firefox","cpp","n_body",69.561617483
"firefox","cpp","n_body",197.2608687815
"firefox","cpp","n_body",136.6581620055
"firefox","cpp","n_body",66.5037557755
"firefox","cpp","n_body",94.911414651
"firefox","cpp","n_body",84.0180842295
"firefox","cpp","n_body",40.4826019135
"chrome","go","fasta",20.4982490305
"chrome","go","fasta",17.2936578675
"chrome","go","fasta",17.5009945685
"chrome","go","fasta",18.166315756
"chrome","go","fasta",18.1173062255
"chrome","go","fasta",18.3299233385
"chrome","go","fasta",19.791672125
"chrome","go","fasta",18.308209861
"chrome","go","fasta",17.438453226
"chrome","go","fasta",17.7402180265
"firefox","go","fasta",17.211607817
"firefox","go","fasta",17.654873637
"firefox","go","fasta",18.2039531655
"firefox","go","fasta",16.814549359
"firefox","go","fasta",14.5134696045
"firefox","go","fasta",17.745413458
"firefox","go","fasta",14.390448595
"firefox","go","fasta",13.7778590815
"firefox","go","fasta",15.5648854725
"firefox","go","fasta",16.873303276
"chrome","rust","binary_trees",3.915578771
"chrome","rust","binary_trees",3.1159815275
"chrome","rust","binary_trees",2.627334373
"chrome","rust","binary_trees",2.4111458785
"chrome","rust","binary_trees",2.361726523
"chrome","rust","binary_trees",2.754756718
"chrome","rust","binary_trees",2.305672558
"chrome","rust","binary_trees",2.201193924
"chrome","rust","binary_trees",2.375757147
"chrome","rust","binary_trees",2.8969239245
"firefox","rust","binary_trees",6.0816562435
"firefox","rust","binary_trees",3.923368
"firefox","rust","binary_trees",6.138599951
"firefox","rust","binary_trees",6.523598143
"firefox","rust","binary_trees",6.563836687
"firefox","rust","binary_trees",6.3023474705
"firefox","rust","binary_trees",6.174760545
"firefox","rust","binary_trees",4.5058531265
"firefox","rust","binary_trees",4.7089993805
"firefox","rust","binary_trees",5.235815165
"chrome","c","spectral_norm",27.8338521985
"chrome","c","spectral_norm",23.796716491
"chrome","c","spectral_norm",23.0431568065
"chrome","c","spectral_norm",25.3429628375
"chrome","c","spectral_norm",25.0864218865
"chrome","c","spectral_norm",23.9538905675
"chrome","c","spectral_norm",22.643861789
"chrome","c","spectral_norm",24.014070118
"chrome","c","spectral_norm",25.0696805055
"chrome","c","spectral_norm",23.9119006105
"firefox","c","spectral_norm",22.782692075
"firefox","c","spectral_norm",23.383280461
"firefox","c","spectral_norm",20.177238938
"firefox","c","spectral_norm",21.7052870605
"firefox","c","spectral_norm",22.958633808
"firefox","c","spectral_norm",24.239397915
"firefox","c","spectral_norm",24.453588754
"firefox","c","spectral_norm",23.43182512
"firefox","c","spectral_norm",23.451640981
"firefox","c","spectral_norm",22.135231731
"chrome","cpp","fannkuch_redux",101.400260553
"chrome","cpp","fannkuch_redux",92.09583178
"chrome","cpp","fannkuch_redux",104.3438154715
"chrome","cpp","fannkuch_redux",98.3092436205
"chrome","cpp","fannkuch_redux",96.9551872065
"chrome","cpp","fannkuch_redux",94.8105865385
"chrome","cpp","fannkuch_redux",92.9857114885
"chrome","cpp","fannkuch_redux",105.2707124485
"chrome","cpp","fannkuch_redux",83.206591312
"chrome","cpp","fannkuch_redux",108.848841341
"firefox","cpp","fannkuch_redux",113.2154887645
"firefox","cpp","fannkuch_redux",117.6699478225
"firefox","cpp","fannkuch_redux",117.939025477
"firefox","cpp","fannkuch_redux",88.5395528565
"firefox","cpp","fannkuch_redux",82.759908885
"firefox","cpp","fannkuch_redux",78.876021685
"firefox","cpp","fannkuch_redux",110.488464964
"firefox","cpp","fannkuch_redux",131.334224419
"firefox","cpp","fannkuch_redux",111.625197425
"firefox","cpp","fannkuch_redux",128.290295412
"chrome","go","mandelbrot",15.723355551
"chrome","go","mandelbrot",16.1130281795
"chrome","go","mandelbrot",19.402286632
"chrome","go","mandelbrot",15.9968120665
"chrome","go","mandelbrot",16.122746935
"chrome","go","mandelbrot",16.9022561245
"chrome","go","mandelbrot",15.0822244075
"chrome","go","mandelbrot",15.9577904075
"chrome","go","mandelbrot",16.797051948
"chrome","go","mandelbrot",17.877334285
"firefox","go","mandelbrot",15.014313564
"firefox","go","mandelbrot",15.5166813925
