"browser","language","benchmark","start_time_stamp","end_time_stamp","execution_time"
"chrome","c","mandelbrot",1666657112.48196,1666657116.80292,4320.96815109253
"chrome","c","mandelbrot",1666657446.71238,1666657450.90708,4194.70000267029
"chrome","c","mandelbrot",1666657637.66101,1666657641.98303,4322.02363014221
"chrome","c","mandelbrot",1666658485.74756,1666658490.15154,4403.98788452148
"chrome","c","mandelbrot",1666658920.55066,1666658924.90359,4352.93841362
"chrome","c","mandelbrot",1666662411.83146,1666662416.19798,4366.51992797852
"chrome","c","mandelbrot",1666662493.34134,1666662932.31454,438973.196983337
"chrome","c","mandelbrot",1666663009.42763,1666663013.84246,4414.82520103455
"chrome","c","mandelbrot",1666664088.84672,1666664093.83093,4984.21764373779
"chrome","c","mandelbrot",1666664965.79333,1666664970.14763,4354.30097579956
"firefox","c","mandelbrot",1666656585.33043,1666656590.28084,4950.41751861572
"firefox","c","mandelbrot",1666658075.2646,1666658079.74001,4475.4102230072
"firefox","c","mandelbrot",1666658156.75532,1666658161.15732,4401.99518203735
"firefox","c","mandelbrot",1666658238.13865,1666658242.44843,4309.77725982666
"firefox","c","mandelbrot",1666658648.14035,1666658652.65678,4516.43109321594
"firefox","c","mandelbrot",1666659002.12984,1666659006.5437,4413.86246681213
"firefox","c","mandelbrot",1666659872.33488,1666659876.822,4487.12182044983
"firefox","c","mandelbrot",1666660694.12182,1666660698.58591,4464.08796310425
"firefox","c","mandelbrot",1666663486.3393,1666663490.77098,4431.68473243713
"firefox","c","mandelbrot",1666664007.3086,1666664012.08185,4773.2458114624
"chrome","cpp","n_body",1666656371.48837,1666656421.84165,50353.2764911652
"chrome","cpp","n_body",1666659248.88009,1666659299.8295,50949.405670166
"chrome","cpp","n_body",1666660775.521,1666660826.82766,51306.6575527191
"chrome","cpp","n_body",1666661070.72764,1666661121.85913,51131.4933300018
"chrome","cpp","n_body",1666661199.28946,1666661252.64028,53350.8262634277
"chrome","cpp","n_body",1666662073.16855,1666662124.41987,51251.3158321381
"chrome","cpp","n_body",1666662201.58087,1666662253.72875,52147.8719711304
"chrome","cpp","n_body",1666663091.22303,1666663143.31319,52090.1591777802
"chrome","cpp","n_body",1666664518.62329,1666664570.64306,52019.7660923004
"chrome","cpp","n_body",1666665128.50609,1666665156.99655,28490.4601573944
"firefox","cpp","n_body",1666656666.79921,1666656698.34506,31545.8450317383
"firefox","cpp","n_body",1666657528.04235,1666657560.40824,32365.8907413483
"firefox","cpp","n_body",1666657799.6095,1666657831.81584,32206.346988678
"firefox","cpp","n_body",1666658810.56602,1666658843.48149,32915.4756069183
"firefox","cpp","n_body",1666659953.92604,1666660441.12225,487196.214199066
"firefox","cpp","n_body",1666661495.34357,1666661982.52143,487177.862167358
"firefox","cpp","n_body",1666663220.38503,1666663806.32203,585936.997175217
"firefox","cpp","n_body",1666663885.94901,1666663930.30227,44353.2657623291
"firefox","cpp","n_body",1666664170.67099,1666664279.54593,108874.938249588
"firefox","cpp","n_body",1666664648.0371,1666664719.54773,71510.6263160706
"chrome","go","fasta",1666656498.39194,1666656507.87835,9486.40727996826
"chrome","go","fasta",1666656941.25479,1666656950.10031,8845.52407264709
"chrome","go","fasta",1666657027.03966,1666657036.00905,8969.38753128052
"chrome","go","fasta",1666657274.40271,1666657283.45764,9054.93569374084
"chrome","go","fasta",1666657360.6939,1666657369.89816,9204.25844192505
"chrome","go","fasta",1666657908.23797,1666657917.24838,9010.40959358215
"chrome","go","fasta",1666658319.62648,1666658328.88031,9253.82971763611
"chrome","go","fasta",1666660521.75571,1666660530.83342,9077.71039009094
"chrome","go","fasta",1666660607.77036,1666660616.53188,8761.51061058044
"chrome","go","fasta",1666660903.92003,1666660912.977,9056.969165802
"firefox","go","fasta",1666656775.76332,1666656783.56213,7798.81763458252
"firefox","go","fasta",1666659164.23925,1666659172.06496,7825.71291923523
"firefox","go","fasta",1666659538.83308,1666659546.40743,7574.35369491577
"firefox","go","fasta",1666659623.16345,1666659630.91444,7750.99205970764
"firefox","go","fasta",1666659787.83569,1666659795.60906,7773.37145805359
"firefox","go","fasta",1666661329.86413,1666661337.80596,7941.83254241943
"firefox","go","fasta",1666664797.07094,1666664805.21582,8144.87862586975
"firefox","go","fasta",1666664881.35008,1666664889.21498,7864.90106582642
"firefox","go","fasta",1666665335.51792,1666665343.29164,7773.7181186676
"firefox","go","fasta",1666665420.23455,1666665427.80891,7574.3579864502
"chrome","rust","binary_trees",1666656290.90128,1666656294.48172,3580.44791221619
"chrome","rust","binary_trees",1666657193.69248,1666657197.16346,3470.97969055176
"chrome","rust","binary_trees",1666657719.13543,1666657722.58333,3447.89552688599
"chrome","rust","binary_trees",1666658729.73639,1666658733.11944,3383.05258750916
"chrome","rust","binary_trees",1666659083.33101,1666659086.76963,3438.61770629883
"chrome","rust","binary_trees",1666659377.30503,1666659380.75312,3448.08340072632
"chrome","rust","binary_trees",1666659457.91856,1666659461.51871,3600.14891624451
"chrome","rust","binary_trees",1666662331.0679,1666662334.54591,3478.00493240356
"chrome","rust","binary_trees",1666662847.27622,1666662850.75286,3476.63807868958
