"browser","language","benchmark","avg_memory","avg_cpu"
"chrome","c","mandelbrot",1310165.25,6.325
"chrome","c","mandelbrot",1344627.75,6.325
"chrome","c","mandelbrot",1350128.25,42
"chrome","c","mandelbrot",1343560,6.7
"chrome","c","mandelbrot",1351451.5,24
"chrome","c","mandelbrot",1348823,9.9
"chrome","c","mandelbrot",1388571.5,7.325
"chrome","c","mandelbrot",1394363,7.05
"chrome","c","mandelbrot",1395195.5,18.7
"chrome","c","mandelbrot",1400534.75,7.4
"firefox","c","mandelbrot",1339201,5.15
"firefox","c","mandelbrot",1342142,16.1
"firefox","c","mandelbrot",1371100.25,16.175
"firefox","c","mandelbrot",1352941.25,14.625
"firefox","c","mandelbrot",1408200.25,6.175
"firefox","c","mandelbrot",1381672.75,5.125
"firefox","c","mandelbrot",1376568,38
"firefox","c","mandelbrot",1445376.25,5.675
"firefox","c","mandelbrot",1416437.75,7.775
"firefox","c","mandelbrot",1417218,6.5
"chrome","cpp","n_body",1303164.85,32.3361111111111
"chrome","cpp","n_body",1322180.04878049,29.2
"chrome","cpp","n_body",1318511.45454545,29.3975
"chrome","cpp","n_body",1342901.57142857,32.9785714285714
"chrome","cpp","n_body",1355347.73809524,28.3157894736842
"chrome","cpp","n_body",1329190.53333333,37.5805555555556
"chrome","cpp","n_body",1357173.20454545,30.67
"chrome","cpp","n_body",1355304.02325581,30.1935483870968
"chrome","cpp","n_body",1372848.375,35.5888888888889
"chrome","cpp","n_body",1389406.76190476,31.2571428571429
"firefox","cpp","n_body",1346356.91836735,16.7642857142857
"firefox","cpp","n_body",1362173.68181818,21.1351351351351
"firefox","cpp","n_body",1368732.61157025,18.2716981132075
"firefox","cpp","n_body",1372554.22084367,14.2273195876289
"firefox","cpp","n_body",1384540.58064516,30.3578947368421
"firefox","cpp","n_body",1407064.04,18.6272727272727
"firefox","cpp","n_body",1394691.08571429,18.6615384615385
"firefox","cpp","n_body",1415203.35714286,21.6014705882353
"firefox","cpp","n_body",1412378.3220339,26.9162790697674
"firefox","cpp","n_body",1430969.65333333,23.5655172413793
"chrome","go","fasta",1368521.375,25.4375
"chrome","go","fasta",1348724.375,24.625
"chrome","go","fasta",1379516.71428571,20.1428571428571
"chrome","go","fasta",1382732.55555556,32.2666666666667
"chrome","go","fasta",1391759.625,28.925
"chrome","go","fasta",1402293.5,24.025
"chrome","go","fasta",1414837.5,27.75
"chrome","go","fasta",1454710.57142857,66.42
"chrome","go","fasta",1461237.875,9.6
"chrome","go","fasta",1473297.375,8.6
"firefox","go","fasta",1398357.85714286,25.1428571428571
"firefox","go","fasta",1416191.71428571,43.6666666666667
"firefox","go","fasta",1443667.42857143,24.4857142857143
"firefox","go","fasta",1424068.71428571,24.1428571428571
"firefox","go","fasta",1431274,51
"firefox","go","fasta",1453313.71428571,45.3333333333333
"firefox","go","fasta",1445665.85714286,7.16
"firefox","go","fasta",1437288.85714286,7.7
"firefox","go","fasta",1437106.42857143,18.8
"firefox","go","fasta",1495145.33333333,9.24
"chrome","rust","binary_trees",1317846.33333333,5.3
"chrome","rust","binary_trees",1296865.33333333,39
"chrome","rust","binary_trees",1305321.5,36
"chrome","rust","binary_trees",1332481.33333333,23.6666666666667
"chrome","rust","binary_trees",1346369.25,5.975
"chrome","rust","binary_trees",1333489.25,5.3
"chrome","rust","binary_trees",1351564,35
"chrome","rust","binary_trees",1378329.66666667,15
"chrome","rust","binary_trees",1380943.66666667,9.93333333333333
"chrome","rust","binary_trees",1390185,7.63333333333333
"firefox","rust","binary_trees",1309307,36
"firefox","rust","binary_trees",1346433.5,5.275
"firefox","rust","binary_trees",1376028.75,5.4
"firefox","rust","binary_trees",1373472,16.1
"firefox","rust","binary_trees",1366797.75,16.8
"firefox","rust","binary_trees",1342651.5,4.9
"firefox","rust","binary_trees",1389921.75,10.9
"firefox","rust","binary_trees",1379797.25,4.7
"firefox","rust","binary_trees",1423999.25,5.825
"firefox","rust","binary_trees",1431173.75,6.5
"chrome","c","spectral_norm",1414208.07692308,27.9538461538462
"chrome","c","spectral_norm",1411195.38461538,27.9846153846154
"chrome","c","spectral_norm",1326351.07142857,21.3928571428571
"chrome","c","spectral_norm",1338032,22.1142857142857
"chrome","c","spectral_norm",1349902.76923077,16.9384615384615
"chrome","c","spectral_norm",1344001.2721519,12.4544303797468
"chrome","c","spectral_norm",1358078.61538462,39.4444444444444
"chrome","c","spectral_norm",1354555.07692308,25.1692307692308
"chrome","c","spectral_norm",1357873.15384615,32.5444444444444
