datetime,cpu,mem
Wed Oct 26 01:25:46 GMT 2022,1.1,1295174
Wed Oct 26 01:25:47 GMT 2022,26,1292877
Wed Oct 26 01:25:48 GMT 2022,26,1315138
Wed Oct 26 01:25:50 GMT 2022,26,1315278
Wed Oct 26 01:25:51 GMT 2022,26,1319529
Wed Oct 26 01:25:53 GMT 2022,43,1319176
Wed Oct 26 01:25:54 GMT 2022,43,1320410
Wed Oct 26 01:25:56 GMT 2022,43,1320294
Wed Oct 26 01:25:57 GMT 2022,43,1298814
Wed Oct 26 01:25:59 GMT 2022,32,1299869
Wed Oct 26 01:26:00 GMT 2022,32,1299885
Wed Oct 26 01:26:02 GMT 2022,32,1299853
Wed Oct 26 01:26:03 GMT 2022,32,1301449
Wed Oct 26 01:26:05 GMT 2022,0,1300077
Wed Oct 26 01:26:07 GMT 2022,0,1300073
Wed Oct 26 01:26:08 GMT 2022,0,1300381
Wed Oct 26 01:26:10 GMT 2022,0,1301777
Wed Oct 26 01:26:11 GMT 2022,31,1300335
Wed Oct 26 01:26:13 GMT 2022,31,1300189
Wed Oct 26 01:26:15 GMT 2022,31,1301605
Wed Oct 26 01:26:17 GMT 2022,33,1300217
Wed Oct 26 01:26:18 GMT 2022,33,1300309
Wed Oct 26 01:26:20 GMT 2022,33,1300277
Wed Oct 26 01:26:22 GMT 2022,33,1301949
Wed Oct 26 01:26:24 GMT 2022,32,1300513
Wed Oct 26 01:26:25 GMT 2022,32,1300473
Wed Oct 26 01:26:27 GMT 2022,32,1302009
Wed Oct 26 01:26:29 GMT 2022,32,1300713
Wed Oct 26 01:26:31 GMT 2022,32,1300681
Wed Oct 26 01:26:33 GMT 2022,32,1302281
Wed Oct 26 01:26:35 GMT 2022,32,1300853
Wed Oct 26 01:26:36 GMT 2022,32,1300853
Wed Oct 26 01:26:38 GMT 2022,32,1302453
Wed Oct 26 01:26:40 GMT 2022,32,1301683
Wed Oct 26 01:26:42 GMT 2022,32,1309843
Wed Oct 26 01:26:44 GMT 2022,32,1302962
Wed Oct 26 01:26:45 GMT 2022,38,1296523
Wed Oct 26 01:26:47 GMT 2022,38,1305232
Wed Oct 26 01:26:49 GMT 2022,38,1298262
Wed Oct 26 01:26:51 GMT 2022,36,1296325
