datetime,cpu,mem
Wed Oct 26 02:08:44 GMT 2022,13,1344976
Wed Oct 26 02:08:46 GMT 2022,5.7,1286832
Wed Oct 26 02:08:47 GMT 2022,5.7,1362678
Wed Oct 26 02:08:48 GMT 2022,5.7,1362882
Wed Oct 26 02:08:50 GMT 2022,5.7,1364703
Wed Oct 26 02:08:51 GMT 2022,43,1355430
Wed Oct 26 02:08:53 GMT 2022,43,1355466
Wed Oct 26 02:08:54 GMT 2022,43,1355809
Wed Oct 26 02:08:56 GMT 2022,43,1372105
Wed Oct 26 02:08:57 GMT 2022,39,1370927
Wed Oct 26 02:08:59 GMT 2022,39,1371079
Wed Oct 26 02:09:01 GMT 2022,39,1370123
Wed Oct 26 02:09:02 GMT 2022,39,1371813
Wed Oct 26 02:09:04 GMT 2022,0,1370493
Wed Oct 26 02:09:06 GMT 2022,0,1369997
Wed Oct 26 02:09:08 GMT 2022,0,1371501
Wed Oct 26 02:09:10 GMT 2022,0,1370694
Wed Oct 26 02:09:11 GMT 2022,0,1370734
Wed Oct 26 02:09:13 GMT 2022,0,1372310
Wed Oct 26 02:09:15 GMT 2022,42,1370898
Wed Oct 26 02:09:17 GMT 2022,42,1384705
Wed Oct 26 02:09:19 GMT 2022,42,1450769
Wed Oct 26 02:09:21 GMT 2022,0,1449363
Wed Oct 26 02:09:23 GMT 2022,0,1446573
Wed Oct 26 02:09:25 GMT 2022,0,1469697
Wed Oct 26 02:09:27 GMT 2022,29,1417705
Wed Oct 26 02:09:28 GMT 2022,29,1425957
Wed Oct 26 02:09:30 GMT 2022,29,1434721
Wed Oct 26 02:09:32 GMT 2022,0,1399341
Wed Oct 26 02:09:34 GMT 2022,0,1399453
Wed Oct 26 02:09:36 GMT 2022,0,1401024
