datetime,cpu,mem
Wed Oct 26 15:41:25 GMT 2022,47,1319104
Wed Oct 26 15:41:26 GMT 2022,4.7,1318149
Wed Oct 26 15:41:28 GMT 2022,4.7,1357450
Wed Oct 26 15:41:29 GMT 2022,4.7,1356481
Wed Oct 26 15:41:30 GMT 2022,4.7,1361738
Wed Oct 26 15:41:31 GMT 2022,0.6,1362349
Wed Oct 26 15:41:33 GMT 2022,0.6,1362047
Wed Oct 26 15:41:34 GMT 2022,0.6,1370497
Wed Oct 26 15:41:35 GMT 2022,0.6,1363344
Wed Oct 26 15:41:37 GMT 2022,38,1342027
Wed Oct 26 15:41:38 GMT 2022,38,1344589
Wed Oct 26 15:41:39 GMT 2022,38,1344601
Wed Oct 26 15:41:40 GMT 2022,38,1346360
