datetime,cpu,mem
Fri Oct 28 21:44:02 GMT 2022,0,1260282
Fri Oct 28 21:44:04 GMT 2022,0,1259628
Fri Oct 28 21:44:06 GMT 2022,0,1264642
Fri Oct 28 21:44:07 GMT 2022,0,1268987
Fri Oct 28 21:44:09 GMT 2022,0,1271503
Fri Oct 28 21:44:11 GMT 2022,0,1266859
Fri Oct 28 21:44:13 GMT 2022,0,1266987
Fri Oct 28 21:44:15 GMT 2022,0,1266204
Fri Oct 28 21:44:18 GMT 2022,0,1266758
Fri Oct 28 21:44:20 GMT 2022,0,1268777
Fri Oct 28 21:44:23 GMT 2022,48,1267939
Fri Oct 28 21:44:25 GMT 2022,48,1269705
Fri Oct 28 21:44:28 GMT 2022,43,1268093
Fri Oct 28 21:44:30 GMT 2022,43,1269977
Fri Oct 28 21:44:33 GMT 2022,46,1268603
Fri Oct 28 21:44:35 GMT 2022,46,1270101
Fri Oct 28 21:44:38 GMT 2022,46,1268799
Fri Oct 28 21:44:40 GMT 2022,46,1270321
Fri Oct 28 21:44:43 GMT 2022,45,1269043
Fri Oct 28 21:44:45 GMT 2022,45,1270473
Fri Oct 28 21:44:48 GMT 2022,45,1269163
Fri Oct 28 21:44:50 GMT 2022,45,1270797
Fri Oct 28 21:44:53 GMT 2022,47,1269379
Fri Oct 28 21:44:56 GMT 2022,47,1271305
Fri Oct 28 21:44:58 GMT 2022,48,1279337
Fri Oct 28 21:45:01 GMT 2022,48,1277241
Fri Oct 28 21:45:03 GMT 2022,50,1271389
Fri Oct 28 21:45:06 GMT 2022,50,1273213
Fri Oct 28 21:45:08 GMT 2022,47,1272043
Fri Oct 28 21:45:11 GMT 2022,47,1274122
Fri Oct 28 21:45:13 GMT 2022,49,1272514
Fri Oct 28 21:45:16 GMT 2022,49,1275754
Fri Oct 28 21:45:18 GMT 2022,47,1273585
Fri Oct 28 21:45:21 GMT 2022,47,1276086
Fri Oct 28 21:45:23 GMT 2022,47,1274011
Fri Oct 28 21:45:26 GMT 2022,47,1275520
Fri Oct 28 21:45:28 GMT 2022,47,1276280
Fri Oct 28 21:45:31 GMT 2022,48,1276148
Fri Oct 28 21:45:33 GMT 2022,48,1275830
Fri Oct 28 21:45:36 GMT 2022,47,1276576
Fri Oct 28 21:45:38 GMT 2022,47,1278162
Fri Oct 28 21:45:41 GMT 2022,46,1276992
Fri Oct 28 21:45:44 GMT 2022,46,1278610
Fri Oct 28 21:45:46 GMT 2022,46,1277576
Fri Oct 28 21:45:49 GMT 2022,46,1276294
Fri Oct 28 21:45:51 GMT 2022,46,1270836
Fri Oct 28 21:45:54 GMT 2022,46,1272366
Fri Oct 28 21:45:56 GMT 2022,45,1271056
Fri Oct 28 21:45:59 GMT 2022,45,1272566
Fri Oct 28 21:46:02 GMT 2022,47,1271734
Fri Oct 28 21:46:04 GMT 2022,47,1273036
Fri Oct 28 21:46:07 GMT 2022,47,1271854
Fri Oct 28 21:46:09 GMT 2022,47,1273332
Fri Oct 28 21:46:12 GMT 2022,46,1271978
Fri Oct 28 21:46:14 GMT 2022,46,1290483
Fri Oct 28 21:46:17 GMT 2022,44,1289291
Fri Oct 28 21:46:19 GMT 2022,44,1289467
Fri Oct 28 21:46:22 GMT 2022,44,1290813
Fri Oct 28 21:46:24 GMT 2022,38,1289467
Fri Oct 28 21:46:27 GMT 2022,38,1290937
Fri Oct 28 21:46:29 GMT 2022,38,1289639
Fri Oct 28 21:46:32 GMT 2022,38,1289779
Fri Oct 28 21:46:34 GMT 2022,38,1291089
Fri Oct 28 21:46:37 GMT 2022,39,1289779
Fri Oct 28 21:46:39 GMT 2022,39,1289731
Fri Oct 28 21:46:42 GMT 2022,39,1291337
Fri Oct 28 21:46:44 GMT 2022,38,1289987
Fri Oct 28 21:46:47 GMT 2022,38,1290051
Fri Oct 28 21:46:49 GMT 2022,38,1291437
Fri Oct 28 21:46:52 GMT 2022,38,1290171
Fri Oct 28 21:46:54 GMT 2022,38,1291545
Fri Oct 28 21:46:57 GMT 2022,38,1290291
Fri Oct 28 21:46:59 GMT 2022,38,1290407
Fri Oct 28 21:47:02 GMT 2022,38,1291913
Fri Oct 28 21:47:04 GMT 2022,38,1290555
Fri Oct 28 21:47:07 GMT 2022,38,1290515
Fri Oct 28 21:47:09 GMT 2022,38,1292081
Fri Oct 28 21:47:11 GMT 2022,38,1290839
Fri Oct 28 21:47:14 GMT 2022,38,1290927
Fri Oct 28 21:47:16 GMT 2022,38,1292381
Fri Oct 28 21:47:19 GMT 2022,38,1291071
Fri Oct 28 21:47:21 GMT 2022,38,1292529
Fri Oct 28 21:47:24 GMT 2022,38,1291207
Fri Oct 28 21:47:26 GMT 2022,38,1291079
Fri Oct 28 21:47:29 GMT 2022,38,1292713
Fri Oct 28 21:47:31 GMT 2022,38,1291539
Fri Oct 28 21:47:34 GMT 2022,38,1291651
Fri Oct 28 21:47:36 GMT 2022,38,1293185
Fri Oct 28 21:47:39 GMT 2022,38,1291895
Fri Oct 28 21:47:41 GMT 2022,38,1292051
Fri Oct 28 21:47:44 GMT 2022,38,1293561
Fri Oct 28 21:47:46 GMT 2022,39,1292303
Fri Oct 28 21:47:49 GMT 2022,39,1292431
Fri Oct 28 21:47:51 GMT 2022,39,1294109
Fri Oct 28 21:47:54 GMT 2022,38,1292824
