datetime,cpu,mem
Fri Oct 28 18:26:50 GMT 2022,48,1250464
Fri Oct 28 18:26:51 GMT 2022,0,1255426
Fri Oct 28 18:26:52 GMT 2022,0,1249217
Fri Oct 28 18:26:54 GMT 2022,0,1250481
Fri Oct 28 18:26:55 GMT 2022,0,1251935
Fri Oct 28 18:26:57 GMT 2022,0,1240985
Fri Oct 28 18:26:58 GMT 2022,0,1241057
Fri Oct 28 18:27:00 GMT 2022,0,1242673
Fri Oct 28 18:27:02 GMT 2022,0,1221788
Fri Oct 28 18:27:04 GMT 2022,0,1222102
Fri Oct 28 18:27:06 GMT 2022,0,1222576
Fri Oct 28 18:27:08 GMT 2022,47,1221150
Fri Oct 28 18:27:11 GMT 2022,47,1220738
Fri Oct 28 18:27:13 GMT 2022,47,1222316
Fri Oct 28 18:27:15 GMT 2022,47,1220668
Fri Oct 28 18:27:17 GMT 2022,47,1221566
Fri Oct 28 18:27:19 GMT 2022,47,1223240
Fri Oct 28 18:27:21 GMT 2022,47,1235006
Fri Oct 28 18:27:23 GMT 2022,47,1254214
Fri Oct 28 18:27:26 GMT 2022,47,1304196
Fri Oct 28 18:27:28 GMT 2022,46,1302122
Fri Oct 28 18:27:30 GMT 2022,46,1300622
Fri Oct 28 18:27:32 GMT 2022,46,1266812
Fri Oct 28 18:27:34 GMT 2022,0,1272914
Fri Oct 28 18:27:36 GMT 2022,0,1280214
Fri Oct 28 18:27:39 GMT 2022,0,1288288
Fri Oct 28 18:27:40 GMT 2022,34,1253822
Fri Oct 28 18:27:42 GMT 2022,34,1254062
Fri Oct 28 18:27:44 GMT 2022,34,1255240
Fri Oct 28 18:27:46 GMT 2022,20,1260830
Fri Oct 28 18:27:48 GMT 2022,20,1262656
Fri Oct 28 18:27:50 GMT 2022,20,1431476
Fri Oct 28 18:27:52 GMT 2022,0,1390795
Fri Oct 28 18:27:54 GMT 2022,0,1391065
Fri Oct 28 18:27:57 GMT 2022,0,1393090
Fri Oct 28 18:27:59 GMT 2022,0,1278401
Fri Oct 28 18:28:01 GMT 2022,0,1274805
Fri Oct 28 18:28:03 GMT 2022,0,1270718
Fri Oct 28 18:28:05 GMT 2022,15,1265625
Fri Oct 28 18:28:06 GMT 2022,15,1255689
Fri Oct 28 18:28:08 GMT 2022,15,1257266
Fri Oct 28 18:28:10 GMT 2022,15,1256205
Fri Oct 28 18:28:12 GMT 2022,15,1255993
Fri Oct 28 18:28:14 GMT 2022,15,1257646
Fri Oct 28 18:28:16 GMT 2022,15,1256641
Fri Oct 28 18:28:18 GMT 2022,15,1256757
Fri Oct 28 18:28:19 GMT 2022,15,1258282
Fri Oct 28 18:28:21 GMT 2022,14,1256969
Fri Oct 28 18:28:23 GMT 2022,14,1253846
Fri Oct 28 18:28:25 GMT 2022,14,1257990
Fri Oct 28 18:28:26 GMT 2022,0,1256689
Fri Oct 28 18:28:28 GMT 2022,0,1256385
Fri Oct 28 18:28:30 GMT 2022,0,1257978
Fri Oct 28 18:28:32 GMT 2022,0,1256853
Fri Oct 28 18:28:33 GMT 2022,0,1257093
Fri Oct 28 18:28:35 GMT 2022,0,1257129
Fri Oct 28 18:28:37 GMT 2022,0,1258850
Fri Oct 28 18:28:38 GMT 2022,13,1257633
Fri Oct 28 18:28:40 GMT 2022,13,1257757
Fri Oct 28 18:28:42 GMT 2022,13,1257937
Fri Oct 28 18:28:43 GMT 2022,13,1259374
Fri Oct 28 18:28:45 GMT 2022,14,1254021
Fri Oct 28 18:28:47 GMT 2022,14,1253993
Fri Oct 28 18:28:48 GMT 2022,14,1254017
Fri Oct 28 18:28:50 GMT 2022,14,1250602
Fri Oct 28 18:28:52 GMT 2022,14,1249110
Fri Oct 28 18:28:54 GMT 2022,14,1249182
Fri Oct 28 18:28:55 GMT 2022,14,1249394
Fri Oct 28 18:28:57 GMT 2022,14,1250795
Fri Oct 28 18:28:59 GMT 2022,14,1249474
Fri Oct 28 18:29:01 GMT 2022,14,1249578
Fri Oct 28 18:29:02 GMT 2022,14,1249630
Fri Oct 28 18:29:04 GMT 2022,14,1251131
Fri Oct 28 18:29:05 GMT 2022,14,1249314
Fri Oct 28 18:29:07 GMT 2022,14,1249598
Fri Oct 28 18:29:09 GMT 2022,14,1249494
Fri Oct 28 18:29:10 GMT 2022,14,1251107
Fri Oct 28 18:29:12 GMT 2022,14,1249790
Fri Oct 28 18:29:14 GMT 2022,14,1249838
Fri Oct 28 18:29:16 GMT 2022,14,1251847
Fri Oct 28 18:29:17 GMT 2022,0,1249626
Fri Oct 28 18:29:19 GMT 2022,0,1249726
Fri Oct 28 18:29:21 GMT 2022,0,1251227
Fri Oct 28 18:29:22 GMT 2022,15,1249894
Fri Oct 28 18:29:24 GMT 2022,15,1249834
Fri Oct 28 18:29:25 GMT 2022,15,1249822
Fri Oct 28 18:29:27 GMT 2022,15,1251559
Fri Oct 28 18:29:29 GMT 2022,0,1250166
Fri Oct 28 18:29:31 GMT 2022,0,1250366
Fri Oct 28 18:29:32 GMT 2022,0,1250418
Fri Oct 28 18:29:34 GMT 2022,0,1251819
Fri Oct 28 18:29:36 GMT 2022,13,1250514
Fri Oct 28 18:29:37 GMT 2022,13,1250534
Fri Oct 28 18:29:39 GMT 2022,13,1250618
Fri Oct 28 18:29:40 GMT 2022,13,1252151
Fri Oct 28 18:29:42 GMT 2022,13,1250750
Fri Oct 28 18:29:44 GMT 2022,13,1250802
Fri Oct 28 18:29:45 GMT 2022,13,1250710
Fri Oct 28 18:29:47 GMT 2022,13,1252347
Fri Oct 28 18:29:49 GMT 2022,13,1251074
Fri Oct 28 18:29:51 GMT 2022,13,1251282
Fri Oct 28 18:29:52 GMT 2022,13,1252787
Fri Oct 28 18:29:54 GMT 2022,0,1251338
Fri Oct 28 18:29:55 GMT 2022,0,1251478
Fri Oct 28 18:29:57 GMT 2022,0,1253075
Fri Oct 28 18:29:59 GMT 2022,15,1251910
Fri Oct 28 18:30:00 GMT 2022,15,1251894
Fri Oct 28 18:30:02 GMT 2022,15,1252054
Fri Oct 28 18:30:04 GMT 2022,15,1253603
Fri Oct 28 18:30:06 GMT 2022,0,1252402
Fri Oct 28 18:30:07 GMT 2022,0,1252438
Fri Oct 28 18:30:09 GMT 2022,0,1252474
Fri Oct 28 18:30:10 GMT 2022,0,1254239
Fri Oct 28 18:30:12 GMT 2022,13,1252942
Fri Oct 28 18:30:14 GMT 2022,13,1253086
Fri Oct 28 18:30:15 GMT 2022,13,1253150
Fri Oct 28 18:30:17 GMT 2022,13,1254927
Fri Oct 28 18:30:19 GMT 2022,13,1253598
Fri Oct 28 18:30:21 GMT 2022,13,1253810
Fri Oct 28 18:30:22 GMT 2022,13,1255395
Fri Oct 28 18:30:24 GMT 2022,0,1254038
Fri Oct 28 18:30:25 GMT 2022,0,1254198
Fri Oct 28 18:30:27 GMT 2022,0,1254374
Fri Oct 28 18:30:29 GMT 2022,0,1255943
Fri Oct 28 18:30:30 GMT 2022,15,1254926
Fri Oct 28 18:30:32 GMT 2022,15,1255066
Fri Oct 28 18:30:34 GMT 2022,15,1255222
Fri Oct 28 18:30:35 GMT 2022,15,1253951
Fri Oct 28 18:30:37 GMT 2022,14,1252546
Fri Oct 28 18:30:38 GMT 2022,14,1252522
Fri Oct 28 18:30:40 GMT 2022,14,1249887
Fri Oct 28 18:30:42 GMT 2022,15,1248434
Fri Oct 28 18:30:43 GMT 2022,15,1248534
Fri Oct 28 18:30:45 GMT 2022,15,1248598
Fri Oct 28 18:30:47 GMT 2022,15,1250199
Fri Oct 28 18:30:49 GMT 2022,0,1248858
Fri Oct 28 18:30:50 GMT 2022,0,1249134
Fri Oct 28 18:30:52 GMT 2022,0,1249186
Fri Oct 28 18:30:53 GMT 2022,0,1250687
Fri Oct 28 18:30:55 GMT 2022,13,1249334
Fri Oct 28 18:30:57 GMT 2022,13,1249410
Fri Oct 28 18:30:58 GMT 2022,13,1249438
Fri Oct 28 18:31:00 GMT 2022,13,1250979
Fri Oct 28 18:31:02 GMT 2022,14,1249642
Fri Oct 28 18:31:04 GMT 2022,14,1249722
Fri Oct 28 18:31:05 GMT 2022,14,1251255
Fri Oct 28 18:31:07 GMT 2022,0,1249738
Fri Oct 28 18:31:08 GMT 2022,0,1249846
