datetime,cpu,mem
Wed Oct 26 19:37:03 GMT 2022,38,1345473
Wed Oct 26 19:37:04 GMT 2022,0,1344015
Wed Oct 26 19:37:05 GMT 2022,0,1359682
Wed Oct 26 19:37:07 GMT 2022,0,1359870
Wed Oct 26 19:37:08 GMT 2022,0,1364263
Wed Oct 26 19:37:10 GMT 2022,49,1363199
Wed Oct 26 19:37:11 GMT 2022,49,1366542
Wed Oct 26 19:37:13 GMT 2022,49,1366930
Wed Oct 26 19:37:14 GMT 2022,49,1381661
Wed Oct 26 19:37:16 GMT 2022,36,1381266
Wed Oct 26 19:37:17 GMT 2022,36,1381174
Wed Oct 26 19:37:19 GMT 2022,36,1379610
Wed Oct 26 19:37:21 GMT 2022,36,1381528
Wed Oct 26 19:37:23 GMT 2022,0,1380495
Wed Oct 26 19:37:24 GMT 2022,0,1380975
Wed Oct 26 19:37:26 GMT 2022,0,1382564
Wed Oct 26 19:37:28 GMT 2022,37,1380968
Wed Oct 26 19:37:30 GMT 2022,37,1381400
Wed Oct 26 19:37:32 GMT 2022,37,1382969
Wed Oct 26 19:37:34 GMT 2022,39,1381728
Wed Oct 26 19:37:35 GMT 2022,39,1381842
Wed Oct 26 19:37:37 GMT 2022,39,1383423
Wed Oct 26 19:37:39 GMT 2022,39,1382066
Wed Oct 26 19:37:41 GMT 2022,39,1382362
Wed Oct 26 19:37:43 GMT 2022,39,1383899
Wed Oct 26 19:37:45 GMT 2022,38,1382459
Wed Oct 26 19:37:47 GMT 2022,38,1382547
Wed Oct 26 19:37:48 GMT 2022,38,1384024
Wed Oct 26 19:37:50 GMT 2022,39,1382683
Wed Oct 26 19:37:52 GMT 2022,39,1382619
Wed Oct 26 19:37:54 GMT 2022,39,1384176
Wed Oct 26 19:37:56 GMT 2022,39,1384655
Wed Oct 26 19:37:58 GMT 2022,39,1384806
Wed Oct 26 19:37:59 GMT 2022,39,1387771
Wed Oct 26 19:38:01 GMT 2022,40,1386471
Wed Oct 26 19:38:03 GMT 2022,40,1386211
Wed Oct 26 19:38:05 GMT 2022,40,1395019
Wed Oct 26 19:38:06 GMT 2022,36,1386785
Wed Oct 26 19:38:08 GMT 2022,36,1387746
Wed Oct 26 19:38:10 GMT 2022,36,1389964
Wed Oct 26 19:38:12 GMT 2022,34,1389215
Wed Oct 26 19:38:14 GMT 2022,34,1389185
