datetime,cpu,mem
Wed Oct 26 18:54:01 GMT 2022,31,1387811
Wed Oct 26 18:54:02 GMT 2022,0,1329436
Wed Oct 26 18:54:03 GMT 2022,0,1397413
Wed Oct 26 18:54:05 GMT 2022,0,1398163
Wed Oct 26 18:54:06 GMT 2022,0,1399676
Wed Oct 26 18:54:07 GMT 2022,39,1395771
Wed Oct 26 18:54:08 GMT 2022,39,1386987
Wed Oct 26 18:54:10 GMT 2022,39,1387071
Wed Oct 26 18:54:11 GMT 2022,39,1388587
Wed Oct 26 18:54:12 GMT 2022,38,1365101
Wed Oct 26 18:54:14 GMT 2022,38,1367388
Wed Oct 26 18:54:15 GMT 2022,38,1367611
