datetime,cpu,mem
Wed Oct 26 18:52:11 GMT 2022,5.6,1325075
Wed Oct 26 18:52:12 GMT 2022,24,1324255
Wed Oct 26 18:52:13 GMT 2022,24,1331503
Wed Oct 26 18:52:15 GMT 2022,24,1331669
Wed Oct 26 18:52:16 GMT 2022,24,1335720
Wed Oct 26 18:52:17 GMT 2022,38,1350645
Wed Oct 26 18:52:19 GMT 2022,38,1339481
Wed Oct 26 18:52:20 GMT 2022,38,1332715
Wed Oct 26 18:52:22 GMT 2022,38,1347389
Wed Oct 26 18:52:23 GMT 2022,37,1346844
Wed Oct 26 18:52:25 GMT 2022,37,1347183
Wed Oct 26 18:52:26 GMT 2022,37,1347223
Wed Oct 26 18:52:27 GMT 2022,37,1345593
Wed Oct 26 18:52:29 GMT 2022,29,1344400
Wed Oct 26 18:52:30 GMT 2022,29,1344460
Wed Oct 26 18:52:32 GMT 2022,29,1344628
Wed Oct 26 18:52:33 GMT 2022,29,1346137
Wed Oct 26 18:52:35 GMT 2022,0,1344584
Wed Oct 26 18:52:37 GMT 2022,0,1345104
Wed Oct 26 18:52:38 GMT 2022,0,1344650
Wed Oct 26 18:52:40 GMT 2022,0,1346195
Wed Oct 26 18:52:41 GMT 2022,31,1344902
Wed Oct 26 18:52:43 GMT 2022,31,1344918
Wed Oct 26 18:52:45 GMT 2022,31,1344990
Wed Oct 26 18:52:46 GMT 2022,31,1346734
