datetime,cpu,mem
Wed Oct 26 18:05:45 GMT 2022,5,1364338
Wed Oct 26 18:05:46 GMT 2022,4.2,1365982
Wed Oct 26 18:05:48 GMT 2022,4.2,1371810
Wed Oct 26 18:05:49 GMT 2022,4.2,1375996
Wed Oct 26 18:05:50 GMT 2022,4.2,1376076
Wed Oct 26 18:05:51 GMT 2022,4.2,1377524
Wed Oct 26 18:05:52 GMT 2022,39,1366323
Wed Oct 26 18:05:53 GMT 2022,39,1366584
Wed Oct 26 18:05:55 GMT 2022,39,1366692
Wed Oct 26 18:05:56 GMT 2022,39,1366488
Wed Oct 26 18:05:57 GMT 2022,39,1383070
Wed Oct 26 18:05:58 GMT 2022,38,1381988
Wed Oct 26 18:05:59 GMT 2022,38,1382252
Wed Oct 26 18:06:01 GMT 2022,38,1382347
Wed Oct 26 18:06:02 GMT 2022,38,1382973
Wed Oct 26 18:06:03 GMT 2022,36,1381545
Wed Oct 26 18:06:04 GMT 2022,36,1381601
Wed Oct 26 18:06:06 GMT 2022,36,1381697
Wed Oct 26 18:06:07 GMT 2022,36,1382698
Wed Oct 26 18:06:08 GMT 2022,34,1381284
