datetime,cpu,mem
Wed Oct 26 19:51:43 GMT 2022,13,1368631
Wed Oct 26 19:51:45 GMT 2022,-3.3,1366996
Wed Oct 26 19:51:46 GMT 2022,-3.3,1407057
Wed Oct 26 19:51:47 GMT 2022,-3.3,1422133
Wed Oct 26 19:51:49 GMT 2022,-3.3,1475318
Wed Oct 26 19:51:50 GMT 2022,63,1466688
Wed Oct 26 19:51:52 GMT 2022,63,1508056
Wed Oct 26 19:51:53 GMT 2022,63,1529135
Wed Oct 26 19:51:55 GMT 2022,63,1511350
Wed Oct 26 19:51:56 GMT 2022,36,1512281
Wed Oct 26 19:51:58 GMT 2022,36,1512665
Wed Oct 26 19:51:59 GMT 2022,36,1509585
Wed Oct 26 19:52:01 GMT 2022,36,1511176
Wed Oct 26 19:52:03 GMT 2022,0,1510029
Wed Oct 26 19:52:04 GMT 2022,0,1509901
Wed Oct 26 19:52:06 GMT 2022,0,1511457
Wed Oct 26 19:52:07 GMT 2022,0,1511591
Wed Oct 26 19:52:09 GMT 2022,32,1510298
Wed Oct 26 19:52:11 GMT 2022,32,1509853
Wed Oct 26 19:52:13 GMT 2022,32,1509789
Wed Oct 26 19:52:14 GMT 2022,32,1511516
Wed Oct 26 19:52:15 GMT 2022,33,1510229
Wed Oct 26 19:52:17 GMT 2022,33,1510117
Wed Oct 26 19:52:19 GMT 2022,33,1512084
Wed Oct 26 19:52:21 GMT 2022,33,1510390
Wed Oct 26 19:52:22 GMT 2022,33,1510506
Wed Oct 26 19:52:24 GMT 2022,33,1512109
Wed Oct 26 19:52:26 GMT 2022,32,1510746
Wed Oct 26 19:52:28 GMT 2022,32,1510906
Wed Oct 26 19:52:29 GMT 2022,32,1512441
Wed Oct 26 19:52:31 GMT 2022,32,1510966
Wed Oct 26 19:52:33 GMT 2022,32,1511118
Wed Oct 26 19:52:34 GMT 2022,32,1512561
Wed Oct 26 19:52:36 GMT 2022,32,1511258
Wed Oct 26 19:52:38 GMT 2022,32,1510963
Wed Oct 26 19:52:39 GMT 2022,32,1508209
Wed Oct 26 19:52:41 GMT 2022,37,1506555
Wed Oct 26 19:52:43 GMT 2022,37,1505995
