datetime,cpu,mem
Wed Oct 26 20:02:01 GMT 2022,-9.1,1410174
Wed Oct 26 20:02:03 GMT 2022,4.9,1347319
Wed Oct 26 20:02:04 GMT 2022,4.9,1453398
Wed Oct 26 20:02:06 GMT 2022,4.9,1433026
Wed Oct 26 20:02:07 GMT 2022,4.9,1436508
Wed Oct 26 20:02:09 GMT 2022,-8.5,1426867
Wed Oct 26 20:02:10 GMT 2022,-8.5,1426927
Wed Oct 26 20:02:12 GMT 2022,-8.5,1426993
Wed Oct 26 20:02:13 GMT 2022,-8.5,1406892
Wed Oct 26 20:02:14 GMT 2022,37,1405721
Wed Oct 26 20:02:16 GMT 2022,37,1405645
Wed Oct 26 20:02:18 GMT 2022,37,1404809
Wed Oct 26 20:02:19 GMT 2022,37,1406411
Wed Oct 26 20:02:21 GMT 2022,0,1404957
Wed Oct 26 20:02:23 GMT 2022,0,1404525
Wed Oct 26 20:02:24 GMT 2022,0,1406127
Wed Oct 26 20:02:26 GMT 2022,38,1402032
Wed Oct 26 20:02:28 GMT 2022,38,1402713
Wed Oct 26 20:02:29 GMT 2022,38,1406768
Wed Oct 26 20:02:31 GMT 2022,39,1406510
Wed Oct 26 20:02:33 GMT 2022,39,1406718
Wed Oct 26 20:02:35 GMT 2022,39,1407544
Wed Oct 26 20:02:36 GMT 2022,36,1408190
Wed Oct 26 20:02:38 GMT 2022,36,1419812
Wed Oct 26 20:02:40 GMT 2022,36,1467972
Wed Oct 26 20:02:42 GMT 2022,32,1466398
Wed Oct 26 20:02:44 GMT 2022,32,1466006
Wed Oct 26 20:02:45 GMT 2022,32,1434580
Wed Oct 26 20:02:47 GMT 2022,29,1442122
Wed Oct 26 20:02:49 GMT 2022,29,1450870
Wed Oct 26 20:02:51 GMT 2022,29,1420636
Wed Oct 26 20:02:53 GMT 2022,27,1419286
Wed Oct 26 20:02:55 GMT 2022,27,1419154
Wed Oct 26 20:02:56 GMT 2022,27,1419238
Wed Oct 26 20:02:58 GMT 2022,27,1435175
Wed Oct 26 20:02:59 GMT 2022,0,1446441
Wed Oct 26 20:03:00 GMT 2022,0,1468773
