datetime,cpu,mem
Fri Oct 28 21:30:39 GMT 2022,38,1267296
Fri Oct 28 21:30:40 GMT 2022,0,1267447
Fri Oct 28 21:30:42 GMT 2022,0,1269954
Fri Oct 28 21:30:44 GMT 2022,0,1276353
Fri Oct 28 21:30:46 GMT 2022,0,1274777
Fri Oct 28 21:30:48 GMT 2022,0,1269640
Fri Oct 28 21:30:51 GMT 2022,0,1255239
Fri Oct 28 21:30:53 GMT 2022,46,1254045
Fri Oct 28 21:30:56 GMT 2022,46,1254165
Fri Oct 28 21:30:58 GMT 2022,46,1255707
Fri Oct 28 21:31:01 GMT 2022,38,1254329
Fri Oct 28 21:31:03 GMT 2022,38,1254373
Fri Oct 28 21:31:06 GMT 2022,38,1256390
Fri Oct 28 21:31:08 GMT 2022,39,1255160
Fri Oct 28 21:31:11 GMT 2022,39,1255377
