datetime,cpu,mem
Fri Oct 28 21:05:27 GMT 2022,38,1244461
Fri Oct 28 21:05:28 GMT 2022,0,1241836
Fri Oct 28 21:05:30 GMT 2022,0,1286930
Fri Oct 28 21:05:31 GMT 2022,0,1277302
Fri Oct 28 21:05:33 GMT 2022,0,1286363
Fri Oct 28 21:05:34 GMT 2022,0,1287444
Fri Oct 28 21:05:37 GMT 2022,0,1286378
Fri Oct 28 21:05:39 GMT 2022,0,1262473
Fri Oct 28 21:05:41 GMT 2022,42,1261165
Fri Oct 28 21:05:43 GMT 2022,42,1257021
Fri Oct 28 21:05:45 GMT 2022,42,1258085
Fri Oct 28 21:05:47 GMT 2022,41,1257338
Fri Oct 28 21:05:50 GMT 2022,41,1257546
Fri Oct 28 21:05:52 GMT 2022,41,1263788
Fri Oct 28 21:05:54 GMT 2022,53,1262333
Fri Oct 28 21:05:56 GMT 2022,53,1262417
Fri Oct 28 21:05:59 GMT 2022,53,1263809
Fri Oct 28 21:06:01 GMT 2022,40,1262450
Fri Oct 28 21:06:03 GMT 2022,40,1262607
Fri Oct 28 21:06:05 GMT 2022,40,1365135
Fri Oct 28 21:06:08 GMT 2022,43,1361853
Fri Oct 28 21:06:10 GMT 2022,43,1437371
Fri Oct 28 21:06:12 GMT 2022,43,1363681
Fri Oct 28 21:06:14 GMT 2022,39,1362287
Fri Oct 28 21:06:17 GMT 2022,39,1362255
Fri Oct 28 21:06:19 GMT 2022,39,1363969
Fri Oct 28 21:06:21 GMT 2022,38,1361883
Fri Oct 28 21:06:24 GMT 2022,38,1359119
Fri Oct 28 21:06:26 GMT 2022,38,1361857
Fri Oct 28 21:06:28 GMT 2022,44,1359043
Fri Oct 28 21:06:30 GMT 2022,44,1359303
Fri Oct 28 21:06:33 GMT 2022,44,1361065
Fri Oct 28 21:06:35 GMT 2022,42,1360500
Fri Oct 28 21:06:37 GMT 2022,42,1360583
Fri Oct 28 21:06:40 GMT 2022,42,1362205
Fri Oct 28 21:06:42 GMT 2022,40,1361455
Fri Oct 28 21:06:44 GMT 2022,40,1366345
Fri Oct 28 21:06:47 GMT 2022,40,1363309
Fri Oct 28 21:06:49 GMT 2022,40,1362720
