datetime,cpu,mem
Fri Oct 28 20:53:25 GMT 2022,40,1276642
Fri Oct 28 20:53:27 GMT 2022,0,1186384
Fri Oct 28 20:53:28 GMT 2022,0,1283386
Fri Oct 28 20:53:30 GMT 2022,0,1257091
Fri Oct 28 20:53:32 GMT 2022,0,1247450
Fri Oct 28 20:53:34 GMT 2022,0,1247305
Fri Oct 28 20:53:36 GMT 2022,0,1263323
Fri Oct 28 20:53:38 GMT 2022,0,1262112
Fri Oct 28 20:53:41 GMT 2022,0,1262354
Fri Oct 28 20:53:43 GMT 2022,0,1262909
Fri Oct 28 20:53:45 GMT 2022,48,1261593
Fri Oct 28 20:53:47 GMT 2022,48,1261269
Fri Oct 28 20:53:50 GMT 2022,48,1262622
Fri Oct 28 20:53:52 GMT 2022,47,1261946
Fri Oct 28 20:53:54 GMT 2022,47,1262254
Fri Oct 28 20:53:56 GMT 2022,47,1263808
Fri Oct 28 20:53:59 GMT 2022,46,1264018
Fri Oct 28 20:54:01 GMT 2022,46,1317970
Fri Oct 28 20:54:03 GMT 2022,46,1321133
Fri Oct 28 20:54:06 GMT 2022,46,1320359
Fri Oct 28 20:54:08 GMT 2022,46,1342235
Fri Oct 28 20:54:11 GMT 2022,46,1293089
Fri Oct 28 20:54:13 GMT 2022,35,1299715
Fri Oct 28 20:54:15 GMT 2022,35,1307363
Fri Oct 28 20:54:18 GMT 2022,35,1274317
Fri Oct 28 20:54:20 GMT 2022,30,1272771
Fri Oct 28 20:54:22 GMT 2022,30,1284143
Fri Oct 28 20:54:24 GMT 2022,30,1304189
Fri Oct 28 20:54:26 GMT 2022,34,1312407
Fri Oct 28 20:54:29 GMT 2022,34,1333739
Fri Oct 28 20:54:31 GMT 2022,34,1335525
Fri Oct 28 20:54:33 GMT 2022,25,1297039
Fri Oct 28 20:54:35 GMT 2022,25,1297055
Fri Oct 28 20:54:37 GMT 2022,25,1288665
Fri Oct 28 20:54:39 GMT 2022,0,1283671
Fri Oct 28 20:54:41 GMT 2022,0,1274615
Fri Oct 28 20:54:43 GMT 2022,0,1275525
Fri Oct 28 20:54:45 GMT 2022,16,1274131
Fri Oct 28 20:54:47 GMT 2022,16,1274191
Fri Oct 28 20:54:49 GMT 2022,16,1275625
Fri Oct 28 20:54:50 GMT 2022,15,1274119
Fri Oct 28 20:54:52 GMT 2022,15,1274623
Fri Oct 28 20:54:54 GMT 2022,15,1276049
Fri Oct 28 20:54:56 GMT 2022,15,1274763
Fri Oct 28 20:54:58 GMT 2022,15,1273467
Fri Oct 28 20:55:00 GMT 2022,15,1274977
Fri Oct 28 20:55:02 GMT 2022,15,1273503
Fri Oct 28 20:55:04 GMT 2022,15,1273675
Fri Oct 28 20:55:05 GMT 2022,15,1275417
Fri Oct 28 20:55:07 GMT 2022,14,1273659
Fri Oct 28 20:55:09 GMT 2022,14,1273799
Fri Oct 28 20:55:11 GMT 2022,14,1275481
Fri Oct 28 20:55:13 GMT 2022,15,1274143
Fri Oct 28 20:55:15 GMT 2022,15,1274115
Fri Oct 28 20:55:17 GMT 2022,15,1275725
Fri Oct 28 20:55:19 GMT 2022,14,1274695
Fri Oct 28 20:55:21 GMT 2022,14,1274667
Fri Oct 28 20:55:22 GMT 2022,14,1276257
Fri Oct 28 20:55:24 GMT 2022,0,1274983
Fri Oct 28 20:55:26 GMT 2022,0,1275195
Fri Oct 28 20:55:28 GMT 2022,0,1276837
Fri Oct 28 20:55:30 GMT 2022,0,1272829
