datetime,cpu,mem
Sat Oct 29 00:52:42 GMT 2022,15,1268598
Sat Oct 29 00:52:43 GMT 2022,-1.5,1268206
Sat Oct 29 00:52:44 GMT 2022,-1.5,1273760
Sat Oct 29 00:52:46 GMT 2022,-1.5,1274107
Sat Oct 29 00:52:47 GMT 2022,-1.5,1276431
Sat Oct 29 00:52:49 GMT 2022,1.4,1278696
Sat Oct 29 00:52:51 GMT 2022,1.4,1278617
Sat Oct 29 00:52:53 GMT 2022,1.4,1263430
Sat Oct 29 00:52:56 GMT 2022,1.1,1259066
Sat Oct 29 00:52:58 GMT 2022,1.1,1259186
Sat Oct 29 00:52:59 GMT 2022,1.1,1260623
Sat Oct 29 00:53:01 GMT 2022,35,1259386
Sat Oct 29 00:53:03 GMT 2022,35,1259746
Sat Oct 29 00:53:06 GMT 2022,35,1261075
Sat Oct 29 00:53:07 GMT 2022,0.3,1260063
Sat Oct 29 00:53:09 GMT 2022,0.3,1259725
Sat Oct 29 00:53:12 GMT 2022,0.3,1261138
Sat Oct 29 00:53:14 GMT 2022,1,1259905
Sat Oct 29 00:53:16 GMT 2022,1,1259969
Sat Oct 29 00:53:18 GMT 2022,1,1261470
Sat Oct 29 00:53:20 GMT 2022,35,1260002
Sat Oct 29 00:53:22 GMT 2022,35,1260150
Sat Oct 29 00:53:24 GMT 2022,35,1261615
Sat Oct 29 00:53:26 GMT 2022,0.4,1260374
Sat Oct 29 00:53:28 GMT 2022,0.4,1260570
Sat Oct 29 00:53:31 GMT 2022,0.4,1261911
Sat Oct 29 00:53:33 GMT 2022,1,1260662
Sat Oct 29 00:53:35 GMT 2022,1,1260746
Sat Oct 29 00:53:37 GMT 2022,1,1266706
Sat Oct 29 00:53:39 GMT 2022,39,1262442
Sat Oct 29 00:53:42 GMT 2022,39,1260884
Sat Oct 29 00:53:44 GMT 2022,39,1274262
Sat Oct 29 00:53:46 GMT 2022,43,1262291
Sat Oct 29 00:53:49 GMT 2022,43,1263016
Sat Oct 29 00:53:51 GMT 2022,43,1258940
Sat Oct 29 00:53:54 GMT 2022,43,1259090
Sat Oct 29 00:53:56 GMT 2022,43,1257608
Sat Oct 29 00:53:58 GMT 2022,43,1256395
Sat Oct 29 00:54:01 GMT 2022,43,1257928
Sat Oct 29 00:54:03 GMT 2022,43,1258576
Sat Oct 29 00:54:05 GMT 2022,43,1260125
Sat Oct 29 00:54:08 GMT 2022,40,1258839
Sat Oct 29 00:54:10 GMT 2022,40,1259048
Sat Oct 29 00:54:12 GMT 2022,40,1260429
Sat Oct 29 00:54:14 GMT 2022,39,1271743
Sat Oct 29 00:54:17 GMT 2022,39,1259436
Sat Oct 29 00:54:19 GMT 2022,39,1260693
Sat Oct 29 00:54:21 GMT 2022,39,1259428
Sat Oct 29 00:54:23 GMT 2022,39,1259744
