datetime,cpu,mem
Fri Oct 28 20:28:57 GMT 2022,38,1264199
Fri Oct 28 20:28:58 GMT 2022,0,1193023
Fri Oct 28 20:29:00 GMT 2022,0,1255291
Fri Oct 28 20:29:01 GMT 2022,0,1255751
Fri Oct 28 20:29:03 GMT 2022,0,1257145
Fri Oct 28 20:29:05 GMT 2022,0,1247855
Fri Oct 28 20:29:07 GMT 2022,0,1248116
Fri Oct 28 20:29:09 GMT 2022,0,1263682
Fri Oct 28 20:29:12 GMT 2022,51,1262960
Fri Oct 28 20:29:14 GMT 2022,51,1262195
Fri Oct 28 20:29:16 GMT 2022,51,1263673
Fri Oct 28 20:29:18 GMT 2022,48,1261895
Fri Oct 28 20:29:21 GMT 2022,48,1261927
Fri Oct 28 20:29:23 GMT 2022,48,1263985
Fri Oct 28 20:29:25 GMT 2022,47,1262691
Fri Oct 28 20:29:28 GMT 2022,47,1262739
Fri Oct 28 20:29:30 GMT 2022,47,1266049
Fri Oct 28 20:29:33 GMT 2022,0,1281234
Fri Oct 28 20:29:35 GMT 2022,0,1280368
Fri Oct 28 20:29:38 GMT 2022,0,1279022
Fri Oct 28 20:29:40 GMT 2022,0,1280516
Fri Oct 28 20:29:43 GMT 2022,0,1279242
Fri Oct 28 20:29:45 GMT 2022,0,1279214
Fri Oct 28 20:29:47 GMT 2022,0,1280792
Fri Oct 28 20:29:49 GMT 2022,14,1279382
Fri Oct 28 20:29:51 GMT 2022,14,1279334
Fri Oct 28 20:29:53 GMT 2022,14,1282316
Fri Oct 28 20:29:54 GMT 2022,20,1289846
Fri Oct 28 20:29:57 GMT 2022,20,1316538
Fri Oct 28 20:29:59 GMT 2022,20,1323168
Fri Oct 28 20:30:01 GMT 2022,0,1345068
Fri Oct 28 20:30:04 GMT 2022,0,1399050
Fri Oct 28 20:30:06 GMT 2022,0,1366908
Fri Oct 28 20:30:09 GMT 2022,36,1356994
Fri Oct 28 20:30:11 GMT 2022,36,1317166
Fri Oct 28 20:30:14 GMT 2022,36,1316616
Fri Oct 28 20:30:16 GMT 2022,35,1323366
Fri Oct 28 20:30:19 GMT 2022,35,1330646
Fri Oct 28 20:30:21 GMT 2022,35,1296348
Fri Oct 28 20:30:24 GMT 2022,29,1295326
Fri Oct 28 20:30:26 GMT 2022,29,1295434
Fri Oct 28 20:30:28 GMT 2022,29,1296844
Fri Oct 28 20:30:30 GMT 2022,0,1295122
Fri Oct 28 20:30:32 GMT 2022,0,1295142
Fri Oct 28 20:30:34 GMT 2022,0,1296752
Fri Oct 28 20:30:36 GMT 2022,16,1295102
Fri Oct 28 20:30:38 GMT 2022,16,1295106
Fri Oct 28 20:30:40 GMT 2022,16,1296584
Fri Oct 28 20:30:42 GMT 2022,14,1295262
Fri Oct 28 20:30:43 GMT 2022,14,1295494
Fri Oct 28 20:30:45 GMT 2022,14,1296788
Fri Oct 28 20:30:47 GMT 2022,14,1295586
Fri Oct 28 20:30:49 GMT 2022,14,1295742
Fri Oct 28 20:30:51 GMT 2022,14,1297476
Fri Oct 28 20:30:53 GMT 2022,15,1296230
Fri Oct 28 20:30:55 GMT 2022,15,1296382
Fri Oct 28 20:30:57 GMT 2022,15,1297780
Fri Oct 28 20:30:59 GMT 2022,14,1296738
Fri Oct 28 20:31:01 GMT 2022,14,1296974
Fri Oct 28 20:31:03 GMT 2022,14,1298452
Fri Oct 28 20:31:05 GMT 2022,15,1294662
Fri Oct 28 20:31:07 GMT 2022,15,1294606
Fri Oct 28 20:31:09 GMT 2022,15,1291248
Fri Oct 28 20:31:11 GMT 2022,14,1290034
Fri Oct 28 20:31:13 GMT 2022,14,1289562
Fri Oct 28 20:31:15 GMT 2022,14,1291188
Fri Oct 28 20:31:17 GMT 2022,15,1289870
Fri Oct 28 20:31:19 GMT 2022,15,1289802
Fri Oct 28 20:31:21 GMT 2022,15,1291472
Fri Oct 28 20:31:23 GMT 2022,14,1290870
Fri Oct 28 20:31:24 GMT 2022,14,1290378
Fri Oct 28 20:31:26 GMT 2022,14,1291908
Fri Oct 28 20:31:28 GMT 2022,15,1290462
Fri Oct 28 20:31:30 GMT 2022,15,1290810
Fri Oct 28 20:31:32 GMT 2022,15,1292240
Fri Oct 28 20:31:34 GMT 2022,15,1290854
Fri Oct 28 20:31:36 GMT 2022,15,1290914
Fri Oct 28 20:31:38 GMT 2022,15,1292480
Fri Oct 28 20:31:40 GMT 2022,14,1291038
Fri Oct 28 20:31:42 GMT 2022,14,1291214
Fri Oct 28 20:31:44 GMT 2022,14,1292812
Fri Oct 28 20:31:46 GMT 2022,14,1291270
Fri Oct 28 20:31:48 GMT 2022,14,1291502
Fri Oct 28 20:31:50 GMT 2022,14,1293144
Fri Oct 28 20:31:52 GMT 2022,14,1291750
Fri Oct 28 20:31:54 GMT 2022,14,1291930
Fri Oct 28 20:31:56 GMT 2022,14,1293376
Fri Oct 28 20:31:58 GMT 2022,15,1291894
Fri Oct 28 20:32:00 GMT 2022,15,1291926
Fri Oct 28 20:32:02 GMT 2022,15,1293500
Fri Oct 28 20:32:04 GMT 2022,15,1292046
Fri Oct 28 20:32:06 GMT 2022,15,1292250
Fri Oct 28 20:32:08 GMT 2022,15,1293704
Fri Oct 28 20:32:09 GMT 2022,14,1292390
Fri Oct 28 20:32:11 GMT 2022,14,1292634
Fri Oct 28 20:32:13 GMT 2022,14,1293976
