Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
34,2557256,37,4529041,2973064,40,70
134,2512124,137,4821459,3265482,140,70
235,2513760,238,4185601,2629624,241,44
336,2513496,339,2738280,1182303,342,29
435,2513752,438,2326908,770931,441,28
537,2514980,546,1743954,187977,555,41
639,2516328,648,2853001,1297024,656,36
737,2515984,742,2802811,1246834,745,34
838,2514072,840,2800047,1244070,843,28
937,2513672,940,1807016,251039,942,22
1038,2513724,1040,1775660,219683,1043,25
1139,2514068,1144,1811964,255987,1151,27
1242,2514068,1256,1124006,0,1266,24
1342,2513872,1353,1309277,0,1364,23
1442,2514120,1453,1422231,0,1462,32
1543,2514420,1554,1319639,0,1562,28
1643,2514420,1654,1256684,0,1664,22
1744,2514668,1754,1289327,0,1764,25
1845,2514508,1855,1359277,0,1866,30
1946,2514464,1956,1331297,0,1967,26
2046,2514712,2058,1361608,0,2068,26
2147,2515260,2158,1321970,0,2168,27
2248,2515788,2259,1983422,427445,2269,38
2348,2518168,2357,1873708,317731,2367,30
2450,2529148,2460,2114916,558939,2466,32
2550,2533292,2557,870774,0,2564,18
2599,2533516,2606,1354506,0,,
