Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
8,2600336,12,3061782,1812697,16,51
91,2611908,95,3401334,2152249,99,51
191,2606752,194,3844824,2595739,197,48
292,2614488,297,3360663,2111578,301,64
393,2629900,396,4053551,2804466,399,57
493,2640580,496,3717906,2468821,499,53
594,2647316,596,3640504,2391419,598,50
696,2655516,703,2060971,811886,710,32
797,2611340,804,1633996,384911,811,30
898,2613320,908,1708273,459188,915,34
996,2616012,998,2767982,1518897,1001,51
1097,2616472,1099,2440559,1191474,1102,30
1198,2617060,1201,1619233,370148,1204,34
1298,2617592,1300,2063509,814424,1303,35
1398,2617840,1401,2328463,1079378,1403,32
1499,2617892,1501,2274835,1025750,1504,35
1599,2618388,1602,1914959,665874,1606,36
1700,2618688,1703,1843057,593972,1706,30
1800,2616636,1803,2451280,1202195,1806,48
1901,2616636,1904,2212712,963627,1907,34
2002,2616636,2005,2031187,782102,2008,35
2103,2616672,,,,,
