Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
78,2691020,1,4400773,2894835,5,65
179,2645532,82,4974882,3468944,85,75
279,2645924,182,5081758,3575820,185,58
379,2646324,282,2833134,1327196,284,40
480,2646844,382,1990000,484062,385,25
580,2647072,483,1435572,0,486,20
681,2647320,583,1253854,0,586,27
782,2647568,684,1266221,0,687,25
882,2647816,785,1173529,0,789,25
987,2648312,885,1213106,0,888,24
1086,2648808,1000,1167559,0,1014,26
1187,2648676,1095,1431762,0,1105,27
1288,2649416,1196,1384349,0,1207,27
1390,2649488,1299,1214714,0,1311,26
1490,2649736,1402,1313100,0,1414,28
1590,2650284,1501,1324567,0,1513,29
1691,2650532,1600,1340354,0,1610,25
1792,2650832,1703,1232546,0,1717,26
1893,2651576,1805,1247126,0,1816,27
1994,2651576,1903,1381560,0,1916,28
2094,2651576,2004,1391920,0,2016,28
2194,2650252,2104,1459651,0,2114,34
2295,2650376,2201,2468133,962195,2208,33
2395,2650484,2303,1914067,408129,2311,27
2496,2650732,2402,1584461,78523,2409,26
2595,2650928,2504,1353030,0,2513,25
2696,2651496,2603,1823838,317900,2610,31
2796,2651352,2704,1863876,357938,2710,28
2897,2651156,2803,1654280,148342,2809,25
2997,2651216,2903,1694176,188238,2910,30
3098,2655336,3004,1763994,258056,3011,30
3198,2655388,3104,2186530,680592,3110,32
3299,2655368,3205,1663094,157156,3213,25
3400,2655484,3306,1704150,198212,3313,28
3500,2655732,3407,1559526,53588,3415,25
3600,2655836,3506,1739486,233548,3513,26
3701,2655640,3607,1544891,38953,3614,24
3802,2656732,3708,1719380,213442,3715,27
3904,2659776,3804,3524694,2018756,3807,54
4004,2672500,3913,3004715,1498777,3920,47
4104,2672116,4012,4002066,2496128,4020,71
4206,2672308,4107,4977601,3471663,4110,77
4307,2680776,4217,4614274,3108336,4229,79
4407,2674056,4319,6161303,4655365,4324,92
4511,2669172,4413,5141719,3635781,4418,93
4613,2654520,4514,4485494,2979556,4518,74
