Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
29,2613148,33,2321206,968241,37,31
130,2617992,134,3668423,2315458,137,46
230,2624752,233,3392227,2039262,236,42
331,2662336,334,2889200,1536235,339,62
392,2673536,395,4420021,3067056,399,60
492,2688572,496,4184376,2831411,499,54
592,2699380,596,3674972,2322007,599,58
693,2682452,696,4132803,2779838,700,63
794,2683908,796,3326363,1973398,799,34
894,2689996,896,3080110,1727145,899,39
995,2694348,1003,2995282,1642317,1010,47
1096,2655276,1103,2408803,1055838,1111,38
1196,2655276,1203,2557906,1204941,1210,30
1297,2655536,1304,2000108,647143,1310,30
1398,2655536,1405,1684624,331659,1412,27
1497,2655536,1500,1941278,588313,1504,30
1598,2655784,1601,2759376,1406411,1604,37
1699,2655784,1702,2422970,1070005,1705,33
1800,2655712,1802,2162118,809153,1805,30
1899,2655728,1903,2429606,1076641,1906,34
2000,2656068,2002,2185062,832097,2006,30
2101,2654304,2104,2235252,882287,2107,40
2201,2654304,2204,2282772,929807,2206,31
2301,2654304,2304,1645931,292966,2307,35
2402,2654304,2405,2587514,1234549,2407,35
2502,2654160,2505,2291438,938473,2508,32
2603,2654160,2606,1720474,367509,2609,30
2705,2654204,2714,2513330,1160365,2722,37
2804,2654364,2806,2668809,1315844,2809,36
2904,2655368,2907,3038510,1685545,2910,47
3005,2655012,3007,2432784,1079819,3010,36
3105,2655052,3108,2444901,1091936,3111,38
3206,2655292,3209,2626361,1273396,3212,36
3306,2655324,3309,2383975,1031010,3312,34
3406,2655324,3409,2563815,1210850,3412,37
3506,2655376,3509,2616562,1263597,3512,30
3608,2655376,3611,1321847,0,3614,28
3708,2655376,3715,2200201,847236,3721,33
3809,2655520,3817,2143510,790545,3822,30
3909,2655768,3911,1957087,604122,3917,28
4009,2655848,4012,2346242,993277,4014,32
4110,2655652,4113,1873016,520051,4117,32
4211,2655868,4214,2091668,738703,4217,31
4311,2655868,4315,1819835,466870,4317,33
4411,2655124,4414,2153962,800997,4416,33
4511,2655596,4514,2223175,870210,4517,29
4613,2655648,4616,1813685,460720,4619,33
4713,2654180,4716,2229705,876740,4718,33
4817,2654268,4830,1868433,515468,4843,36
4915,2661364,4924,2801810,1448845,4931,40
5016,2671964,5023,2751706,1398741,5032,43
5116,2677852,5124,3042535,1689570,5131,44
5218,2654556,5229,2816237,1463272,5232,40
5316,2648920,5319,2665665,1312700,5322,47
5416,2647808,5419,2928053,1575088,5422,32
5517,2647808,5520,2298933,945968,5523,30
5617,2647416,5620,2209609,856644,5623,35
5718,2647416,5721,2043701,690736,5724,31
5818,2647168,5822,2057237,704272,5824,32
5919,2647180,5921,2560015,1207050,5924,35
6019,2647312,6021,2280308,927343,6024,32
6120,2647116,6123,2117093,764128,6126,34
6220,2647364,6224,2083510,730545,6227,36
6321,2647416,6324,2258057,905092,6328,29
6421,2647416,6425,2080274,727309,6428,30
6522,2647428,6525,2710361,1357396,6528,38
6622,2647924,6625,2356469,1003504,6628,32
6723,2647976,6726,2236634,883669,6732,33
6823,2647680,6826,2331227,978262,6829,31
6924,2647804,6927,2250974,898009,6930,38
7024,2647484,7027,2258144,905179,7030,36
7125,2647484,7127,2576392,1223427,7130,34
7225,2647784,7228,2382887,1029922,7231,39
7326,2645852,7330,2495258,1142293,7332,33
7427,2645656,7432,1774882,421917,7435,26
7528,2645856,7531,1720213,367248,7534,37
7628,2645856,7631,2519619,1166654,7633,32
7728,2646104,7731,1943542,590577,7733,29
7829,2645900,7832,2177891,824926,7835,32
7929,2646056,7932,1952387,599422,7935,26
8030,2645964,8033,2143924,790959,8035,35
8130,2645964,8133,2019400,666435,8136,32
8231,2646016,8233,2013692,660727,8236,32
8331,2646264,8334,2221214,868249,8336,35
8431,2646264,8434,1986491,633526,8436,34
8532,2646316,8536,2514564,1161599,8539,36
8632,2646564,8636,1970251,617286,8639,27
8733,2646368,8737,2008792,655827,8740,32
8833,2646436,8836,1907609,554644,8839,29
8933,2646716,8936,2314036,961071,8939,30
9034,2646964,9036,2225438,872473,9039,29
9136,2647016,9144,2064639,711674,9151,35
9236,2647016,9244,2206572,853607,9251,31
9337,2646808,9347,2231520,878555,9352,35
9436,2645632,9439,2724788,1371823,9442,42
9537,2645772,9539,2407748,1054783,9542,35
9637,2645772,9640,2301959,948994,9643,31
9738,2645232,9741,1967540,614575,9745,34
9838,2645536,9842,1887982,535017,9845,31
9938,2643916,9941,1912469,559504,9944,38
10039,2643916,10042,2338269,985304,10045,32
10139,2644156,10141,2456056,1103091,10144,35
10240,2644156,10243,2407334,1054369,10246,37
10340,2645400,10343,2524319,1171354,10346,38
10441,2646168,10444,2017410,664445,10447,35
10541,2646464,10545,2157221,804256,10548,34
10642,2646728,10644,2449476,1096511,10647,38
10744,2646728,10755,2083629,730664,10762,32
10846,2646708,10855,2516768,1163803,10867,33
10943,2646736,10946,2250093,897128,10948,28
11044,2646736,11047,1799345,446380,11049,30
11147,2646992,11158,2163389,810424,11168,37
11247,2646796,11259,2021076,668111,11272,39
11348,2647044,11362,2256327,903362,11382,32
11448,2647292,11457,2311186,958221,11462,37
11547,2647292,11551,1949495,596530,11559,31
11649,2647088,11659,2314954,961989,11669,34
11750,2647088,11759,2252944,899979,11763,33
11848,2647404,11852,2288794,935829,11855,32
11949,2647436,11952,2262377,909412,11955,32
12049,2647436,12053,2169732,816767,12056,33
12150,2647684,12153,2199654,846689,12155,34
12251,2647684,12253,1787210,434245,12257,32
12351,2647964,12355,2057963,704998,12357,33
12451,2647964,12455,2217699,864734,12459,31
12552,2646252,12555,2443979,1091014,12557,37
12653,2646500,12656,2073104,720139,12658,28
12753,2646500,12757,2152562,799597,12760,33
12854,2649492,12857,2408042,1055077,12860,33
12956,2648564,12959,1737578,384613,12962,25
13055,2646852,13057,2368459,1015494,13060,35
13155,2646884,13158,2352150,999185,13161,33
13255,2647028,13258,2252356,899391,13261,31
13356,2647028,13358,2307454,954489,13362,37
13456,2646636,13459,2320031,967066,13462,31
13557,2646636,13560,2616562,1263597,13562,37
13657,2646912,13660,2477480,1124515,13663,36
13757,2646716,13761,2451356,1098391,13764,32
13858,2646800,13861,2240366,887401,13863,34
13958,2647192,13961,2482593,1129628,13964,35
14059,2647440,14061,2401677,1048712,14064,36
14159,2647244,14164,2461671,1108706,14170,34
14261,2647308,14270,2671072,1318107,14274,36
14360,2647360,14363,2553500,1200535,14366,36
14461,2646968,14463,2453119,1100154,14466,35
14561,2646996,14564,2503309,1150344,14567,36
14662,2646996,14664,2517650,1164685,14667,36
14762,2647196,14765,2506454,1153489,14767,36
14863,2647388,14865,2367078,1014113,14868,31
14969,2647688,14988,1515153,162188,15000,34
15066,2646124,15077,2179690,826725,15094,38
15167,2645928,15178,1977514,624549,15180,32
15267,2645928,15288,2148040,795075,15293,36
15366,2645928,15369,1961919,608954,15374,28
15467,2645732,15470,1925366,572401,15473,32
15567,2645980,15570,2125396,772431,15573,31
15668,2645784,15671,2049869,696904,15674,34
15769,2646032,15772,1952391,599426,15781,32
15872,2646040,15881,2057307,704342,15884,32
15970,2646196,15972,1943665,590700,15975,30
16071,2646196,16074,2052268,699303,16076,31
16172,2646196,16174,1920075,567110,16177,27
16271,2646196,16274,2233490,880525,16277,32
16372,2646648,16374,2199402,846437,16377,31
16472,2646648,16476,1772634,419669,16478,25
16573,2647144,16576,1688094,335129,16579,31
16676,2647144,16686,2129836,776871,16696,33
16776,2646948,16788,1688191,335226,16801,37
16877,2647016,16887,2356788,1003823,16898,31
16977,2647120,16987,2335840,982875,16992,35
17075,2647120,17078,2177483,824518,17081,31
17176,2647120,17179,2007101,654136,17182,35
17276,2647344,17279,2115422,762457,17283,32
17377,2647344,17379,1992562,639597,17383,32
17477,2645592,17480,2148859,795894,17482,36
17578,2645828,17581,2524704,1171739,17583,33
17678,2645828,17681,2103545,750580,17684,33
17779,2645828,17786,2041547,688582,17792,34
17882,2646268,17894,1827106,474141,17905,36
17981,2646212,17992,2262510,909545,18001,35
18081,2646460,18088,2285443,932478,18095,28
18182,2646460,18189,2166989,814024,18197,30
18283,2646708,18301,2322762,969797,18303,37
18382,2646708,18385,1985768,632803,18388,29
18482,2646708,18485,2007537,654572,18488,33
18583,2646708,18586,2167310,814345,18588,29
18685,2646956,18693,2276804,923839,18700,36
18786,2646956,18795,2188794,835829,18802,31
18885,2647160,18893,2341041,988076,18900,31
18986,2647288,18993,2200871,847906,19000,35
19087,2647288,19096,1964257,611292,19102,34
19186,2647432,19189,2163758,810793,19192,31
19287,2647432,19289,2464521,1111556,19292,33
19387,2647680,19390,2155952,802987,19393,32
19487,2647680,19490,2054943,701978,19493,30
19587,2647680,19590,2253825,900860,19593,30
19688,2647928,19691,1848067,495102,19693,26
19789,2647928,19791,2185062,832097,19794,31
19890,2647764,19892,1848627,495662,19895,32
19989,2647784,19993,2496139,1143174,19995,33
20091,2648016,20094,1926938,573973,20098,28
20191,2645888,20194,2328964,975999,20196,38
20292,2645888,20295,2194379,841414,20298,27
20342,2646132,20345,1968350,615385,20347,34
