Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
84,2555160,1,4174562,2365569,3,59
184,2517760,87,4305179,2496186,91,72
285,2524184,187,3890902,2081909,191,45
387,2529480,288,4259308,2450315,291,76
488,2533580,389,4034598,2225605,391,43
588,2545404,492,2233870,424877,496,27
688,2549672,591,2270912,461919,596,52
789,2557136,692,3952084,2143091,697,79
890,2562020,792,5339501,3530508,805,75
991,2563372,896,4707445,2898452,904,54
1091,2557596,994,4839150,3030157,998,75
1191,2547932,1095,5171271,3362278,1098,57
1292,2553656,1194,3708074,1899081,1197,38
1393,2559484,1295,3135746,1326753,1298,45
1494,2564512,1396,2832339,1023346,1403,41
1593,2567740,1502,2623819,814826,1508,39
1694,2569696,1596,2590025,781032,1599,38
1794,2572436,1697,1762946,0,1699,32
1895,2576644,1797,1174430,0,1800,34
1995,2576128,1898,1301480,0,1901,32
2096,2576928,1998,2907435,1098442,2001,39
2197,2577920,2099,1630429,0,2102,35
2297,2578648,2200,1496844,0,2203,36
2400,2579596,2300,1548899,0,2303,34
2500,2581384,2414,1590764,0,2426,40
2600,2582172,2509,1567710,0,2518,36
2700,2584316,2611,1356440,0,2620,32
2801,2585588,2708,2638246,829253,2716,41
2901,2588644,2809,2623906,814913,2816,37
3002,2587228,2909,1757794,0,2916,26
3101,2587744,3011,2114829,305836,3017,34
3201,2588500,3103,2415973,606980,3106,35
3302,2589568,3204,1870076,61083,3207,32
3404,2590560,3309,1994117,185124,3318,35
3505,2595260,3417,1838799,29806,3428,32
3603,2596512,3514,2387293,578300,3518,34
3704,2598068,3606,2464695,655702,3609,35
3805,2599152,3707,1904985,95992,3710,33
3905,2600596,3808,1725052,0,3810,35
4006,2602344,3909,1557343,0,3912,36
4107,2603488,4009,2088149,279156,4012,38
4207,2606784,4110,2810329,1001336,4113,44
4309,2607764,4210,3560251,1751258,4213,55
4410,2614692,4312,3799040,1990047,4316,60
4511,2621860,4413,4714789,2905796,4419,67
4610,2620496,4520,5015639,3206646,4539,87
4711,2618176,4615,6373877,4564884,4619,88
4811,2613144,4715,6027808,4218815,4719,89
4912,2610024,4814,5178746,3369753,4817,71
5012,2611268,4915,3039217,1230224,4917,35
5112,2613928,5016,1845130,36137,5019,20
5213,2616936,5115,3041654,1232661,5118,44
5314,2614828,5216,2807391,998398,5219,42
5415,2619652,5318,3182793,1373800,5321,49
5515,2620628,5417,3085175,1276182,5420,48
5616,2621792,5518,2656438,847445,5521,34
5716,2622912,5619,2335634,526641,5622,34
5817,2623752,5719,2050299,241306,5722,29
5917,2624844,5820,2406832,597839,5823,28
6017,2626284,5920,2140730,331737,5923,35
6120,2627756,6021,1983422,174429,6024,36
,,6132,1586138,0,,
