Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
1,2650332,6,3507123,2005632,10,62
81,2669448,86,4875588,3374097,90,74
181,2687104,185,5669826,4168335,190,68
282,2672920,286,4282407,2780916,291,68
383,2679764,387,5303738,3802247,390,62
483,2699168,485,4193102,2691611,489,69
585,2712188,596,4361336,2859845,601,0
690,2712476,701,3128186,1626695,714,0
790,2709300,804,3739693,2238202,819,93
891,2711416,898,6680508,5179017,906,93
991,2663548,1002,5374140,3872649,1016,95
1090,2670496,1096,4239750,2738259,1100,92
1193,2689568,1202,5762727,4261236,1212,95
1293,2701832,1300,3284832,1783341,1305,74
1393,2622284,1396,4499806,2998315,1399,32
1493,2629072,1496,1547685,46194,1499,30
1593,2634420,1596,1998258,496767,1599,28
1694,2644092,1697,1912744,411253,1700,30
1794,2654012,1798,1869512,368021,1801,37
1895,2654948,1898,2387518,886027,1901,33
1997,2663184,2008,1677993,176502,2018,35
2097,2668680,2107,1984317,482826,2116,34
2198,2672952,2206,2751706,1250215,2213,39
2299,2678160,2310,1672325,170834,2320,29
2399,2683864,2408,2179360,677869,2415,35
2498,2689124,2501,2328170,826679,2504,33
2599,2695372,2601,2319825,818334,2604,32
2699,2702016,2702,2202840,701349,2705,31
2799,2706512,2802,2947268,1445777,2805,39
2900,2692356,2902,3435128,1933637,2908,44
3000,2698060,3004,2432283,930792,3007,35
3101,2701360,3109,2314123,812632,3114,37
3203,2707060,3212,2442010,940519,3216,32
3302,2712072,3305,2078979,577488,3307,34
3402,2712040,3405,2045890,544399,3409,36
3503,2710740,3506,2382887,881396,3509,34
3603,2702944,3606,1364685,0,3609,34
3703,2708400,3708,2240184,738693,3711,35
3803,2672628,3806,2695346,1193855,3809,31
3904,2678400,3908,2173363,671872,3912,33
4005,2683724,4007,1698155,196664,4010,28
4105,2689104,4108,1777858,276367,4111,32
4208,2694708,4220,1755335,253844,4231,34
4308,2700536,4318,2266301,764810,4327,36
4409,2705300,4419,1861918,360427,4428,34
4510,2711056,4522,1576039,74548,4532,38
4609,2707120,4617,3775180,2273689,4624,51
4710,2683260,4718,3497309,1995818,4724,52
4811,2680928,4818,3180356,1678865,4824,42
4912,2682464,4920,2644067,1142576,4926,38
5010,2687172,5013,2785794,1284303,5016,38
5111,2682316,5114,2645036,1143545,5116,38
5211,2687260,5215,2132815,631324,5222,31
5314,2692716,5329,1826040,324549,5343,35
5414,2695632,5424,2484695,983204,,
