Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
62,2523308,65,4415788,2665254,68,73
163,2525972,165,4394796,2644262,168,44
262,2525776,265,2321224,570690,269,19
364,2524836,372,1906897,156363,380,30
465,2525172,473,1640579,0,481,24
565,2525860,572,2022810,272276,581,31
665,2525860,673,1624358,0,681,26
766,2525692,773,1654280,0,781,26
866,2526236,874,1606807,0,883,28
967,2526484,974,1878216,127682,981,28
1067,2526496,1073,2000108,249574,1079,26
1168,2526104,1174,1612602,0,1182,27
1273,2526600,1292,1141820,0,1302,23
1372,2527064,1386,1311189,0,1400,31
1470,2535528,1478,1929462,178928,1483,30
1573,2536476,1581,810220,0,1597,20
1672,2536504,1681,1660317,0,1690,26
1773,2537728,1782,1655943,0,,
