Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
24,2606700,31,3190344,1661426,38,59
125,2614152,128,4398217,2869299,131,58
225,2622684,229,3719495,2190577,232,53
326,2621420,329,3681675,2152757,332,65
426,2632360,430,4123784,2594866,435,48
527,2641372,530,3347117,1818199,533,54
627,2650312,631,3984875,2455957,634,52
728,2660152,732,2765906,1236988,736,49
829,2614892,837,3300037,1771119,845,44
930,2614844,939,3379029,1850111,945,57
1030,2614844,1038,3145854,1616936,1044,50
1131,2615160,1140,3337891,1808973,1146,52
1232,2615160,1239,3367159,1838241,1246,50
1332,2615160,1339,3495633,1966715,1346,49
1431,2615188,1434,2975154,1446236,1437,49
1532,2615188,1534,3299190,1770272,1537,49
1632,2615684,1634,3527164,1998246,,
