Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
80,2600180,5,4017407,2404052,14,60
182,2606152,88,4074180,2460825,95,43
281,2611608,191,1849416,236061,196,28
383,2557644,290,1441188,0,300,25
484,2557868,394,953622,0,402,16
587,2558364,498,559267,0,506,8
685,2558364,605,295473,0,617,12
787,2558608,696,824560,0,703,14
887,2558856,802,554376,0,817,17
990,2559572,900,982302,0,907,14
1088,2559704,1008,232049,0,1024,10
1190,2559952,1100,548570,0,1113,15
1290,2560200,1206,410400,0,1219,17
1391,2560448,1303,334886,0,1316,13
1490,2559232,1407,256481,0,1424,12
1591,2559232,1499,1111364,0,1509,15
1692,2559232,1604,329142,0,1618,13
1794,2559036,1709,526286,0,1722,9
1894,2559284,1810,377568,0,1822,14
1998,2559472,1909,347415,0,1923,19
2095,2559440,2019,269474,0,2036,19
2197,2559688,2106,678233,0,2116,14
2296,2559492,2210,604689,0,2223,13
2398,2559416,2307,975132,0,2314,20
2498,2559664,2412,614220,0,2427,18
2599,2559664,2508,781540,0,2519,13
2699,2560132,2614,348624,0,2628,15
2798,2561176,2709,910601,0,2719,15
2898,2562900,2808,1410905,0,2815,37
2999,2563976,2907,2094111,480756,2915,42
3099,2564816,3006,2306131,692776,3014,50
3199,2565312,3104,2409598,796243,3111,31
3300,2570024,3205,2566545,953190,3211,37
3400,2570076,3306,2702777,1089422,3313,40
3501,2570076,3406,2473334,859979,3413,37
3601,2569684,3508,1785005,171650,3514,28
3701,2569488,3607,2043129,429774,3612,27
3802,2569788,3708,1696866,83511,3715,30
3902,2570152,3808,1813685,200330,3814,28
4003,2570156,3908,1863876,250521,3914,24
4103,2572840,4014,2717117,1103762,4017,43
4203,2576492,4105,3228958,1615603,4108,46
4303,2588992,4206,3567922,1954567,4210,61
4405,2597980,4307,4946582,3333227,4310,81
4506,2592984,4409,6031856,4418501,4413,94
4606,2575844,4509,6467502,4854147,4513,90
4706,2577420,4609,5809496,4196141,4611,65
4806,2578692,4708,3282706,1669351,4710,40
4907,2575632,4808,2529226,915871,4811,36
5008,2576300,4909,2208041,594686,4912,35
5109,2578988,5010,1566671,0,5013,17
5209,2579924,5112,2321000,707645,5115,37
