Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
22,2709296,28,5388829,3541274,34,91
124,2710464,133,5838193,3990638,138,88
175,2715824,179,5850824,4003269,185,87
275,2697880,282,5496248,3648693,287,72
375,2692384,380,4596878,2749323,385,66
475,2694904,479,4749825,2902270,483,76
576,2701980,579,4007731,2160176,583,53
677,2708316,680,3603627,1756072,683,46
778,2711788,781,3428578,1581023,784,46
878,2710408,881,3549589,1702034,884,48
979,2711472,982,3079594,1232039,986,40
1080,2653492,1083,2766166,918611,1086,34
1180,2653544,1184,2112051,264496,1187,32
1281,2653552,1284,2401079,553524,1287,28
1382,2653488,1385,2024014,176459,1389,31
1483,2653932,1486,2128741,281186,1489,32
1584,2653968,1587,2350333,502778,1590,33
1684,2653992,1687,2612069,764514,1690,29
1785,2654292,1788,2399768,552213,1793,37
1885,2654148,1888,2167542,319987,1891,27
1986,2654448,1989,2239985,392430,1991,32
2087,2654448,2096,2187031,339476,2103,33
2188,2654500,2195,2303221,455666,2210,31
2289,2653272,2299,2690319,842764,2309,38
2388,2653156,2390,2112980,265425,2393,34
2487,2653160,2490,2149211,301656,2493,31
2588,2653408,2590,2208835,361280,2593,27
2690,2653212,2699,2277098,429543,2705,35
2790,2653460,2797,2934190,1086635,2805,44
2890,2653712,2892,2609479,761924,2899,36
2990,2654248,2993,2462258,614703,2995,34
3091,2654052,3096,1976687,129132,3103,32
3192,2654052,3199,2344272,496717,3204,32
3292,2654104,3300,2192232,344677,3305,32
3391,2654020,3394,2127407,279852,3397,32
3492,2654088,3495,2378861,531306,3497,34
3592,2654648,3595,2242422,394867,3598,32
3693,2654700,3695,1714124,0,3698,31
3793,2654816,3796,2555263,707708,3798,38
3894,2654816,3897,2227926,380371,3899,33
3995,2655284,3997,2261990,414435,4000,33
4094,2655312,4097,2222381,374826,4099,32
4195,2655312,4198,2291144,443589,4201,34
4296,2655312,4299,1910781,63226,4301,32
4396,2655596,4399,2050299,202744,4401,30
4499,2655492,4513,2224263,376708,4516,33
4598,2655492,4601,2154968,307413,4604,35
4698,2664236,4700,2711917,864362,4703,43
4798,2669452,4801,2765839,918284,4804,42
4899,2648388,4902,2761640,914085,4906,38
4999,2650352,5002,2434753,587198,5005,32
5100,2646568,5103,2796489,948934,5106,51
5200,2645224,5203,2913887,1066332,5206,36
5300,2645036,5303,2704366,856811,5306,37
5401,2645036,5403,2287412,439857,5406,32
5501,2645384,5504,2282505,434950,5507,34
5603,2645408,5612,2167829,320274,5621,34
5703,2645408,5711,2236721,389166,5721,32
5803,2645212,5812,2179360,331805,5816,35
5903,2645668,5905,2145479,297924,5908,27
6003,2645668,6006,1987737,140182,6014,30
6104,2646128,6107,2384268,536713,6109,31
6204,2646128,6207,1714898,0,6210,32
6305,2646296,6308,1955661,108106,6311,37
6405,2646612,6407,1744046,0,6410,30
6506,2646912,6509,1985768,138213,6512,30
6608,2647160,6616,2153008,305453,6624,35
6708,2647212,6716,2380123,532568,6724,36
6809,2647408,6817,2477567,630012,6824,37
6910,2647876,6919,2362845,515290,6925,33
7010,2648124,7018,2443185,595630,7025,35
7110,2647164,7120,2458994,611439,7125,37
7209,2647164,7211,2136340,288785,7215,34
7310,2646896,7313,2154912,307357,7316,29
7410,2647392,7413,2282505,434950,7415,32
7511,2647256,7513,1790219,0,7516,35
7611,2647256,7614,2175015,327460,7616,34
7712,2647256,7715,2149418,301863,7717,31
7812,2647060,7815,2104722,257167,7819,31
7913,2647060,7915,2200871,353316,7918,34
8014,2647556,8016,2329258,481703,8019,32
8114,2647788,8117,2205103,357548,8119,32
8214,2647592,8217,2136340,288785,8219,31
8315,2647716,8317,2045098,197543,8320,30
8416,2647496,8418,1859884,12329,8421,29
8516,2647836,8518,2141411,293856,8521,33
8617,2647640,8619,2182264,334709,8622,33
8718,2647640,8726,1806515,0,8733,31
8819,2647908,8827,2294876,447321,8833,34
8920,2647908,8928,2477860,630305,8934,35
9019,2647960,9027,2210304,362749,9035,33
9120,2647960,9130,2404397,556842,9135,33
9220,2646640,9223,2732752,885197,9226,39
9320,2646372,9322,2341835,494280,9326,36
9421,2646480,9424,2289882,442327,9427,30
9521,2645696,9524,2696021,848466,9527,35
9621,2645944,9624,2213742,366187,9627,34
9723,2645748,9731,2477567,630012,9735,36
9822,2645748,9825,2458613,611058,9828,32
9922,2645992,,,,,
