Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
31,2549244,34,4275531,2750825,37,66
131,2510308,134,4546319,3021613,137,65
232,2510304,234,2295964,771258,237,27
332,2510508,334,1756325,231619,337,24
432,2510764,436,1303782,0,439,26
533,2510968,535,1235786,0,538,23
633,2511156,637,1266221,0,640,27
738,2511320,753,1301363,0,764,29
837,2511300,848,1352282,0,857,26
939,2511104,950,1203386,0,962,25
1039,2511340,1051,1250031,0,1065,24
1138,2511140,1146,2231520,706814,1151,33
1189,2511388,1194,1684624,159918,1200,25
1290,2511440,1301,1258844,0,1310,24
1390,2511440,1399,1420606,0,1409,23
1491,2511688,1499,1382579,0,1507,25
1591,2511756,1602,1217541,0,1612,24
1691,2511932,1701,1311835,0,1711,27
1792,2512292,1800,1510624,0,1811,27
1892,2512540,1899,1574487,49781,1906,25
1992,2512344,2002,1372730,0,2013,27
2093,2512592,2102,1464659,0,2111,28
2194,2513056,2203,1381560,0,2212,26
2294,2512912,2302,1418694,0,2310,26
2394,2513128,2404,1360046,0,2412,21
2495,2513328,2503,1326765,0,2513,24
2594,2511612,2601,2279742,755036,2607,29
2694,2511612,2697,1339898,0,2699,26
2795,2511888,2802,1664975,140269,2809,27
2895,2511888,2904,1659267,134561,2912,28
2997,2511888,3005,1441677,0,3014,27
3097,2511888,3107,1303468,0,3116,21
3198,2511692,3209,1328569,0,3217,28
3298,2511808,3306,1441677,0,3314,25
3402,2515824,3416,1355645,0,3430,25
3500,2516336,3507,1561192,36486,3516,26
3600,2516388,3610,1620093,95387,3613,25
3699,2516388,3701,1799446,274740,3704,24
3799,2516324,3801,1655635,130929,3805,27
3899,2516412,3901,1765349,240643,3904,32
3999,2516464,4002,2150098,625392,4004,32
4101,2516856,4104,3638828,2114122,4106,59
4202,2521508,4206,3679118,2154412,4210,56
4302,2523300,4305,3764571,2239865,4309,67
4403,2530796,4407,4877395,3352689,4412,86
4504,2530260,4509,5136424,3611718,4513,84
4605,2527280,4609,3826944,2302238,4613,75
4705,2511804,4708,2898784,1374078,4710,30
4806,2508664,4808,2032727,508021,4811,29
4905,2508972,4908,2980855,1456149,4911,44
5006,2511408,5009,2657113,1132407,5012,33
5107,2513448,5109,1912598,387892,5112,32
5206,2513648,5209,2006604,481898,5211,24
5306,2514176,5309,1707201,182495,5312,24
5407,2514228,5409,1733556,208850,5412,24
5507,2514476,5510,1670596,145890,5516,27
5607,2514724,5610,1605131,80425,5613,24
5708,2515144,5715,1684923,160217,5720,31
5810,2513148,5818,2292613,767907,5822,30
5909,2513200,5911,1765464,240758,5914,21
6009,2513200,6011,1729907,205201,6014,25
6109,2513304,6111,1705505,180799,6114,26
6210,2516920,6212,3210385,1685679,6215,50
6311,2523312,6314,3815189,2290483,6318,69
6411,2511092,6414,2832370,1307664,6418,47
6511,2510892,6514,2247696,722990,6516,31
6611,2510500,6614,1806515,281809,6616,25
6712,2510500,6714,1640652,115946,6717,24
6812,2509992,6814,1416628,0,6817,20
6913,2510236,6916,1099881,0,6919,20
7013,2510236,7016,1226066,0,7019,24
7114,2510236,7117,1294000,0,7120,27
7218,2510288,7231,1299748,0,7243,26
7317,2510288,7329,1439479,0,7339,25
7417,2510536,7427,1397571,0,7437,26
7519,2510536,7531,1266872,0,7544,30
7619,2510588,7628,1331297,0,7638,25
7719,2510392,7728,1362037,0,7737,25
7820,2510460,7829,1328569,0,7838,25
7921,2510708,7931,1367615,0,7943,31
8022,2510760,8034,1287626,0,8046,28
8122,2510760,8131,1331297,0,8142,28
8223,2510564,8232,1261347,0,8242,24
8324,2510864,8336,1214726,0,8349,23
8424,2509584,8435,1847551,322845,8446,37
