Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
3,2595136,6,2920350,1364963,9,40
83,2603624,86,3226194,1670807,90,56
183,2582096,186,3489618,1934231,188,47
284,2603392,288,3624849,2069462,292,57
384,2583388,388,3790762,2235375,391,58
485,2585288,489,4149974,2594587,492,42
585,2591004,589,3260056,1704669,592,51
686,2593360,688,3525850,1970463,690,48
786,2593480,788,2201438,646051,791,23
886,2593480,889,2110570,555183,891,28
987,2594012,990,2271103,715716,992,35
1087,2594484,1090,2206572,651185,1092,32
1188,2594488,1191,2564696,1009309,1193,37
1288,2594400,1291,2205103,649716,1297,30
1390,2594204,1404,2099020,543633,1411,31
1492,2594452,1502,2191797,636410,1513,31
1592,2594256,1602,2215709,660322,1613,38
1692,2594308,1702,2317431,762044,1712,34
1793,2594528,1803,2477860,922473,1812,35
1893,2594776,1902,2365783,810396,1913,35
1993,2595056,2001,2308422,753035,2010,36
2095,2595056,2107,2335074,779687,2124,42
2194,2594212,2202,2682562,1127175,2211,33
2295,2594212,2305,2648093,1092706,2313,37
2394,2594212,2396,2456056,900669,2399,34
2495,2594336,2502,2503984,948597,2510,37
2596,2594584,2604,2086149,530762,2611,30
2696,2594388,2704,2078979,523592,2711,31
2796,2594192,2805,2394463,839076,2810,38
2896,2594460,2905,2970334,1414947,2913,46
2997,2594460,3004,2574510,1019123,3012,33
3099,2594708,3108,2341041,785654,3118,34
3199,2594792,3208,2324057,768670,3215,33
3299,2594684,3302,2012979,457592,3305,29
3400,2594708,3402,2045098,489711,3405,29
3500,2594708,3503,2436809,881422,3506,36
3601,2594708,3604,1819532,264145,3606,30
3701,2594708,3704,1897819,342432,3706,36
3802,2594760,3804,1904869,349482,3806,27
3903,2594760,3911,2100489,545102,3919,32
4004,2594760,4011,2353706,798319,4019,36
4106,2594952,4116,2309976,754589,4124,35
4204,2595328,4207,1794397,239010,4210,30
4305,2595264,4307,1978323,422936,4311,28
4405,2593696,4408,2081795,526408,4411,30
4505,2606084,4508,2338479,783092,4511,34
4606,2614812,4608,2665634,1110247,4611,43
4707,2592492,4709,2292278,736891,4713,36
4809,2590780,4816,2160053,604666,4823,41
4909,2585212,4918,2529132,973745,4924,45
5008,2583948,5013,2277734,722347,5020,35
5110,2583828,5118,2427163,871776,5125,37
5209,2583632,5212,2254325,698938,5215,30
5310,2583580,5313,1659666,104279,5316,28
5410,2583384,5415,2027110,471723,5418,0
5511,2583236,5515,1327403,0,5518,41
5611,2583428,5615,1373368,0,5618,43
5713,2583452,5717,1115822,0,5721,35
5813,2583304,5817,970949,0,5820,32
5913,2583552,5917,1866750,311363,5920,41
6015,2583404,6019,1408938,0,6023,36
6115,2583432,6119,1022752,0,6122,26
6215,2583588,6219,865711,0,6222,35
6316,2583588,6321,705427,0,6325,33
6417,2583844,6422,927912,0,6426,38
6518,2583696,6521,905480,0,6525,39
6619,2583548,6624,908993,0,6627,33
6719,2584400,6723,864078,0,6727,33
6820,2584252,6824,909990,0,6828,37
6921,2584352,6925,852433,0,6928,38
7022,2584352,7025,855673,0,7028,37
7123,2584548,7126,1166517,0,7129,36
7222,2584348,7225,1525370,0,7229,40
7323,2584348,7326,1594286,38899,7330,34
7424,2584812,7427,1450208,0,7430,33
7524,2584664,7529,1432767,0,7532,38
7625,2584516,7629,1431338,0,7633,43
7725,2582172,7729,1943403,388016,7733,41
