Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
127,2534764,137,4710613,3175766,142,0
227,2537672,236,3318038,1783191,242,91
327,2547416,331,3154397,1619550,337,0
429,2565224,442,3337257,1802410,450,74
528,2516964,531,5241529,3706682,537,91
629,2520448,637,4571246,3036399,641,56
729,2520036,733,3729529,2194682,736,48
830,2504060,832,2815280,1280433,835,29
929,2504060,933,1271800,0,935,25
1030,2504060,1033,1349968,0,1036,26
1131,2503864,1134,1193666,0,1136,23
1232,2504112,1235,1150095,0,1238,24
1333,2504112,1335,1174645,0,1338,26
1386,2504112,1401,1368911,0,1414,34
1486,2503968,1496,1349950,0,1505,27
1586,2503968,1597,1333628,0,1607,28
1688,2504004,1698,1340623,0,1708,26
1788,2504196,1797,1328569,0,1807,25
1888,2504060,1897,1330048,0,1907,23
1990,2503864,2001,1278699,0,2012,28
2090,2504112,2100,1263679,0,2111,25
2190,2504164,2200,1291659,0,2211,25
2291,2503968,2303,1297810,0,2313,27
2392,2504268,2403,1261347,0,2413,24
2493,2504268,2505,1290166,0,2515,27
2593,2504072,2612,1238564,0,2627,27
2694,2502780,2705,1642249,107402,2717,34
2793,2506156,2800,1684624,149777,2807,19
2893,2503888,2902,1462351,0,2910,24
2993,2503692,3000,1806515,271668,3007,24
3094,2503692,3100,1921237,386390,3106,26
3194,2503496,3201,1727644,192797,3208,25
3295,2503496,3301,1577072,42225,3307,22
3395,2507532,3401,1892557,357710,3408,26
3495,2507840,3502,1720474,185627,3508,24
3596,2507944,3602,1920596,385749,3609,31
3696,2508440,3704,1689189,154342,3711,28
3797,2508492,3805,1559526,24679,3813,25
3897,2508424,3904,1964257,429410,3909,28
3999,2507428,4009,3163546,1628699,4012,50
4098,2506380,4101,3752375,2217528,4104,62
4198,2510880,4201,3985082,2450235,4205,58
4298,2525644,4311,4608793,3073946,4314,77
4400,2525788,4404,5526750,3991903,4408,91
4503,2526236,4511,5221138,3686291,4515,95
4603,2514704,4605,4615028,3080181,4608,67
4703,2511640,4705,3565249,2030402,4708,53
4804,2518472,4807,3754935,2220088,4810,54
4905,2515168,4912,3139721,1604874,4920,45
5007,2510472,5014,3008154,1473307,5021,48
5110,2511488,5114,2891583,1356736,5117,32
5210,2508940,5213,2243510,708663,5215,32
5310,2508796,5312,1858675,323828,5315,25
5410,2508848,5412,1627474,92627,5415,23
5510,2509364,5513,1594435,59588,5515,26
5611,2509168,5613,1504669,0,5616,25
5711,2509344,5713,1574487,39640,5716,25
5812,2509252,5814,1220410,0,5817,17
5913,2509392,5915,1115503,0,5918,19
6013,2509392,6016,1327446,0,6020,27
6117,2509196,6130,1297643,0,6143,30
6217,2509428,6229,1263326,0,6241,24
6319,2509676,6331,1282521,0,6344,29
6421,2509676,6437,1194730,0,6447,25
6520,2509676,6531,1290166,0,6541,29
6622,2509676,6633,1281146,0,6644,28
6720,2509532,6728,1609396,74549,6735,23
6821,2509992,6827,1777835,242988,6833,24
6922,2509992,6930,1519630,0,6940,29
7022,2510044,7028,1579474,44627,7035,22
7122,2510240,7129,1678655,143808,7136,25
7223,2510096,7233,1293990,0,7244,27
7324,2510344,7334,1331297,0,7345,26
7427,2512416,7443,1243886,0,7456,30
7526,2523044,7533,2992065,1457218,,
