Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
67,2627676,71,3368040,1918294,75,61
167,2636384,170,4250156,2800410,173,42
268,2628740,272,3391181,1941435,276,61
369,2644868,372,4107722,2657976,375,56
470,2655272,472,3781216,2331470,476,58
571,2665772,575,4312304,2862558,580,72
671,2691908,674,5472043,4022297,678,83
773,2711812,781,6354878,4905132,787,92
875,2667988,887,6370119,4920373,897,95
976,2660812,987,6136452,4686706,996,91
1076,2666276,1091,5545217,4095471,1097,91
1176,2687596,1189,5195523,3745777,1199,96
1277,2701908,1284,6179229,4729483,1295,69
1376,2700048,1379,4682203,3232457,1382,45
1476,2622940,1478,2421468,971722,1481,34
1576,2623092,1579,2059438,609692,1581,29
1677,2623216,1679,2156381,706635,1682,33
1778,2623216,1780,2378360,928614,1783,34
1877,2623464,1880,2115715,665969,1882,32
1977,2623516,1980,2360582,910836,1982,33
2079,2623516,2086,1878216,428470,2095,33
2181,2623516,2190,2129170,679424,2197,34
2280,2623516,2285,2398696,948950,2292,34
2381,2623516,2387,2301252,851506,2394,30
2481,2623516,2489,2157850,708104,2496,36
2582,2623980,2588,2351443,901697,2594,34
2683,2624544,2691,2078979,629233,2697,30
2783,2624544,2791,2717117,1267371,2796,44
2884,2624544,2894,2859050,1409304,2897,43
2983,2624544,2986,2407334,957588,2988,34
3084,2625040,3087,2123969,674223,3096,34
3186,2623520,3195,2448886,999140,3198,38
3285,2623520,3287,2321009,871263,3290,36
3385,2623984,3388,2519118,1069372,3391,34
3486,2623984,3488,2181330,731584,3491,32
3586,2624312,3588,2031051,581305,3591,28
3686,2624112,3689,2180944,731198,3692,34
3787,2624360,3789,1885386,435640,3792,31
3887,2624608,3890,1992938,543192,3893,30
3988,2624412,3991,2369721,919975,3993,34
4088,2624660,4091,2273849,824103,4094,35
4189,2624660,4196,2027320,577574,4203,31
4290,2624908,4299,2174453,724707,4306,35
4391,2624712,4401,2227726,777980,4407,37
4490,2624808,4493,1993110,543364,4496,31
4591,2624828,4594,2467753,1018007,4596,30
4691,2640892,4693,2708478,1258732,4696,43
4791,2646072,4794,2880561,1430815,4796,42
4892,2620876,4896,2389556,939810,4899,36
4993,2617420,4996,2605160,1155414,4998,47
5093,2627192,5096,2864872,1415126,5099,30
5194,2634956,5197,2849410,1399664,5201,58
5296,2654176,5299,2762314,1312568,,
