Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
7,2690824,11,4898187,2879589,15,60
89,2699120,92,5087046,3068448,95,81
190,2700168,193,4891310,2872712,197,52
290,2651584,292,2191057,172459,295,30
390,2652460,392,1700518,0,395,27
490,2652708,493,1605852,0,495,23
591,2653060,598,1489708,0,604,26
692,2653308,698,1644306,0,705,25
792,2653556,799,1679980,0,806,27
894,2653820,900,1797525,0,907,28
994,2652244,1000,2192232,173634,1006,29
1099,2652244,1109,1248656,0,1119,24
1196,2652244,1207,1335960,0,1218,26
1300,2652544,1313,1240646,0,1325,28
1401,2652544,1417,1196962,0,1431,27
1501,2652544,1514,1284432,0,1525,30
1601,2652596,1614,1412904,0,1624,32
1702,2652648,1715,1387256,0,1725,27
1802,2652648,1814,1298654,0,1824,27
1903,2652716,1914,1356945,0,1925,28
2004,2652964,2016,1238564,0,2028,23
2104,2652768,2117,1318833,0,2130,30
2206,2653264,2219,1352471,0,2233,31
2305,2653264,2315,1622253,0,2327,35
2406,2653484,2418,1338292,0,2431,26
2507,2653484,2520,1295899,0,2533,27
2608,2653288,2621,1272965,0,2634,29
2708,2653308,2719,1385182,0,2730,31
2808,2653884,2818,1754020,0,2827,28
2908,2653808,2919,1444960,0,2930,28
3009,2654056,3019,1461376,0,3029,29
3112,2654092,3127,1260086,0,3140,27
3211,2654092,3222,1349747,0,3234,28
3311,2658040,3320,1865248,0,3328,26
3412,2658340,3421,1719111,0,3430,30
3513,2658588,3524,1431827,0,3536,29
3615,2658588,3629,1604409,0,3637,28
3712,2656876,3719,1792175,0,3727,22
3813,2657000,3820,1906897,0,3828,28
3914,2657068,3922,1842366,0,3930,26
4014,2656620,4028,2774478,755880,4030,43
4114,2658176,4116,3235333,1216735,4118,50
4214,2665728,4217,3824076,1805478,4221,67
4316,2680940,4325,5240175,3221577,4329,85
4427,2676404,4430,5640645,3622047,4437,84
4527,2668808,4531,5990718,3972120,4534,74
4628,2670724,4631,4550170,2531572,4634,63
4728,2663224,4730,3256082,1237484,4733,41
4830,2665388,4833,2645329,626731,,
