Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
32,2604900,35,2998220,1795581,38,52
132,2620292,135,3563015,2360376,138,58
232,2640248,236,3597396,2394757,239,51
333,2625836,336,3782350,2579711,340,62
434,2639444,437,3967597,2764958,441,55
534,2647828,539,3755519,2552880,543,55
634,2661180,638,4049406,2846767,641,65
735,2661004,737,3868578,2665939,740,45
835,2665964,837,3209103,2006464,840,39
936,2672468,938,3183968,1981329,940,47
1036,2677676,1038,2865045,1662406,1041,41
1137,2618484,1139,2335634,1132995,1142,34
1237,2618288,1239,2283974,1081335,1242,31
1337,2618068,1340,2034490,831851,1343,31
1438,2618316,1441,1901321,698682,1447,29
1540,2618316,1548,2310685,1108046,1551,37
1639,2618408,1641,2272778,1070139,1644,34
1739,2618368,1742,2290850,1088211,1745,34
1789,2618368,1792,1989604,786965,1795,30
1889,2618668,1892,2734428,1531789,1895,35
1990,2618668,1993,2043129,840490,1995,30
2090,2618472,2093,1826557,623918,2096,24
2190,2618772,2193,2021618,818979,2196,32
2292,2618772,2294,1833812,631173,2297,32
2391,2618772,2394,2050610,847971,2396,32
2492,2618824,2494,2157850,955211,2497,33
2595,2618824,2604,2057469,854830,2610,34
2695,2619164,2701,2177891,975252,2709,29
2795,2619252,2801,2480504,1277865,2809,38
2895,2619692,2911,2831839,1629200,2913,40
2994,2619940,2997,2050299,847660,3000,33
3095,2619992,3097,2220618,1017979,3100,31
3196,2618672,3199,2436015,1233376,3202,37
3296,2618692,3299,2258732,1056093,3302,32
3397,2618496,3399,2019450,816811,3402,28
3497,2618732,3499,2120531,917892,3502,33
3598,2618948,3600,1919768,717129,3603,25
3698,2618908,3701,1739780,537141,3707,32
3800,2618752,3813,2272929,1070290,3820,33
3899,2619220,3901,2145773,943134,3904,29
3999,2619024,4002,2538072,1335433,4004,37
4100,2619044,4102,2480124,1277485,4105,35
4200,2619292,4203,2499371,1296732,4205,37
4300,2619344,4303,2063170,860531,4306,30
4401,2619344,4403,2106556,903917,4406,32
4501,2619396,4504,2231814,1029175,4506,31
4602,2619488,4604,2064639,862000,4607,32
4701,2629004,4704,2872216,1669577,4706,42
4803,2619264,,,,,
