Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
58,2596900,62,5144407,3423792,65,77
159,2600424,161,4483877,2763262,164,51
259,2606408,261,3209417,1488802,264,43
359,2611832,361,3018261,1297646,364,44
459,2619244,462,2846179,1125564,464,44
560,2596040,562,2523525,802910,565,38
660,2557252,663,1863876,143261,665,30
763,2557296,774,1371403,0,783,26
863,2557100,872,1444114,0,882,28
965,2557100,978,1230926,0,989,28
1065,2557316,1076,1401246,0,1085,28
1165,2557316,1176,1321970,0,1185,26
1266,2557316,1277,1309277,0,1287,31
1367,2557368,1378,1312701,0,1390,28
1468,2557668,1478,1337945,0,1488,32
1568,2557916,1580,1239026,0,1591,24
1668,2558164,1680,1300679,0,1690,25
1769,2558132,1780,1295899,0,1792,27
1870,2558628,1880,1396493,0,1891,29
1970,2558628,1981,1326633,0,1990,25
2071,2559124,2079,1392716,0,2088,28
2173,2559176,2185,1220656,0,2198,29
2273,2559424,2286,1260086,0,2301,31
2372,2557908,2378,2385201,664586,2385,32
2472,2557960,2479,1559526,0,2485,26
2574,2557960,2583,1347629,0,2587,18
2674,2558264,2681,1211398,0,2686,16
2774,2558296,2779,1641603,0,2784,21
2874,2559024,2879,2186530,465915,2884,30
2974,2558900,2980,1792175,71560,2985,28
3075,2558704,3081,1713304,0,3086,25
3175,2558516,3181,1837143,116528,3186,28
3276,2558516,3282,1713130,0,3286,25
3378,2562588,3386,1961185,240570,3394,29
3478,2562836,3485,1935577,214962,3488,28
3576,2562888,3579,1684624,0,3581,21
3677,2563176,3679,1699952,0,3682,24
3777,2562872,3780,1462351,0,3782,20
3877,2563592,3880,1601118,0,3882,23
3978,2562528,3980,1828026,107411,3983,27
4079,2564508,4082,3389844,1669229,4084,51
4179,2567780,4182,2844710,1124095,4185,47
4280,2575700,4283,3755089,2034474,4286,61
4381,2574808,4390,3717905,1997290,4397,74
4480,2576636,4484,4658933,2938318,4488,76
4581,2580904,4586,4030773,2310158,4590,77
4682,2579484,4686,4011652,2291037,4690,68
4782,2573488,4785,3823026,2102411,4788,63
4882,2572332,4887,2726006,1005391,4890,44
4982,2567804,4985,2409878,689263,4987,32
5083,2572156,5086,3328640,1608025,5089,51
5184,2574344,5188,2295151,574536,5192,34
5284,2569832,5287,1661576,0,5289,34
5383,2569636,5386,1630482,0,5388,26
