Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
75,2627952,79,3417937,2082487,84,62
176,2635720,179,4138124,2802674,182,53
276,2625388,279,3459783,2124333,282,53
376,2640248,381,3760252,2424802,391,62
477,2651312,481,3932541,2597091,484,52
579,2661876,582,4452814,3117364,587,68
678,2680828,681,4455577,3120127,684,62
778,2686736,781,4077912,2742462,783,42
878,2691996,884,3206065,1870615,889,42
981,2699188,988,3114410,1778960,991,44
1080,2703728,1082,2179360,843910,1085,30
1180,2638036,1183,1849536,514086,1185,25
1281,2637840,1283,1978598,643148,1286,30
1381,2637840,1384,2091850,756400,1391,34
1482,2637824,1484,1731709,396259,1487,30
1582,2637876,1584,2437487,1102037,1587,33
1682,2637680,1685,1977129,641679,1687,27
1783,2637680,1785,2078979,743529,1788,36
1884,2637732,1890,2004931,669481,1897,30
1985,2638380,1993,2058984,723534,2001,35
2086,2638112,2096,1944968,609518,2106,29
2187,2638360,2198,1891380,555930,2207,28
2288,2638360,2299,1741895,406445,2308,30
2389,2638360,2403,1929286,593836,2415,41
2488,2637244,2496,2771540,1436090,2501,36
2587,2637244,2590,2009247,673797,2592,29
2687,2637664,2689,1832258,496808,2692,25
2787,2637468,2790,2177891,842441,2795,34
2887,2637948,2890,3010710,1675260,2893,45
2988,2637880,2990,2205103,869653,2993,30
3088,2638076,3090,1614892,279442,3093,22
3188,2637880,3191,1580830,245380,3193,24
3289,2637684,3291,2006272,670822,3294,30
3390,2637540,3392,1926938,591488,3395,28
3490,2637644,3492,2249592,914142,3495,32
3590,2637944,3593,2202840,867390,3595,33
3691,2637944,3693,2163551,828101,3696,30
3791,2637996,3794,1944717,609267,3796,28
3892,2637996,3895,2156381,820931,3897,32
3993,2638048,3995,2083211,747761,3998,32
4093,2638144,4095,2067281,731831,4098,30
4194,2638392,4201,1695531,360081,4209,30
4295,2638672,4303,2208041,872591,4310,33
4396,2638476,4412,2249592,914142,4419,34
4496,2638476,4505,2269928,934478,4510,34
4597,2638476,4612,2532664,1197214,4619,36
4697,2647404,4705,2628432,1292982,4710,42
4797,2655208,4804,2909241,1573791,4810,45
4898,2636140,4906,2421675,1086225,4911,36
4997,2630940,5000,2531990,1196540,5007,40
5098,2629780,5101,3147546,1812096,5107,41
5200,2629580,5208,2425907,1090457,5212,35
5298,2629580,5301,2246703,911253,5304,35
5399,2629580,5402,2501046,1165596,5404,34
5499,2629696,5502,2443979,1108529,5505,34
5600,2629976,5602,2626964,1291514,5605,37
5700,2629976,5703,1896367,560917,5706,32
5800,2629976,5802,2326995,991545,5805,30
5901,2629976,5903,1899727,564277,5906,29
6001,2629996,6004,1914325,578875,6007,32
6102,2629784,6104,1840789,505339,6107,33
6202,2629784,6204,1927644,592194,6207,26
6302,2629588,6304,1574487,239037,6307,25
6403,2629588,6405,1820696,485246,6408,34
6503,2629588,6505,1997114,661664,6508,30
6604,2629392,6606,2034490,699040,6609,32
6706,2629912,6714,2279361,943911,6720,32
6806,2629912,6814,2427670,1092220,6820,36
6907,2630132,6914,2448886,1113436,6920,31
7007,2630224,7014,2016711,681261,7020,29
7108,2630188,7117,1871046,535596,7122,33
7207,2630312,7210,2157351,821901,7213,27
7307,2630116,7310,2354206,1018756,7313,33
7408,2630116,7411,2155908,820458,7419,36
7510,2628508,7519,2618618,1283168,7522,36
7609,2628312,7612,2444273,1108823,7614,33
7709,2628220,7712,2341041,1005591,7715,34
7810,2628440,7812,2055163,719713,7815,33
7909,2628440,7912,2224023,888573,7915,31
8010,2628876,8013,2071809,736359,8016,32
8111,2628696,8114,2091850,756400,8117,34
8212,2628500,8214,2193320,857870,8217,29
8312,2628716,8315,2018681,683231,8318,30
8413,2628716,8415,2071086,735636,8418,36
8513,2628520,8516,2351062,1015612,8518,32
8620,2628572,8628,2226907,891457,8631,32
8714,2629248,8717,2343097,1007647,8720,34
8816,2629248,8823,2251268,915818,8829,31
8916,2628856,8924,2278567,943117,8930,35
9017,2628916,9026,2245861,910411,9030,32
9118,2627388,9126,2457525,1122075,9131,41
9217,2627436,9219,2428551,1093101,9222,40
9318,2627488,9322,2825583,1490133,9328,34
9419,2627488,9428,2446830,1111380,9431,34
9520,2627492,9527,1969959,634509,9531,32
9621,2627492,9629,2637572,1302122,9632,34
9720,2627696,9723,1906897,571447,9725,31
9820,2627500,9823,1988844,653394,9826,29
9920,2627572,9923,2315211,979761,9926,29
10022,2627596,10026,2114829,779379,10031,38
10122,2625376,10124,2085873,750423,10128,34
10222,2625376,10225,2142173,806723,10227,30
10322,2625456,10324,2364314,1028864,10327,34
10423,2627060,10426,2301252,965802,10428,40
10523,2627540,10525,2090382,754932,10528,30
10624,2627540,10627,2170721,835271,10629,33
10726,2627540,10740,2241558,906108,10747,30
10826,2627788,10834,2386118,1050668,10840,37
10928,2627912,10936,1927641,592191,10944,34
11027,2627996,11035,2103831,768381,11042,36
11128,2627980,11136,2017700,682250,11144,33
11228,2627980,11235,2317855,982405,11240,34
11329,2628176,11338,2263933,928483,11342,34
11427,2628228,11430,2050887,715437,11432,30
11527,2628228,11530,2258761,923311,11532,32
11628,2628696,,,,,
