Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
4,2541784,8,4963392,3214081,11,64
134,2548860,137,4809175,3059864,141,72
184,2551784,186,3814588,2065277,189,45
284,2557764,286,2629607,880296,289,40
385,2565208,387,2274835,525524,390,33
485,2569920,487,2210304,460993,490,32
585,2506376,588,1785005,35694,590,25
686,2506712,688,1356314,0,691,25
786,2506960,789,1268342,0,792,25
887,2507148,890,1198526,0,892,24
987,2507388,991,1235786,0,994,27
1088,2507884,1091,1245506,0,1094,28
1188,2507936,1191,1311088,0,1194,24
1292,2507988,1304,1221206,0,1316,29
1391,2508536,1400,1455270,0,1410,24
1492,2508784,1504,1315011,0,1516,32
1593,2509332,1605,1248746,0,1617,27
1693,2509828,1702,1459651,0,1711,30
1793,2507776,1800,2243474,494163,1805,32
1894,2507668,1903,1624358,0,1911,27
1994,2507668,2001,1754020,4709,2009,32
2095,2507916,2104,1609396,0,2111,28
2196,2507916,2206,1689189,0,2213,28
2295,2508164,2302,1792175,42864,2306,25
2399,2508192,2407,1353670,0,2416,30
2498,2508772,2506,1461376,0,2514,24
2599,2508576,2607,1402278,0,2617,28
2701,2508576,2712,1286906,0,2720,26
2800,2509628,2805,2086149,336838,2810,25
2901,2509032,2908,1648773,0,2913,21
3002,2509032,3008,1835196,85885,3014,26
3102,2508864,3110,1629345,0,3120,31
3203,2508864,3213,1463424,0,3223,29
3305,2509360,3316,1242387,0,3326,28
3405,2513536,3416,1440948,0,3427,33
3506,2513572,3516,1508578,0,3525,26
3605,2513572,3613,1539578,0,3622,26
3706,2513572,3713,1604409,0,3721,25
3806,2513816,3813,1579474,0,3821,27
3907,2513752,3916,1362880,0,3924,23
4008,2513712,4019,1655085,0,4029,39
4108,2515676,4116,4219726,2470415,4124,63
4209,2512456,4221,3521670,1772359,4227,54
4310,2521088,4317,3956989,2207678,4324,60
4411,2522748,4420,4514701,2765390,4429,68
4511,2514292,4520,3803773,2054462,4526,52
4612,2515876,4619,2872716,1123405,4626,40
4712,2517976,4719,2618705,869394,4725,37
4812,2518880,4818,2014448,265137,4824,27
4912,2518776,4918,1820856,71545,4924,28
5013,2519096,5022,2050299,300988,5027,32
5113,2518512,5119,1706134,0,5125,23
5213,2518760,5219,1871046,121735,5224,22
5314,2518812,5320,1629321,0,5326,27
5414,2519344,5421,1544565,0,5427,24
5515,2519396,5521,1484721,0,5528,25
5615,2519200,5622,1514643,0,5629,24
5716,2519448,5722,1514643,0,5729,25
5816,2519696,5822,1679980,0,5829,25
5917,2519412,5923,1484721,0,5930,24
6017,2519464,6023,1568173,0,6029,24
6118,2519268,6128,1574487,0,6139,30
6219,2516704,6228,3297808,1548497,6235,56
6319,2524896,6328,4314991,2565680,6335,65
6420,2524820,6426,3893043,2143732,6433,62
6520,2518588,6528,3292640,1543329,6535,36
6620,2518788,6626,1875279,125968,6632,25
6720,2518592,6726,1670284,0,6732,22
6825,2517948,6839,1136595,0,6847,24
6926,2518260,6944,1155675,0,6953,25
7024,2518508,7033,1436382,0,7043,26
7124,2517032,7137,1768196,18885,7145,39
7225,2520544,7233,2883999,1134688,7237,42
7325,2517112,7333,2172190,422879,7336,39
7426,2517112,7434,2685032,935721,7437,30
7525,2517132,7528,2104722,355411,7531,26
7625,2516936,7628,1270000,0,7630,23
7726,2517168,7729,1226066,0,7732,25
7827,2521544,7829,1709137,0,7832,29
7927,2518644,7929,1390650,0,7932,18
8027,2518252,8029,1792175,42864,8032,25
8127,2518552,8130,1732897,0,8132,25
8228,2522224,8231,2885968,1136657,8233,44
8329,2520004,8331,2645743,896432,8334,35
8429,2519976,8432,1655943,0,8434,28
8530,2520248,8534,1309569,0,8538,21
8630,2520248,8634,1320333,0,8636,29
8735,2520524,8746,1317412,0,8759,27
8835,2520268,8844,1489775,0,8851,30
8935,2521616,8943,2328463,579152,8947,35
9036,2521616,9045,1375982,0,9054,25
9136,2521864,9145,1286995,0,9155,25
9237,2517748,9246,1425261,0,9256,27
9338,2517996,9349,1307980,0,9360,26
9439,2518048,9451,1368603,0,9461,30
9541,2518092,9552,1286995,0,9564,25
9641,2518092,9652,1448496,0,9661,28
9741,2518368,9750,1699163,0,9759,29
9842,2516176,9851,1903803,154492,9861,33
9943,2516076,9954,1423395,0,9965,27
10044,2516324,10056,1391920,0,10068,30
10144,2516324,10158,1373266,0,10169,30
10245,2516376,10256,1367615,0,10266,26
10345,2516376,10353,1489708,0,10362,22
10445,2516624,10455,1679215,0,10463,27
10545,2516624,10554,1635634,0,10563,24
10646,2516624,10654,1696720,0,10663,25
10747,2516676,10757,1499186,0,10766,27
10847,2516924,10855,1691794,0,10862,22
10948,2516944,10956,1663114,0,10964,21
11048,2516944,11056,1835196,85885,11063,27
11147,2517192,11150,1655943,0,11152,23
11247,2517192,11250,1345085,0,11253,19
11348,2517244,11350,1245026,0,11353,23
11448,2517464,11451,1198526,0,11454,23
11549,2517516,11551,1221206,0,11554,25
11649,2517548,11652,1291648,0,11656,29
11753,2517600,11765,1372492,0,11774,27
11853,2517652,11864,1240475,0,11875,23
11955,2517640,11965,1290166,0,11974,27
12054,2517692,12064,1326633,0,12076,31
12155,2516712,12165,1342955,0,12175,27
12256,2516764,12265,1356945,0,12273,25
12358,2516816,12373,1207152,0,12387,31
12458,2517044,12469,1349412,0,12483,30
12557,2515576,12563,1893656,144345,12572,33
12658,2515576,12667,1546438,0,12678,29
12760,2515380,12772,1248746,0,12784,27
12859,2515484,12866,1634433,0,12872,22
12959,2515484,12965,1484721,0,12972,25
13060,2515288,13069,1403872,0,13078,30
13161,2515536,13172,1318833,0,13183,27
13262,2515836,13273,1183140,0,13286,22
13362,2515836,13373,1342955,0,13383,27
13463,2515836,13475,1232546,0,13485,25
13564,2515640,13575,1286343,0,13587,30
13664,2515888,13675,1295899,0,13686,28
13765,2516312,13778,1247126,0,13791,26
13866,2516104,13878,1239026,0,13892,26
13966,2516104,13978,1362037,0,13987,27
14066,2516352,14076,1340623,0,14087,30
14168,2516404,14179,1303544,0,14188,27
14268,2516404,14281,1211486,0,14290,25
14368,2516456,14379,1300985,0,14390,26
14470,2516704,14480,1231036,0,14494,21
14571,2516704,14582,1251986,0,14593,29
14671,2516756,14683,1213106,0,14695,27
14771,2517004,14781,1359277,0,14792,25
14872,2516964,14881,1499682,0,14888,26
14971,2516964,14979,1736266,0,14986,27
15074,2516964,15086,1222826,0,15097,25
15174,2517212,15186,1488843,0,15197,40
15273,2514972,15280,2545035,795724,15286,34
15375,2514972,15383,1451526,0,15391,28
15475,2514972,15484,1353670,0,15492,25
15577,2515272,15587,1311572,0,15598,31
15678,2515076,15690,1268186,0,15702,26
15778,2515324,15789,1282521,0,15800,29
15879,2515436,15891,1190426,0,15903,22
15929,2515436,15938,1487517,0,15948,36
16030,2515240,16041,1275337,0,16050,25
16131,2515488,16142,1238564,0,16151,22
16231,2515736,16241,1293990,0,16251,26
16332,2515736,16343,1229008,0,16352,24
16432,2515788,16442,1321970,0,16451,25
16532,2515840,16543,1254352,0,16552,25
16633,2516336,16644,1265321,0,16654,24
16734,2516192,16746,1271054,0,16755,28
16835,2516316,16846,1248746,0,16858,25
16936,2516304,16947,1216346,0,16958,27
17037,2516604,17048,1290866,0,17060,29
17137,2516604,17149,1251986,0,17162,26
17238,2516656,17250,1263326,0,17264,27
17338,2516708,17347,1324302,0,17358,30
17439,2516708,17449,1359277,0,17461,26
17539,2516172,17549,1307980,0,17561,28
17639,2516752,17646,1803890,54579,17654,27
17740,2517052,17748,1349747,0,17757,25
17840,2517172,17849,1325780,0,17859,25
17941,2517532,17951,1324302,0,17964,27
18041,2515624,18049,1536890,0,18059,31
18141,2515872,18148,1609396,0,18155,24
