Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
59,2710724,10,2814115,1455183,17,58
159,2692320,61,4222282,2863350,64,62
259,2686240,162,3366571,2007639,166,50
360,2694388,264,3667422,2308490,268,58
461,2709384,363,3850232,2491300,366,55
561,2707616,471,4146175,2787243,477,60
661,2709780,565,4198716,2839784,568,66
761,2710192,666,4402035,3043103,670,60
862,2712152,764,3847174,2488242,767,48
962,2712468,865,2745591,1386659,868,39
1063,2629436,969,3708853,2349921,973,71
1163,2630288,1065,4066804,2707872,1067,61
1263,2630536,1166,3255908,1896976,1168,26
1363,2630536,1266,1753681,394749,1268,22
1464,2630784,1366,2002077,643145,1368,29
1564,2630900,1467,1962789,603857,1469,32
1665,2631644,1567,2353116,994184,1570,32
1766,2632384,1668,2188500,829568,1671,32
1866,2632436,1769,2260201,901269,1771,31
1967,2632984,1869,2056000,697068,1871,32
2067,2633284,1969,2292613,933681,1972,34
2167,2633584,2070,2160113,801181,2073,32
2268,2633884,2170,1903615,544683,2173,34
2370,2634376,2270,2378654,1019722,2273,34
2470,2634748,2378,2045806,686874,2385,30
2571,2634848,2479,2052562,693630,2485,30
2672,2634224,2578,1910755,551823,2586,32
2773,2634504,2680,2679798,1320866,2686,42
2872,2634504,2782,2398696,1039764,2787,32
2973,2634504,2875,2179360,820428,2877,33
3073,2634504,2976,2822906,1463974,2979,45
3174,2634504,3076,2668222,1309290,3082,37
3274,2634504,3176,2655851,1296919,3179,33
3374,2634556,3277,2257142,898210,3280,32
3475,2634624,3377,2902071,1543139,3379,46
3575,2634592,3477,2599458,1240526,3480,37
3675,2634592,3578,2191057,832125,3580,31
3776,2634840,3678,2542097,1183165,3681,40
3877,2634840,3779,2125057,766125,3781,26
3977,2634644,3880,1674228,315296,3882,34
4078,2635176,3980,2016950,658018,3983,28
4180,2635200,4080,2436222,1077290,4083,31
4280,2635200,4187,2070340,711408,4198,30
4380,2635004,4288,2035958,677026,4295,30
4481,2635216,4387,2050299,691367,4399,30
4581,2635308,4488,2100489,741557,4495,32
4683,2635236,4588,2150680,791748,4595,33
4781,2630160,4693,2136340,777408,4697,35
4882,2629768,4784,2621763,1262831,4787,44
4983,2624836,4885,2510587,1151655,4888,32
5084,2624444,4986,3018969,1660037,4988,40
5186,2624344,5087,2088118,729186,5092,29
5285,2622028,5194,2437103,1078171,5198,37
5385,2622272,5288,2425113,1066181,5290,35
5485,2622016,5388,2362551,1003619,5390,34
5586,2622008,5488,2305484,946552,5490,34
5686,2621812,5588,2427376,1068444,5591,34
5787,2622344,5689,2102459,743527,5692,30
5888,2622148,5789,2057469,698537,5792,34
5988,2622148,5890,2103253,744321,5893,30
6090,2622208,5991,2279361,920429,5993,29
6191,2622412,6092,1474509,115577,6095,35
6292,2622472,6200,2654469,1295537,6206,34
6390,2622472,6307,2296345,937413,6310,35
6491,2622532,6393,2406159,1047227,6395,33
6592,2622496,6494,2007278,648346,6496,32
6692,2622744,6594,2279361,920429,6597,33
6792,2622548,6695,2494464,1135532,6697,36
6893,2622548,6795,2151474,792542,6797,32
6993,2622796,6895,2592288,1233356,6898,38
7094,2623044,6996,2334165,975233,6998,33
7194,2622900,7096,2154912,795980,7099,30
7294,2623148,7197,2045417,686485,7199,36
7395,2623148,7297,2203634,844702,7300,29
7496,2623548,7397,2099020,740088,7400,29
7596,2623476,7498,1987737,628805,7501,28
7697,2623528,7598,1944402,585470,7601,29
7797,2623528,7699,2043129,684197,7702,30
7898,2621816,7800,1704150,345218,7804,31
7998,2621828,7901,2306134,947202,7903,37
8100,2621828,8001,2172445,813513,8004,33
8199,2622120,8108,2145479,786547,8117,30
8302,2622120,8202,1950332,591400,8205,32
8401,2622120,8312,1825142,466210,8317,29
8501,2622468,8403,1848067,489135,8406,27
8601,2622084,8504,2206572,847640,8506,32
8702,2622332,8604,2244685,885753,8607,32
8802,2622332,8704,2283974,925042,8707,31
8903,2622612,8805,2216005,857073,8807,33
9003,2620756,8905,2464695,1105763,8908,40
9104,2620968,9006,2856113,1497181,9009,43
9204,2620772,9106,2480330,1121398,9109,30
9304,2620600,9206,2352237,993305,9209,36
9405,2620424,9307,2362551,1003619,9310,33
9505,2620468,9407,1711422,352490,9410,34
9605,2620460,9507,2371667,1012735,9510,36
9706,2620708,9607,2303515,944583,9610,33
9806,2620708,9708,2286912,927980,9711,37
9906,2620760,9809,2343892,984960,9811,31
10007,2621256,9909,2324732,965800,9913,32
10108,2621256,10010,2143510,784578,10012,35
10209,2621504,10110,2219149,860217,10113,30
10310,2620916,10217,2228082,869150,10225,34
10411,2621412,10325,1835802,476870,10335,34
10510,2623152,10419,2535515,1176583,10427,34
10611,2621996,10513,2337102,978170,10517,41
10711,2621800,10613,2673335,1314403,10616,36
10811,2621800,10713,2601428,1242496,10716,33
10912,2621604,10814,2027320,668388,10817,30
11012,2621604,10915,2128102,769170,10920,32
11114,2621604,11015,2408423,1049491,11023,34
11214,2621604,11121,2366577,1007645,11126,35
11315,2621656,11221,2188794,829862,11226,29
11416,2621892,11322,1984299,625367,11326,28
11517,2621996,11423,1860097,501165,11432,28
11617,2622144,11525,2085244,726312,11534,36
11718,2621948,11625,2208041,849109,11633,33
11819,2622072,11727,2289175,930243,11735,36
11918,2622320,11827,2050299,691367,11835,34
12018,2622320,11925,2187325,828393,11932,26
12120,2622124,12020,2392994,1034062,12023,35
12220,2622424,12128,1951887,592955,12135,32
12321,2622424,12227,2714474,1355542,12238,38
12420,2622712,12330,1978598,619666,12337,32
12522,2622608,12422,2205103,846171,12425,30
12622,2622784,12534,1880685,521753,12543,33
12721,2622588,12632,2315162,956230,12637,34
12822,2622196,12724,2444654,1085722,12727,38
12923,2622000,12825,2346987,988055,12827,36
13023,2622248,12925,2558995,1200063,12928,37
13123,2622496,13025,2408423,1049491,13030,30
