Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
68,2601300,78,1554147,255204,3,42
170,2600976,180,1831638,532695,87,22
269,2602084,272,1231787,0,192,24
373,2603180,380,1164748,0,274,23
471,2603152,481,1285227,0,387,23
572,2603540,583,1033933,0,493,25
672,2604188,683,1717264,418321,595,19
773,2607000,785,2518743,1219800,696,42
873,2612236,881,2875070,1576127,790,47
974,2619016,984,3099760,1800817,892,77
1075,2620292,1085,1741269,442326,988,54
1174,2620856,1178,602287,0,1091,14
1276,2625012,1286,1437211,138268,1182,11
1376,2633048,1385,2289120,990177,1296,27
1477,2638744,1489,2991011,1692068,1393,65
1577,2642456,1584,3735390,2436447,1497,75
1677,2647724,1685,3856760,2557817,1591,66
1778,2631028,1785,3955379,2656436,1692,55
1879,2655296,1886,4460517,3161574,1793,43
1980,2653976,1990,2192352,893409,1894,48
2081,2654052,2091,1853768,554825,2000,24
2181,2657044,2189,2886088,1587145,2101,23
2282,2667204,2289,1995702,696759,2196,41
2383,2662432,2392,2014448,715505,2297,26
2481,2660284,2484,2587882,1288939,2396,37
2582,2661328,2585,3255027,1956084,2487,40
2683,2662224,2693,2339089,1040146,2587,42
2786,2661492,2797,1987575,688632,2701,34
2885,2662788,2893,2925551,1626608,2807,29
2985,2662892,2989,2315418,1016475,2901,47
3087,2662816,3090,1228269,0,2992,27
3188,2662524,3191,1296868,0,3093,19
3288,2663048,3290,1941508,642565,3194,22
3392,2662796,3407,1221709,0,3293,39
3493,2662796,3507,1559613,260670,3416,23
3591,2662600,3601,1770665,471722,3521,24
3693,2662404,3703,1698964,400021,3610,24
3793,2666184,3802,1949917,650974,3714,26
3895,2666184,3907,1706134,407191,3810,27
3995,2665920,4006,1741985,443042,3915,25
4094,2665920,4105,1464773,165830,4013,25
4194,2668816,4203,2348505,1049562,4117,20
4294,2667128,4306,1394491,95548,4212,34
4399,2667124,4417,1216346,0,4320,27
4497,2667124,4509,1431827,132884,4432,23
4600,2667372,4617,1300985,2042,4521,28
4701,2667620,4719,1261498,0,4632,27
4799,2666692,4814,1546097,247154,4735,25
4899,2666208,4912,1494208,195265,4828,32
5004,2666056,5022,1330649,31706,4925,30
5100,2663820,5109,2623906,1324963,5036,27
5200,2664436,5209,2867689,1568746,5119,41
5302,2666320,5311,3181411,1882468,5217,44
5402,2729380,5412,4445850,3146907,5319,53
5502,2693128,5510,5216829,3917886,5419,76
5601,2702600,5605,6032589,4733646,5517,92
5702,2692064,5706,4692073,3393130,5608,92
5802,2681872,5805,4662200,3363257,5714,80
5903,2680360,5907,3671600,2372657,5808,65
6004,2675984,6012,3231337,1932394,5913,59
6105,2677248,6114,2274835,975892,6019,37
6204,2679468,6207,2580886,1281943,6118,32
6305,2675676,6308,2604365,1305422,6210,40
6405,2674552,6408,1758795,459852,6310,44
6506,2674552,6509,1785608,486665,6411,19
6606,2675540,6609,1972222,673279,6512,29
6707,2675100,6710,1589944,291001,6612,27
6809,2674708,6813,1990294,691351,6712,20
6908,2674956,6910,1505371,206428,6816,25
7009,2674760,7013,1668296,369353,6913,22
7110,2674900,7113,1351428,52485,7016,22
7210,2674832,7214,1525973,227030,7116,18
7309,2674812,7312,1675583,376640,7217,24
7410,2675904,7413,2319825,1020882,7315,27
7510,2675808,7514,1783536,484593,7415,34
7611,2674780,7614,2034490,735547,7517,23
7711,2674192,7714,1740171,441228,7617,28
7813,2674400,7816,1617851,318908,7717,25
7913,2674204,7917,1340918,41975,7819,23
8014,2674060,8017,1419715,120772,7919,21
8114,2673936,8117,1281820,0,8020,24
8215,2673804,8218,1193730,0,8120,18
8317,2674300,8321,1268968,0,8221,20
8417,2674104,8420,1254512,0,8325,24
8519,2673856,8524,1324931,25988,8424,23
8617,2673708,8620,1747097,448154,8530,26
8717,2676356,8720,2988906,1689963,8623,28
8818,2675296,8821,1973016,674073,8723,47
8923,2675100,8938,1404319,105376,8824,22
9023,2674904,9035,1749155,450212,8952,20
9121,2675020,9132,1486945,188002,9043,26
9223,2675000,9233,1624358,325415,9142,22
9324,2674732,9338,1339898,40955,9244,28
9425,2674732,9441,1479823,180880,9356,25
9528,2674980,9545,1272548,0,9455,25
9628,2675228,9645,1312644,13701,9561,27
9728,2674836,9743,1346464,47521,9660,26
9829,2674836,9845,1403700,104757,9759,22
9928,2675136,9942,1757476,458533,9859,27
10028,2676416,10038,2122000,823057,9952,35
10131,2676452,10144,1577072,278129,10047,26
10230,2673488,10240,1729085,430142,10153,25
10332,2673736,10347,1564056,265113,10250,27
10432,2673540,10444,1353030,54087,10357,27
10532,2673592,10544,1421978,123035,10456,22
10634,2673840,10648,1559526,260583,10558,27
10735,2673644,10750,1741343,442400,10662,25
10836,2674132,10849,1552738,253795,10762,24
10934,2672368,10944,1777835,478892,10859,23
11034,2672396,11043,1455181,156238,10952,25
11135,2672324,11146,1914067,615124,11053,23
11239,2672776,11253,1773749,474806,11154,27
11336,2672808,11345,2431021,1132078,11263,30
11439,2672808,11450,1792175,493232,11353,34
11538,2672860,11547,1577072,278129,11460,23
11639,2673356,11653,1500364,201421,11557,22
11740,2673356,11756,1509380,210437,11666,23
11840,2673404,11851,1699163,400220,11770,24
11942,2673208,11960,1255336,0,11861,29
12044,2673456,12063,1242117,0,11977,24
12146,2673828,12166,1239026,0,12078,26
12245,2673796,12261,1384349,85406,12184,30
12346,2674044,12362,1389927,90984,12276,25
12449,2674344,12461,1389146,90203,12377,27
12547,2674004,12562,1384981,86038,12470,22
12647,2674056,12660,1701106,402163,12572,24
12746,2673912,12757,1557117,258174,12674,27
12847,2671352,12859,1467942,168999,12764,20
12949,2671156,12964,1561651,262708,12871,29
13048,2671156,13061,1258844,0,12977,27
13150,2671680,13163,1624358,325415,13076,23
13250,2671760,13266,1404617,105674,13176,25
13353,2671564,13370,1248120,0,13281,22
13453,2672060,13471,1179318,0,13386,24
13554,2671864,13572,1229941,0,13484,24
13656,2672164,13673,1262342,0,13588,23
13756,2672412,13772,1300985,2042,13689,27
13856,2672464,13869,1391472,92529,13787,26
13956,2672268,13972,1835196,536253,13883,26
14056,2672268,14069,1691794,392851,13985,25
14156,2672560,14168,1727644,428701,14076,23
14257,2672600,14269,1464773,165830,14174,25
14358,2672848,14372,1820856,521913,14282,22
14455,2673500,14458,2861520,1562577,14377,29
14557,2673748,14560,1285241,0,14460,38
14657,2673552,14660,1239139,0,14564,22
14758,2673356,14761,1438637,139694,14664,16
14859,2673604,14862,1247251,0,14765,22
14959,2673408,14963,1213775,0,14865,24
15061,2673408,15066,1243548,0,14967,19
15163,2673344,15166,1245290,0,15069,25
15263,2672840,15267,1251061,0,15170,24
15313,2673140,15317,1367840,68897,15270,25
15414,2673636,15418,1238324,0,15320,24
15514,2671572,15517,1473714,174771,15425,25
15615,2671428,15619,1505433,206490,15520,34
15720,2671672,15725,1339928,40985,15622,25
15819,2671672,15823,1272366,0,15729,22
15919,2671672,15923,1270684,0,15826,24
16022,2672200,16026,1259526,0,15926,26
16122,2672448,16125,1689189,390246,16031,23
16222,2672284,16226,1277380,0,16128,30
16323,2672284,16327,1355565,56622,16229,27
16425,2672088,16430,1254388,0,16330,23
16526,2672336,16530,1231629,0,16434,22
16627,2672388,16630,1262873,0,16534,22
16728,2672440,16732,1328729,29786,16634,27
16827,2672440,16833,1163486,0,16737,20
16928,2672440,16931,1162370,0,16836,24
17029,2672440,17032,1755375,456432,16935,28
17130,2672232,17133,1330124,31181,17035,25
17230,2672148,17234,1338628,39685,17136,25
17331,2672396,17334,1250599,0,17238,25
17432,2672200,17436,1247251,0,17337,24
17532,2672448,17536,1239440,0,17439,22
17634,2672748,17638,1333955,35012,17541,23
17734,2672748,17737,1282409,0,17644,23
17835,2672552,17839,1263989,0,17741,25
17936,2672800,17939,1153443,0,17843,28
18037,2672976,18040,1337008,38065,17942,22
18138,2673028,18147,1387445,88502,18043,28
18237,2671540,18240,1902630,603687,18154,27
18338,2671540,18342,1256743,0,18242,34
18445,2671592,18466,1357142,58199,18345,22
18544,2671592,18560,1366692,67749,18483,24
18644,2671840,18658,1655943,357000,18572,25
18744,2671840,18755,1655943,357000,18665,22
18843,2671840,18852,1648773,349830,18763,23
18942,2672088,18945,1651282,352339,18861,20
19044,2671928,19047,1333593,34650,18948,26
19144,2671864,19148,1267348,0,19050,20
19247,2671948,19252,1256178,0,19151,21
19348,2672000,19352,1275713,0,19256,25
19447,2672000,19450,1182456,0,19355,25
19548,2672000,19551,1371173,72230,19453,27
19650,2672000,19654,1298236,0,19555,28
19751,2672000,19756,1754856,455913,19657,17
19850,2672300,19853,1570856,271913,19759,25
19950,2672352,19954,1403299,104356,19856,24
20051,2672352,20054,1258644,0,19957,22
20152,2673188,20157,1262873,0,20058,19
20251,2673524,20254,2593757,1294814,20161,26
20351,2673132,20355,1796408,497465,20256,41
20453,2672204,20456,1388435,89492,20357,24
20554,2672660,20558,1259248,0,20459,21
20654,2672464,20658,1559905,260962,20561,23
21159,2672416,21164,1215770,0,20661,24
23078,2673196,23086,1213767,0,21169,23
24889,2672600,24894,1166283,0,23095,22
26549,2672604,26552,1262744,0,24897,23
