Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
77,2712052,4,3756640,2577900,8,50
178,2711064,82,4362747,3184007,89,81
278,2710868,182,5942290,4763550,186,86
379,2710028,282,5150228,3971488,285,57
481,2688388,384,4077999,2899259,389,58
581,2710396,484,4686489,3507749,488,73
683,2713624,587,4771061,3592321,593,71
782,2709424,688,5652515,4473775,692,93
883,2711856,790,6457568,5278828,796,95
984,2712576,888,6688367,5509627,897,93
1085,2712084,988,6252705,5073965,992,94
1185,2731168,1089,6537977,5359237,1104,96
1286,2639400,1189,6379486,5200746,1192,90
1387,2558508,1288,5459750,4281010,1292,61
1489,2561720,1389,3911738,2732998,1391,35
1589,2563704,1498,2192232,1013492,1505,32
1690,2565192,1598,1995201,816461,1605,31
1789,2568416,1700,1998639,819899,1706,28
1889,2569708,1792,2326701,1147961,1795,30
1990,2570204,1892,2193700,1014960,1895,37
2090,2570316,1992,2107279,928539,1995,30
2190,2570316,2093,1946980,768240,2096,26
2291,2570564,2193,2183884,1005144,2196,36
2392,2570432,2294,2362845,1184105,2296,33
2492,2570680,2394,2069644,890904,2397,36
2593,2571228,2496,2283974,1105234,2499,30
2693,2572236,2600,2210304,1031564,2605,36
2794,2572980,2697,2279361,1100621,2700,30
2894,2573276,2797,2303221,1124481,2799,35
2995,2573328,2897,3185937,2007197,2900,47
3095,2572364,2999,2632371,1453631,3003,38
3196,2572488,3098,2675392,1496652,3101,36
3296,2572544,3198,2219149,1040409,3201,34
3397,2572904,3299,1769876,591136,3301,29
3497,2572708,3399,2131155,952415,3402,32
3599,2573204,3500,2267284,1088544,3503,27
3700,2573008,3609,2358613,1179873,3615,40
3799,2573008,3710,2387500,1208760,3716,35
3899,2573008,3802,2456056,1277316,3804,34
4000,2572812,3902,2331902,1153162,3905,39
4100,2572812,4002,2499871,1321131,4005,35
4201,2572864,4103,2365402,1186662,4106,32
4302,2573212,4204,2164933,986193,4207,31
4402,2573236,4304,2422763,1244023,4307,36
4505,2573236,4406,2332990,1154250,4411,32
4605,2575564,4515,2234476,1055736,4525,38
4704,2574296,4613,2654469,1475729,4617,33
4805,2582832,4708,2174160,995420,4710,31
4905,2573424,4807,2692376,1513636,4810,43
5005,2573624,4908,2657026,1478286,4910,35
5106,2568564,5008,2577067,1398327,5010,37
5206,2567456,5109,2640216,1461476,5111,45
5307,2568484,5209,2422970,1244230,5211,37
5408,2568832,5310,2556264,1377524,5313,27
5510,2568212,5416,2437484,1258744,5424,38
5610,2568460,5520,2428845,1250105,5526,37
5708,2568460,5620,2195964,1017224,5626,34
5809,2566304,5711,2220912,1042172,5714,31
5909,2566304,5811,2421381,1242641,5814,35
6010,2566608,5912,2190763,1012023,5915,32
6111,2566872,6012,1983936,805196,6015,30
6211,2566676,6113,2127701,948961,6116,29
6311,2566916,6214,2105016,926276,6216,31
6412,2566656,6315,2040485,861745,6317,29
6512,2566656,6415,2133571,954831,6417,31
6613,2566460,6515,2342804,1164064,6518,33
6713,2566708,6616,2355969,1177229,6618,34
6814,2566512,6716,2025851,847111,6719,32
6914,2566760,6817,2657026,1478286,6820,35
7015,2566760,6917,2199402,1020662,6919,31
7115,2566812,7018,2056000,877260,7020,31
7215,2567152,7118,2268064,1089324,7120,33
7316,2567320,7218,2102752,924012,7221,33
7416,2567296,7319,2348505,1169765,7321,32
7517,2567544,7419,2039352,860612,7422,36
7619,2567596,7520,2343304,1164564,7523,30
7718,2567816,7628,2251061,1072321,7635,36
7818,2567620,7721,2142041,963301,7724,30
7919,2567424,7821,2150109,971369,7824,36
8020,2567640,7922,2361376,1182636,7925,35
8120,2567496,8023,2257146,1078406,8026,35
8220,2567992,8122,2371241,1192501,8125,34
8321,2568304,8223,2129170,950430,8226,33
8421,2566352,8324,2167506,988766,8328,32
8521,2566352,8424,2493582,1314842,8427,36
8622,2566392,8524,2267284,1088544,8527,31
8723,2566392,8625,2305484,1126744,8628,33
8824,2566196,8726,2321293,1142553,8728,35
8924,2566444,8826,1986133,807393,8829,31
9025,2566248,8927,2372683,1193943,8930,36
9125,2566248,9028,1955619,776879,9031,28
9226,2564604,9128,2202840,1024100,9130,31
9326,2563956,9229,1995201,816461,9232,32
9427,2564128,9329,2131017,952277,9331,35
9529,2564128,9429,2296845,1118105,9432,31
9627,2564180,9539,1997464,818724,9546,30
9728,2564180,9630,2009541,830801,9633,23
9828,2564180,9731,2021618,842878,9733,37
9931,2563984,9831,2195670,1016930,9834,32
10029,2564036,9942,2319825,1141085,9946,34
10130,2564908,10032,2163758,985018,10035,29
10230,2565996,10133,1955029,776289,10136,33
10331,2566356,10234,2165205,986465,10237,34
10431,2566588,10334,1784267,605527,10336,34
10532,2566588,10434,1972587,793847,10437,32
10632,2566588,10535,2164407,985667,10537,31
10733,2566444,10636,2039352,860612,10638,34
10833,2566692,10736,2384355,1205615,10739,36
10934,2566940,10836,2233516,1054776,10839,32
11035,2567488,10937,1857500,678760,10940,25
11134,2566388,11038,1900227,721487,11042,28
11235,2566100,11137,2488969,1310229,11140,34
11335,2566296,11238,2522557,1343817,11240,34
11436,2566104,11338,2201373,1022633,11341,30
11536,2566104,11439,1724098,545358,11442,33
11637,2565908,11539,1969356,790616,11542,30
11740,2566128,11639,2271103,1092363,11642,33
11839,2566376,11752,1610140,431400,11765,36
11939,2566180,11849,2473247,1294507,11855,31
12039,2566180,11949,2215211,1036471,11956,37
12139,2566428,12041,2191057,1012317,12044,28
12240,2566208,12142,2199108,1020368,12144,34
12340,2566236,12242,2279361,1100621,12245,32
12440,2566204,12343,2171809,993069,12346,30
12541,2566228,12443,1728843,550103,12446,32
12642,2566228,12544,2223233,1044493,12546,34
12742,2566476,12645,1902622,723882,12647,32
12843,2566724,12745,2287027,1108287,12748,32
12943,2566836,12845,2299783,1121043,12848,34
13044,2566836,12946,2149211,970471,12949,34
13145,2566640,13047,2300871,1122131,13052,32
13245,2567176,13147,2078620,899880,13150,28
13346,2567268,13248,2045098,866358,13250,32
13446,2567112,13348,2546624,1367884,13351,34
13546,2567360,13449,2159819,981079,13453,30
13647,2567608,13549,2165020,986280,13552,32
13748,2566040,13650,2088412,909672,13653,33
13848,2565844,13757,2680886,1502146,13765,44
13948,2565844,13850,2310598,1131858,13853,31
