Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
87,2627688,94,4233150,2546494,1,64
182,2625504,191,2276641,589985,100,0
282,2627240,289,1589119,0,197,45
381,2633848,387,2465693,779037,295,0
482,2638648,484,2597489,910833,393,35
583,2572256,589,2070340,383684,489,40
685,2572504,693,1421978,0,594,31
787,2572308,797,1421978,0,702,23
887,2572308,899,1274876,0,806,28
988,2572308,999,1342955,0,909,27
1089,2572308,1099,1286343,0,1010,26
