Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
82,2653048,0,3572948,2142970,5,49
182,2644696,85,3581087,2151109,89,62
282,2653484,186,3417556,1987578,190,44
382,2668560,286,3689432,2259454,290,62
483,2676816,385,4404505,2974527,388,53
583,2691152,486,3340328,1910350,490,51
683,2691676,587,3839885,2409907,592,75
783,2697132,686,3667733,2237755,689,44
884,2703548,786,2937352,1507374,788,35
985,2710444,887,2945092,1515114,889,45
1085,2644128,987,2909448,1479470,990,43
,,1088,2722819,1292841,,
