Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
25,2359720,28,4936474,3535426,31,67
75,2364308,79,4253313,2852265,83,78
176,2371316,179,5777258,4376210,184,93
277,2375844,286,5414847,4013799,294,68
378,2381996,386,4393723,2992675,395,59
478,2389436,487,4187052,2786004,492,63
578,2397852,582,4524460,3123412,590,58
679,2403784,687,4398043,2996995,699,60
780,2333720,788,4182577,2781529,797,59
882,2333684,893,2888887,1487839,904,50
982,2333796,994,2911870,1510822,1006,55
1083,2334156,1093,3513100,2112052,1103,55
1182,2334404,1192,3089918,1688870,1201,51
1283,2334652,1293,3390725,1989677,1302,54
1383,2334704,1393,3702737,2301689,1403,48
1485,2334736,1496,3254223,1853175,1507,53
1585,2333268,1594,2121754,720706,1601,51
1685,2333072,1695,3621327,2220279,1702,49
1786,2332924,1796,2613549,1212501,1806,48
1887,2332896,1898,2573307,1172259,1909,50
1988,2333436,2001,2428871,1027823,2013,50
2087,2334740,2098,3457817,2056769,2109,47
2188,2336724,2198,1977060,576012,2207,53
2288,2337024,2298,1932003,530955,2309,51
2389,2337076,2399,3321275,1920227,2408,47
2490,2337124,2501,2238843,837795,2509,49
2590,2337348,2599,3171687,1770639,2610,46
2691,2337604,2701,2594291,1193243,2710,54
2791,2338128,2800,3167747,1766699,2809,55
2892,2338720,2902,2109152,708104,2912,52
2992,2338800,3001,3075207,1674159,3010,54
3093,2338800,3102,2815255,1414207,3112,51
3194,2339032,3204,2792407,1391359,3213,54
3295,2339788,3307,3558030,2156982,3316,47
3395,2343012,3403,2525642,1124594,3412,49
3494,2343064,3503,1646238,245190,3511,51
3594,2343116,3603,3331924,1930876,3612,54
3697,2343168,3716,1991526,590478,3728,42
3796,2343168,3806,2664914,1263866,3817,51
3897,2343192,3906,2904007,1502959,3916,50
3998,2343332,4008,2769549,1368501,4017,56
4097,2344748,4105,4340766,2939718,4112,75
4198,2343768,4207,4795482,3394434,4213,74
4300,2346004,4304,4293321,2892273,4308,74
4402,2351488,4410,4275270,2874222,4416,81
4502,2361824,4511,4275324,2874276,4518,84
4602,2373040,4610,4409465,3008417,4619,96
4703,2356620,4713,4220715,2819667,4726,85
4802,2353368,4806,5044054,3643006,4812,80
4903,2347716,4911,3898726,2497678,4914,72
5003,2349284,5012,3070090,1669042,5016,55
5103,2349104,5107,2512297,1111249,5110,54
5205,2346700,5214,2366324,965276,5222,51
5305,2351616,5314,2599997,1198949,5323,59
5407,2353324,5416,2997008,1595960,5425,59
5508,2349536,5519,2282239,881191,5524,53
5607,2351368,5611,3623137,2222089,5614,58
5708,2356252,5712,3529085,2128037,5716,65
