Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
66,2443336,7,3811444,2100638,11,50
166,2456948,73,3174948,1464142,81,41
267,2457144,175,2858757,1147951,183,44
367,2464316,275,3023375,1312569,283,59
468,2467576,374,3017620,1306814,383,27
569,2471012,476,2804834,1094028,484,36
670,2473136,576,2744329,1033523,583,38
771,2475408,678,2264988,554182,687,39
871,2479088,779,2074746,363940,788,33
972,2481032,879,2216680,505874,891,37
1072,2481776,982,2614092,903286,991,37
1173,2483264,1081,2251061,540255,1090,35
1272,2484568,1183,2421675,710869,1186,37
1372,2485808,1275,2590819,880013,1278,33
1473,2486800,1375,2156087,445281,1378,32
1574,2488288,1476,1957087,246281,1478,29
1674,2490644,1577,1759912,49106,1579,25
1775,2492132,1677,1977129,266323,1680,28
1875,2492780,1778,1839722,128916,1781,27
1975,2494020,1878,2063170,352364,1881,34
2077,2495260,1978,2137134,426328,1981,29
2178,2496996,2086,2686207,975401,2096,31
2279,2497740,2188,2925377,1214571,2196,33
2379,2498760,2288,1978598,267792,2297,32
2479,2499752,2387,2557906,847100,2396,40
2580,2500744,2489,2311860,601054,2498,33
2680,2502200,2588,1935577,224771,2597,30
2780,2505460,2690,2258144,547338,2698,32
2881,2504624,2789,2143423,432617,2797,33
2982,2504988,2889,2635015,924209,2895,39
3081,2506228,2993,2367959,657153,3000,32
3181,2507024,3084,2259526,548720,3087,31
3282,2508512,3184,2256969,546163,3187,32
3384,2509256,3285,2738247,1027441,3292,43
3483,2510496,3403,2477567,766761,3406,35
3583,2511736,3486,1956707,245901,3489,26
3684,2512384,3587,2115831,405025,3590,30
3785,2514396,3687,2126176,415370,3690,29
3885,2515524,3788,2255294,544488,3790,31
3986,2517260,3888,1942747,231941,3891,34
4086,2517808,3988,2648180,937374,3991,38
4188,2519296,4089,2474923,764117,4092,33
4288,2520288,4198,2359407,648601,4218,31
4390,2522024,4298,2133990,423184,4307,34
4490,2522808,4404,2348799,637993,4413,34
4591,2524048,4510,2269928,559122,4514,32
4690,2525288,4600,2363139,652333,4610,30
4791,2526756,4699,1581479,0,4708,32
4892,2527500,4800,1751004,40198,4809,28
4990,2533592,4901,2334459,623653,4908,35
5091,2546784,4994,3290170,1579364,4996,40
5191,2546292,5094,3084087,1373281,5096,43
5292,2525148,5194,3122875,1412069,5198,53
5393,2526440,5295,2701134,990328,5298,33
5493,2527928,5396,2355675,644869,5400,35
5593,2526804,5498,1932631,221825,5506,34
5693,2527660,5596,2601134,890328,5598,38
5794,2528828,5696,2180655,469849,5699,30
5894,2529824,5798,2071807,361001,5800,30
5995,2531004,5897,1647289,0,5900,25
6096,2532284,5998,2248153,537347,6001,33
6196,2533328,6099,1785005,74199,6101,29
6298,2534324,6199,2251856,541050,6202,33
6398,2535328,6307,2212273,501467,6318,30
6499,2536572,6407,2406453,695647,6416,35
6599,2538060,6510,2172190,461384,6519,28
6700,2538968,6608,2215211,504405,6617,36
6800,2540136,6709,2625875,915069,6718,40
6901,2541380,6810,2222381,511575,6819,33
7000,2542124,6910,1977129,266323,6917,29
7101,2543368,7004,1976575,265769,7007,31
7201,2545508,7104,2371691,660885,7107,33
7302,2547400,7204,2081339,370533,7207,33
7403,2548144,7305,2231433,520627,7310,29
7503,2549384,7406,1865846,155040,7409,30
7603,2550624,7507,1746304,35498,7510,30
7704,2551492,7606,1729259,18453,7609,28
7804,2552172,7707,2934810,1224004,7711,31
7905,2553536,7807,1634063,0,7810,27
8005,2554776,7908,1957566,246760,7911,29
8106,2555520,8008,1786924,76118,8011,32
8206,2554408,8109,1865089,154283,8112,31
8308,2555896,8209,2434840,724034,8212,40
8409,2556688,8317,2199402,488596,8326,32
