Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
61,2566436,71,1446008,0,76,36
160,2570108,163,2277979,515456,166,32
260,2570912,266,2360582,598059,273,30
362,2569184,372,2215211,452688,376,27
462,2569768,466,1392929,0,473,20
563,2570368,572,1344000,0,580,20
665,2572128,677,1986927,224404,685,50
763,2576108,772,2347977,585454,780,42
864,2576120,874,1052421,0,887,17
964,2579628,973,2254604,492081,982,53
1070,2581332,1081,2268914,506391,1086,30
1164,2581184,1167,1841191,78668,1170,23
1265,2579932,1268,1588675,0,1271,28
1365,2579932,1368,1311820,0,1370,25
1470,2579932,1487,1148980,0,1500,26
1569,2579600,1579,1281238,0,1589,23
1669,2579560,1678,1444960,0,1688,26
1770,2579560,1780,1328516,0,1790,26
1870,2579560,1880,1359597,0,1889,23
1971,2579608,1980,1379296,0,1989,24
2071,2579660,2080,1362880,0,2090,24
2171,2579660,2181,1385862,0,2189,26
2272,2579904,2282,1300679,0,2292,23
2374,2579708,2386,1282332,0,2397,25
2474,2579760,2486,1194607,0,2497,23
2575,2579812,2587,1213719,0,2597,21
2675,2579924,2684,1356314,0,2694,28
2774,2579884,2781,2215211,452688,2787,33
2875,2580128,2883,2000108,237585,2891,27
2976,2580376,2983,1526882,0,2991,21
3076,2580624,3085,1483861,0,3092,20
3177,2580676,3185,1813685,51162,3191,26
3277,2580952,3285,1627263,0,3293,21
3378,2580820,3386,1806515,43992,3393,29
3480,2581064,3490,1885386,122863,3494,25
3579,2581064,3587,1479734,0,3595,25
3681,2581112,3695,1488340,0,3701,25
3781,2581112,3791,1317413,0,3800,22
3882,2581112,3895,1225186,0,3906,28
3981,2582980,3988,1983422,220899,3995,32
4083,2582980,4091,1307066,0,4100,21
4184,2583456,4194,1256684,0,4206,24
4285,2583260,4298,1193909,0,4311,22
4386,2583260,4398,1314975,0,4407,26
4487,2583260,4499,1221206,0,4510,24
4588,2583312,4600,1335960,0,4609,25
