Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
78,2434328,81,3643561,2267494,86,48
178,2412108,181,3258519,1882452,184,55
279,2431888,284,3635804,2259737,288,55
379,2444700,382,3573242,2197175,386,56
480,2459816,484,4456165,3080098,488,62
580,2466376,583,4274149,2898082,587,53
681,2479840,685,3064807,1688740,690,60
781,2505012,784,4687077,3311010,787,79
882,2487848,884,4535656,3159589,887,37
982,2495040,984,3131514,1755447,987,47
1082,2499556,1085,2830370,1454303,1087,44
1183,2428604,1185,2288881,912814,1188,33
1283,2428408,1285,2056000,679933,1288,27
1383,2428212,1386,1580196,204129,1388,25
1484,2428212,1486,1805245,429178,1489,29
1585,2428212,1588,1964257,588190,1590,30
1685,2428428,1688,1622776,246709,1691,32
1786,2428324,1788,2125222,749155,1791,34
1886,2428572,1889,1881750,505683,1891,29
1986,2428376,1988,1949868,573801,1991,32
2086,2428868,2089,1709137,333070,2092,28
2188,2428672,2195,1865726,489659,2203,32
2289,2428672,2298,2200871,824804,2305,37
2390,2427404,2399,2509185,1133118,2405,37
2491,2427404,2507,2126232,750165,2510,29
2589,2427648,2592,2291144,915077,2595,34
2690,2427960,2692,2186737,810670,2695,30
2791,2427664,2794,2099020,722953,2796,30
2891,2427664,2894,2954231,1578164,2900,46
2991,2427664,2994,2703571,1327504,2996,36
3091,2427468,3094,2084680,708613,3101,28
3192,2427716,3198,2235252,859185,3204,33
3293,2428028,3299,2078979,702912,3304,33
3394,2427868,3402,2064639,688572,3406,29
3493,2427868,3496,2165020,788953,3499,32
3593,2427868,3596,2202840,826773,3599,30
3694,2428108,3697,2098517,722450,3700,31
3795,2428180,3797,1826325,450258,3800,31
3895,2428180,3898,1897620,521553,3900,27
3996,2428480,3999,2009632,633565,4001,32
4096,2428480,4099,2263933,887866,4102,34
4197,2428728,4199,2142041,765974,4202,31
4299,2428532,4308,2128762,752695,4316,36
4399,2428584,4407,2515180,1139113,4414,38
4499,2443020,4506,2681267,1305200,4513,43
4600,2428304,4607,2953730,1577663,4613,43
4701,2426552,4709,2035958,659891,4714,32
4801,2426552,4811,2489644,1113577,4816,37
4900,2421348,4906,2562433,1186366,4915,45
5001,2418084,5003,3131340,1755273,5005,38
5101,2417908,5104,2455763,1079696,5107,34
5202,2417908,5204,2099020,722953,5207,32
5303,2418348,5306,1802606,426539,5308,35
5402,2419192,5406,2332915,956848,5409,35
5503,2421540,5506,2249592,873525,5509,34
5603,2424340,5606,2104722,728655,5609,32
5704,2423660,5706,1910146,534079,5710,31
