Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
64,2429656,73,1377158,0,0,34
164,2429492,170,752859,0,81,17
266,2430224,276,788710,0,177,12
366,2431420,375,1211745,0,286,14
466,2432140,477,831730,0,385,22
566,2431940,576,960008,0,488,13
668,2432440,680,1097024,0,586,16
768,2432740,778,1014176,0,688,20
869,2433384,880,917772,0,790,15
969,2433396,976,1784940,354029,891,20
1069,2433972,1077,1748220,317309,985,32
1171,2433792,1180,998505,0,1086,34
1272,2433568,1282,473226,0,1190,11
1372,2433568,1381,506232,0,1292,11
1472,2433816,1481,638138,0,1389,12
1575,2433696,1589,385261,0,1489,7
1679,2433696,1697,338929,0,1602,11
1776,2433696,1791,803050,0,1708,11
1877,2434044,1891,641331,0,1799,14
1978,2434044,1992,381584,0,1899,11
2078,2434292,2092,702669,0,2006,11
2179,2434096,2193,648501,0,2100,16
2281,2434468,2296,303793,0,2200,11
2382,2434312,2398,788710,0,2310,11
2481,2434560,2494,552097,0,2408,13
2582,2434364,2595,595117,0,2505,9
2685,2434612,2703,268139,0,2606,11
2784,2434612,2802,727182,0,2720,15
2882,2434628,2892,1426848,0,2813,21
2985,2435124,2997,738519,0,2903,23
3087,2434392,3104,388986,0,3007,13
3186,2434392,3201,630968,0,3119,10
3287,2434500,3301,416493,0,3209,12
3387,2434752,3401,530586,0,3313,10
3488,2434752,3500,594333,0,3409,9
3593,2434556,3616,163215,0,3507,11
3691,2434832,3708,362568,0,3633,12
3792,2434832,3810,242491,0,3723,16
3891,2438996,3904,723116,0,3826,13
3992,2439036,4008,443454,0,3914,16
4095,2439036,4112,254149,0,4021,14
4195,2439160,4213,228501,0,4127,13
4292,2436664,4302,1097024,0,4231,12
4397,2436912,4415,399300,0,4312,20
4495,2436912,4510,745689,0,4430,11
4598,2436912,4613,609457,0,4518,8
4697,2436912,4713,296604,0,4620,14
4799,2437228,4814,410400,0,4727,13
4898,2437432,4913,929039,0,4827,18
