Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
65,2539340,0,3756607,1944004,8,58
166,2542584,68,3012179,1199576,73,36
266,2553768,171,2248124,435521,175,33
366,2561020,270,3003954,1191351,275,52
466,2564220,369,3130372,1317769,372,31
567,2574672,469,2568808,756205,472,34
669,2593352,570,2494801,682198,578,53
768,2605932,678,3917794,2105191,687,85
869,2614100,773,5994450,4181847,777,90
970,2624568,873,6731387,4918784,877,93
1071,2632256,984,6135075,4322472,993,95
1171,2657328,1080,6023487,4210884,1088,87
1272,2658816,1179,5027245,3214642,1186,86
1373,2580184,1288,2906583,1093980,1292,48
1471,2581380,1391,2727051,914448,1397,30
1572,2581380,1474,2126526,313923,1476,31
1673,2581576,1576,2468046,655443,1578,36
1773,2581872,1676,2155206,342603,1679,31
1874,2581872,1776,2303134,490531,1779,33
1976,2581872,1876,2057088,244485,1879,28
2078,2582120,1985,2056000,243397,1994,30
2177,2582120,2090,1983418,170815,2098,29
2278,2582368,2185,2317855,505252,2193,34
2378,2582172,2286,2398696,586093,2295,32
2487,2582212,2387,2263933,451330,2397,34
2579,2582196,2498,2439747,627144,2501,37
2680,2582412,2587,2217474,404871,2594,33
2779,2582476,2689,2587675,775072,2697,35
2879,2580712,2782,2007278,194675,2785,32
2980,2580712,2882,2353412,540809,2889,39
3080,2580516,2989,2459995,647392,2997,31
3180,2580516,3082,2420500,607897,3088,36
3280,2580748,3183,1944527,131924,3185,31
3380,2580996,3283,2625875,813272,3285,39
3481,2580788,3383,2229551,416948,3385,33
3582,2580788,3484,1992938,180335,3486,30
3682,2580856,3585,2063170,250567,3587,31
3783,2580856,3685,1937546,124943,3687,28
3883,2580976,3785,2134871,322268,3788,31
3984,2580976,3885,2384649,572046,3888,34
4085,2581224,3987,2212273,399670,3990,33
4184,2581224,4087,2440881,628278,4090,32
4288,2581276,4187,2235252,422649,4190,34
4387,2589424,4295,2216005,403402,4311,31
4488,2598276,4394,2578535,765932,4401,41
4589,2580820,4495,2830370,1017767,4503,40
4690,2581060,4597,2580886,768283,4606,39
4788,2580980,4698,2349974,537371,4707,32
4889,2580784,4791,2208041,395438,4794,33
4991,2576444,4894,2235252,422649,4907,35
5090,2571984,5000,2764370,951767,5004,51
5191,2571764,5094,2745537,932934,5097,32
5293,2571764,5200,2169095,356492,5208,37
5392,2571764,5303,2228790,416187,5309,30
5495,2569608,5398,2324732,512129,5404,33
5594,2569320,5503,2365783,553180,5512,38
5695,2569480,5604,2326995,514392,5613,33
5793,2569356,5707,2286825,474222,5718,33
5895,2569356,5796,2235252,422649,5798,33
5995,2569356,5903,2312361,499758,5919,31
6096,2569604,6002,2303515,490912,6010,36
6196,2572088,6104,2292613,480010,6111,30
6297,2570520,6203,2050299,237696,6211,31
6398,2570304,6304,2172190,359587,6312,31
6496,2570560,6411,2078979,266376,6418,34
6598,2570528,6499,2206572,393969,6501,32
6699,2570376,6606,2483268,670665,6614,34
6800,2570128,6708,2492494,679891,6715,34
6900,2570428,6808,2464695,652092,6817,37
6999,2570448,6909,2292613,480010,6917,34
7099,2570304,7002,2413330,600727,7004,36
7200,2570108,7101,2543186,730583,7104,32
7301,2570408,7203,2203134,390531,7211,34
7401,2570212,7308,2202840,390237,7316,33
7501,2570488,7409,2394376,581773,7417,32
7601,2571036,7504,2528051,715448,7506,35
7702,2571036,7604,2027320,214717,7606,30
7802,2570968,7704,2204809,392206,7707,30
7902,2571216,7805,2262758,450155,7807,37
8003,2569156,7905,2081242,268639,7909,31
8103,2569396,8005,2395257,582654,8008,38
8203,2569396,8106,2125938,313335,8108,29
8305,2569396,8206,2250681,438078,8209,30
8405,2569428,8308,2124263,311660,8310,33
8507,2569428,8408,2375717,563114,8410,31
8610,2569428,8516,2282799,470196,8527,32
8706,2569428,8620,2325526,512923,8628,37
8807,2569500,8710,2384562,571959,8713,29
8907,2569748,8810,2170108,357505,8812,32
9010,2569800,8909,2253825,441222,8912,29
9108,2568472,9019,2145773,333170,9027,31
9208,2567100,9111,2662020,849417,9113,43
9311,2567104,9214,2649649,837046,9219,42
9411,2567104,9320,2527670,715067,9325,32
9510,2567104,9413,1990000,177397,9416,27
9612,2567276,9514,2133108,320505,9520,31
9713,2567492,9620,2291438,478835,9627,33
9813,2567556,9721,2289175,476572,9728,34
9914,2567608,9821,2298608,486005,9828,32
10015,2567608,9923,1923578,110975,9932,34
10115,2567608,10024,2265401,452798,10031,33
10217,2567608,10125,2114829,302226,10133,28
10318,2570840,10228,2195169,382566,10235,37
10417,2571140,10326,1574776,0,10332,28
,,10427,1931986,119383,,
