Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
27,2673764,29,3766585,2193119,32,34
127,2674040,129,3790913,2217447,132,48
227,2674700,230,2594856,1021390,232,35
327,2674812,330,1671971,98505,332,21
428,2674864,430,1449812,0,432,22
528,2675112,531,1248746,0,533,27
629,2675348,631,1151211,0,634,23
729,2675896,732,1883682,310216,734,33
831,2675948,833,1247968,0,836,22
934,2675948,946,1219586,0,957,25
1034,2675948,1046,1375732,0,1057,33
1135,2675952,1147,1222826,0,1159,28
1235,2675820,1245,1349950,0,1255,28
1336,2675984,1345,1389927,0,1354,26
1437,2675984,1447,1437340,0,1458,32
1537,2676232,1546,1398294,0,1556,25
1638,2676232,1649,1304969,0,1660,32
1738,2676728,1747,1380261,0,1756,28
1788,2676728,1796,1582854,9388,1805,37
1887,2674820,1893,2401633,828167,1899,37
1989,2675068,1996,1634332,60866,2005,26
2089,2675068,2096,1619371,45905,2103,27
2193,2675120,2203,1382579,0,2210,27
2290,2675176,2297,1569500,0,2304,24
2390,2675424,2398,1599422,25956,2405,26
2492,2675228,2500,1356314,0,2509,27
2591,2675268,2598,1674228,100762,2605,27
2692,2675568,2698,2150680,577214,2704,32
2792,2675572,2798,1849536,276070,2804,25
2893,2675592,2903,1294267,0,2913,25
2995,2675592,3007,1236309,0,3020,26
3094,2679792,3103,1510624,0,3110,29
3195,2679720,3203,1389146,0,3211,25
3295,2679808,3304,1634332,60866,3311,26
3395,2679808,3403,1614384,40918,3410,27
3496,2680056,3505,1609396,35930,3512,25
3596,2680056,3604,1702337,128871,3612,29
3697,2679860,3704,1704150,130684,3712,28
3797,2681336,3800,3142122,1568656,3803,49
3898,2683700,3902,3046942,1473476,3905,47
3999,2687704,4002,2980942,1407476,4005,49
4101,2697608,4105,4131702,2558236,4108,74
4201,2696996,4210,4714036,3140570,4218,87
4302,2687968,4311,4127328,2553862,4317,72
4403,2687532,4411,3596335,2022869,4419,64
4504,2678820,4512,2841988,1268522,4518,42
4606,2679804,4614,2337851,764385,4619,35
4705,2683344,4709,2848941,1275475,4713,45
4805,2679400,4809,3084821,1511355,4813,56
4906,2675708,4909,3057588,1484122,4913,37
5005,2675744,5008,1825803,252337,5010,33
5106,2675612,5108,2063170,489704,5111,29
5206,2675496,5208,1668815,95349,5211,25
5306,2675404,5309,1679936,106470,5311,27
5406,2675404,5409,1625713,52247,5411,24
5507,2675652,5511,1555895,0,5514,0
5608,2675728,5611,936892,0,5614,25
5708,2675796,5711,1056580,0,5715,30
5809,2676240,5813,1177698,0,5816,34
5909,2679696,5913,1803293,229827,5916,47
6010,2676972,6013,2055335,481869,6016,44
6110,2677236,6114,1429374,0,6117,34
6210,2677324,6213,1413960,0,6216,28
6310,2677140,6313,1304402,0,6316,33
6410,2676944,6413,1080379,0,6417,26
6511,2677044,6514,1087932,0,6517,31
6611,2677368,6614,1232702,0,6618,31
6711,2677320,6715,1102893,0,6718,28
6812,2677272,6816,1087291,0,6819,28
6913,2677520,6917,858530,0,6921,22
7013,2677636,7017,1048036,0,7020,30
7114,2677712,7124,862252,0,7129,30
7215,2676260,7218,990540,0,7221,32
7315,2676100,7319,798690,0,7322,27
7415,2676100,7419,716234,0,7422,28
7516,2676200,7520,748595,0,7523,34
7617,2676284,7621,790873,0,7625,30
7717,2676532,7721,753808,0,7724,30
7818,2676384,7821,668875,0,7824,28
7919,2676236,7923,668875,0,7926,30
8019,2676088,8023,740784,0,8026,31
8120,2676336,8124,760945,0,8128,32
8221,2676516,8225,767515,0,8228,35
8321,2676412,8325,767565,0,8329,33
8422,2676264,8426,710655,0,8429,28
8523,2676264,8527,778002,0,8531,31
8624,2678096,8628,1566685,0,8631,44
8724,2678188,8728,1027680,0,8731,30
8825,2678188,8829,786705,0,8832,28
8925,2678388,8930,705026,0,8933,28
9026,2678388,9030,744131,0,9033,31
9127,2678364,9131,740784,0,9135,31
9228,2678728,9232,699277,0,9235,28
9329,2677144,9333,716767,0,9337,33
9429,2681212,9433,1338071,0,9436,35
9529,2675876,9533,920297,0,9536,22
9630,2675876,9633,1350503,0,9637,28
