Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
7,2576212,10,2585205,1293962,13,48
84,2582168,88,4067391,2776148,92,58
185,2564272,188,3255876,1964633,192,51
287,2580228,292,3997279,2706036,297,57
386,2596236,389,3739329,2448086,393,58
486,2569516,490,4044706,2753463,493,49
588,2574964,592,3896201,2604958,596,62
687,2573584,690,3314042,2022799,693,39
788,2573948,791,1930594,639351,793,24
888,2574000,891,2220478,929235,893,37
991,2574620,1000,2129170,837927,1006,36
1089,2574920,1092,2451824,1160581,1094,36
1190,2575168,1192,2389556,1098313,1195,36
1290,2575468,1292,2278273,987030,1295,34
1391,2575716,1393,2838922,1547679,1396,43
1491,2576460,1494,2183424,892181,1497,30
1591,2576708,1594,1497753,206510,1596,28
1691,2576956,1694,2357144,1065901,1697,35
1793,2577060,1795,2471908,1180665,1798,38
1893,2577556,1896,1802358,511115,1899,32
1994,2578144,1998,1936526,645283,2001,34
2095,2578232,2097,1961198,669955,2100,33
2195,2578480,2197,2432577,1141334,2201,36
2297,2576428,2307,2774304,1483061,2315,42
2396,2576428,2399,2539160,1247917,2402,31
2497,2576468,2499,1752351,461108,2503,31
2597,2576676,2600,2048086,756843,2603,38
2697,2576976,2700,2556731,1265488,2702,37
2798,2576976,2801,2415973,1124730,2803,38
2900,2577192,2909,2602396,1311153,2916,40
2999,2577124,3002,2226320,935077,3005,33
3100,2576992,3103,1987737,696494,3105,29
3200,2576992,3202,1941278,650035,3205,27
3300,2576992,3303,1909160,617917,3308,27
3401,2577044,3403,2348505,1057262,3406,33
3501,2577044,3503,2109629,818386,3506,31
3601,2576848,3603,1440777,149534,3609,23
3701,2577344,3704,1376000,84757,3707,25
3802,2577148,3804,1464077,172834,3807,29
3903,2577200,3905,1327446,36203,3908,24
4003,2577500,4006,1256733,0,4008,20
4104,2577612,4107,1159022,0,4110,24
4205,2577612,4207,1248917,0,4210,24
4306,2577416,4308,1271800,0,4311,24
4406,2577648,4409,1172413,0,4412,24
4510,2577752,4522,1266364,0,4534,32
4608,2591900,4614,3061282,1770039,4621,45
4709,2600084,4717,2925050,1633807,4724,47
4810,2577052,4819,2315592,1024349,4825,33
4910,2573432,4919,2665665,1374422,4925,46
5010,2569676,5014,3220732,1929489,5020,39
5110,2569248,5113,2215149,923906,5115,36
5211,2569464,5213,2272734,981491,5216,36
5311,2569500,5313,2371484,1080241,5319,31
5412,2569304,5414,1859406,568163,5416,28
5513,2569304,5518,2185062,893819,5523,30
5613,2578672,5617,2860519,1569276,5620,48
,,,,,,
