Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
10,2601092,22,2829489,1429813,26,48
82,2604108,86,2730402,1330726,89,27
183,2607636,186,1480009,80333,189,30
284,2620164,287,2293701,894025,291,43
384,2625728,386,2896403,1496727,389,32
485,2634156,487,2315592,915916,489,32
585,2630960,588,2040572,640896,590,20
686,2630816,689,895941,0,693,19
788,2631064,794,1512569,112893,800,24
888,2632196,899,1560856,161180,908,30
989,2640656,998,2123936,724260,1004,49
1088,2643492,1096,2269420,869744,1102,38
1189,2643740,1197,2660257,1260581,1203,30
1289,2643740,1299,1356587,0,1308,28
1389,2644080,1398,1691671,291995,1405,30
1490,2645568,1497,2717117,1317441,1503,45
1590,2646808,1600,2152649,752973,1605,29
