Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
26,2601992,29,4711418,3123006,32,62
128,2605936,130,4184236,2595824,133,55
227,2612740,230,3525055,1936643,233,57
328,2616680,330,3270577,1682165,333,43
428,2621856,430,2387293,798881,433,36
528,2627980,531,2451824,863412,533,36
629,2634180,631,2286912,698500,633,34
729,2596624,731,2466164,877752,734,37
829,2557816,832,1957087,368675,834,26
930,2557816,932,1291438,0,935,20
1035,2557816,1048,1247698,0,1061,26
1133,2557620,1140,1520474,0,1148,26
1234,2557620,1244,1275337,0,1257,29
1336,2557496,1348,1269806,0,1359,28
1435,2558064,1446,1286343,0,1457,28
1536,2557888,1546,1354613,0,1557,27
1586,2557692,1595,1523757,0,1602,31
1687,2557940,1695,1744046,155634,1706,31
1787,2570428,1794,2920644,1332232,1798,32
1888,2571516,1895,1150692,0,,
