Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
37,2657740,47,4156229,2970648,51,61
138,2674024,142,5598713,4413132,148,81
238,2693376,241,5600181,4414600,246,73
339,2686484,342,6096826,4911245,345,63
439,2690856,443,4652253,3466672,447,50
540,2693424,542,3903299,2717718,545,44
641,2694652,644,3138655,1953074,648,37
741,2694456,743,3380554,2194973,746,39
841,2694456,844,2190763,1005182,847,30
943,2694736,951,2224644,1039063,959,37
1044,2694752,1052,2536309,1350728,1059,34
1144,2694752,1155,2333637,1148056,1166,36
1246,2695032,1260,2494464,1308883,1264,35
1344,2694940,1347,2034490,848909,1349,33
1444,2694832,1447,2484737,1299156,1449,34
,,,,,,
