Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
79,2510556,82,4603799,3148226,85,62
186,2514704,198,4690341,3234768,209,0
280,2516684,294,2960241,1504668,302,0
383,2523072,395,2574940,1119367,403,58
483,2526644,487,2245700,790127,492,21
582,2536840,585,2508130,1052557,588,64
683,2541220,686,5086731,3631158,689,84
784,2544576,788,4238224,2782651,792,55
885,2549904,893,3208606,1753033,901,54
986,2529444,995,2857077,1401504,1003,38
1086,2529356,1094,2008792,553219,1102,24
1187,2529356,1197,1510624,55051,1207,29
1288,2529160,1300,1277669,0,1312,25
1389,2529408,1400,1356945,0,1413,30
1489,2529460,1500,1375598,0,1511,27
1590,2529776,1602,1540633,85060,1614,32
1691,2529844,1704,1335960,0,1718,28
1792,2529844,1805,1370935,0,1818,28
1892,2529896,1906,1436221,0,1918,32
1994,2529820,2007,1375982,0,2021,29
2095,2530032,2109,1429604,0,2121,31
2195,2530032,2206,1431827,0,2217,24
2295,2530280,2309,1490925,35352,2321,30
2396,2530776,2409,1445707,0,2423,30
2497,2531016,2510,1359277,0,2522,29
2597,2530820,2610,1481184,25611,2621,32
2698,2531864,2710,1534291,78718,2720,33
2797,2535080,2807,1928407,472834,2813,25
2897,2532508,2903,1785005,329432,2909,25
2997,2532556,3003,2007278,551705,3010,29
3098,2530404,3106,1878216,422643,3113,27
3198,2530456,3205,1713304,257731,3211,24
3299,2534424,3305,2007278,551705,3312,28
3399,2534476,3405,1777835,322262,3411,25
3499,2534280,3506,1777835,322262,3512,24
3600,2534772,3607,1842366,386793,3613,28
3701,2534824,3709,1914067,458494,3714,30
3800,2534784,3803,1932631,477058,3805,29
3901,2536128,3903,3139772,1684199,3906,46
4001,2537752,4004,3079561,1623988,4006,46
4102,2538296,4105,3374724,1919151,4109,58
4202,2549720,4207,4003400,2547827,4211,80
4303,2539172,4307,4711745,3256172,4311,81
4403,2540400,4407,4581293,3125720,4410,79
4504,2543840,4508,4153417,2697844,4511,0
4605,2534708,4609,2891586,1436013,4613,55
4706,2537048,4710,2205544,749971,4713,50
4806,2532744,4810,2256411,800838,4813,46
4906,2533068,4910,1179495,0,4913,27
5006,2533408,5010,948600,0,5013,26
5107,2533908,5110,1572776,117203,5113,36
5207,2534416,5211,1214271,0,5214,26
5308,2534356,5311,1131363,0,5315,27
5410,2534604,5415,673150,0,5418,24
5511,2534704,5514,810270,0,5518,29
5611,2535528,5615,918862,0,5618,30
5713,2535876,5717,849987,0,5721,27
5812,2534052,5816,1032364,0,5819,38
5913,2534212,5917,912460,0,5920,30
6014,2534144,6017,881664,0,6021,31
6115,2534144,6118,635398,0,6121,24
6215,2533996,6220,675570,0,6223,33
6316,2534704,6320,2042363,586790,6323,47
6417,2539916,6425,2801269,1345696,6431,63
6517,2547352,6527,2602773,1147200,6533,66
6618,2537744,6626,2454349,998776,6634,46
6719,2537984,6726,1598234,142661,6732,28
6819,2537612,6825,1272706,0,6831,30
6919,2537728,6926,914201,0,6931,22
7020,2537856,7027,1016684,0,7033,30
7125,2537856,7143,607283,0,7154,27
7223,2537752,7235,878209,0,7245,35
7323,2537828,7336,835670,0,7347,31
7425,2537828,7438,757267,0,7449,33
7525,2537828,7535,955458,0,7545,39
7624,2537672,7632,1748875,293302,7639,34
7725,2537672,7734,1197519,0,7741,30
7825,2542144,7832,1394598,0,7837,29
7927,2538048,7931,1014583,0,7934,25
8025,2538028,8028,1565606,110033,8032,34
8125,2538228,8129,1372013,0,8132,29
8226,2538080,8229,1231924,0,8232,33
8326,2538180,8330,1092919,0,8333,27
8428,2538032,8432,692905,0,8435,22
8528,2538280,8532,764953,0,8536,29
8629,2536456,8632,1472078,16505,8635,40
8729,2536532,8733,1716178,260605,8736,38
8831,2538012,8834,1855423,399850,8838,38
8931,2538228,8934,865728,0,8938,28
9031,2538124,9035,791695,0,9038,27
9131,2538280,9136,787633,0,9139,29
9232,2536208,9236,795733,0,9239,32
9333,2534532,9337,714003,0,9340,28
9434,2534632,9437,721627,0,9441,28
9534,2534556,9538,731347,0,9541,31
9635,2534112,9638,740072,0,9642,30
9735,2534212,9739,819826,0,9742,31
9836,2534212,9839,808693,0,9843,33
9936,2534124,9940,817645,0,9944,34
10037,2534136,10041,723996,0,10044,30
10137,2534136,10141,722930,0,10145,28
10238,2534136,10242,735204,0,10245,32
10339,2533988,10343,732923,0,10346,31
10440,2534336,10444,766449,0,10447,33
10541,2534336,10546,716234,0,10550,27
10642,2534188,10645,681149,0,10649,30
10743,2534288,10746,748595,0,10751,31
10843,2532932,10847,706142,0,10850,29
10945,2533676,10949,735793,0,10953,27
11047,2533480,11051,668875,0,11055,28
11147,2533728,11151,788094,0,11154,31
11248,2533828,11252,745247,0,11255,32
11349,2533928,11352,756800,0,11356,29
11449,2532352,11452,2110533,654960,11455,47
11549,2532356,11552,1007532,0,11556,24
11650,2532424,11660,671407,0,11665,28
11750,2532512,11756,840763,0,11760,30
11851,2532760,11855,798973,0,11859,29
11952,2533008,11955,710287,0,11959,32
12053,2532756,12056,707258,0,12060,26
12154,2532756,12158,732972,0,12161,29
12255,2532608,12259,669991,0,12262,33
12355,2532608,12360,725161,0,12363,29
12456,2533200,12460,676686,0,12463,30
12556,2533052,12560,1042686,0,12563,35
12657,2532904,12660,805685,0,12664,27
12757,2533648,12761,821323,0,12764,30
12859,2533452,12863,831066,0,12866,28
12959,2533700,12963,1202633,0,12966,32
13059,2533992,13062,1117854,0,13066,30
13160,2533992,13164,1082945,0,13167,30
13261,2533992,13264,737413,0,13268,27
13361,2534240,13365,861872,0,13368,32
13462,2534092,13466,844671,0,13469,32
13562,2534192,13567,844671,0,13570,33
13663,2533896,13667,831811,0,13670,30
13764,2533996,13769,684367,0,13772,28
13865,2534244,13869,705427,0,13873,29
13965,2534492,13970,798973,0,13973,31
14066,2534364,14070,745513,0,14074,26
14167,2534464,14170,781349,0,14174,31
14268,2534564,14272,763333,0,14277,30
14368,2532888,14371,1677344,221771,14374,39
14468,2532888,14472,803227,0,14475,26
14569,2533436,14573,754951,0,14577,27
14670,2533484,14673,779533,0,14677,32
14770,2533336,14774,852318,0,14778,30
14872,2533312,14875,779216,0,14878,30
14971,2533660,14975,726073,0,14978,26
15072,2533704,15076,672222,0,15079,29
15173,2533704,15176,726228,0,15180,31
15273,2534052,15277,1967131,511558,15280,42
15374,2534052,15378,1006710,0,15381,29
15474,2533904,15478,761057,0,15481,26
15575,2534152,15578,707047,0,15581,27
15675,2534104,15681,694087,0,15685,30
15726,2534104,15729,854473,0,15732,34
15826,2534452,15830,726277,0,15834,28
15927,2534576,15930,1073173,0,15934,35
16027,2534588,16031,715119,0,16034,29
16128,2534440,16131,828133,0,16135,33
16228,2535036,16232,757705,0,16235,30
16329,2534888,16333,842131,0,16337,28
16430,2533656,16434,712887,0,16438,27
16531,2533756,16535,748595,0,16538,34
16632,2533856,16636,703960,0,16639,27
16733,2534204,16738,805453,0,16741,31
16834,2534304,16838,700567,0,16841,27
16934,2534900,16938,715147,0,16942,28
17035,2535128,17038,747985,0,17042,31
17135,2535656,17139,1166295,0,17143,33
17236,2533288,17240,1285972,0,17243,30
17336,2533288,17340,1082945,0,17343,29
17437,2533488,17440,904792,0,17444,28
17537,2533340,17541,869368,0,17545,30
17638,2533340,17641,769813,0,17645,29
17739,2533340,17742,799203,0,17746,32
17840,2533688,17844,766573,0,17847,29
17941,2533664,17945,735204,0,17948,30
18041,2533548,18046,715147,0,18049,29
18142,2533548,18145,734173,0,18148,26
18243,2533648,18246,777145,0,18250,31
18344,2533996,18348,784393,0,18352,29
18445,2534096,18448,837523,0,18452,30
18545,2534196,18549,797353,0,18552,34
18646,2534048,18649,719582,0,18653,29
18746,2534544,18750,810313,0,18753,32
18847,2534248,18851,752845,0,18854,28
18948,2534372,18952,801883,0,18955,30
