Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
27,2675068,30,3691609,2202475,34,50
127,2651584,131,4318344,2829210,135,66
228,2655556,231,4016319,2527185,233,52
328,2677184,332,3663396,2174262,335,60
430,2653168,432,3445442,1956308,435,59
533,2657508,544,3928722,2439588,549,47
633,2663372,636,3636478,2147344,640,65
733,2687052,739,4889820,3400686,743,88
835,2699472,840,5764201,4275067,845,93
936,2707808,944,4757123,3267989,961,88
1036,2711260,1041,4303269,2814135,1046,92
1138,2709888,1152,5369368,3880234,1158,93
1238,2715964,1257,4799366,3310232,1261,92
1288,2708704,1292,6000097,4510963,1297,84
1388,2709644,1392,3410981,1921847,1396,45
1488,2691924,1491,2652410,1163276,1494,35
1588,2627320,1591,2229845,740711,1594,32
1690,2627372,1699,1631669,142535,1708,32
1791,2627624,1804,2104092,614958,1816,35
1891,2627020,1900,2646711,1157577,1906,35
1991,2627268,1997,1949917,460783,2004,29
2091,2627072,2099,2186530,697396,2106,31
2192,2627072,2207,2107659,618525,2214,32
2293,2627248,2301,2162083,672949,2308,35
2394,2626972,2403,2546918,1057784,2409,35
2492,2627032,2495,1835196,346062,2497,28
2592,2627464,2595,2245861,756727,2597,31
2693,2627268,2696,2009247,520113,2698,29
2794,2626920,2798,2451939,962805,2803,0
2894,2626772,2898,2284554,795420,2901,50
2995,2626772,2999,1735470,246336,3002,38
3096,2626872,3100,1167925,0,3103,37
3197,2626724,3201,963990,0,3206,38
3297,2627072,3301,875304,0,3314,38
3398,2624652,3402,1223958,0,3405,46
3499,2624900,3502,1211758,0,3506,39
3599,2624900,3602,1256061,0,3606,34
3699,2624900,3703,1236113,0,3706,37
3800,2625248,3803,1572776,83642,3806,37
3901,2625348,3904,1227537,0,3907,30
4001,2625348,4004,1019137,0,4008,25
4101,2625448,4105,1478491,0,4108,33
4202,2625400,4206,1606478,117344,4209,39
4302,2625632,4306,1740164,251030,4310,40
4403,2625544,4406,1796381,307247,4410,38
4503,2625588,4507,1231418,0,4510,36
4603,2625440,4607,1714039,224905,4610,40
4704,2625292,4708,1270470,0,4711,35
4805,2622800,4809,2142018,652884,4813,51
4905,2618964,4910,1549832,60698,4914,47
5006,2619108,5011,1308715,0,5014,43
5106,2612912,5110,1845203,356069,5113,47
5207,2627124,5211,2197509,708375,5214,49
5307,2605776,5311,2212714,723580,5314,47
5408,2606000,5413,1160893,0,5417,39
5509,2606072,5513,1381963,0,5516,35
5609,2606172,5613,1803293,314159,5616,38
5710,2606272,5715,1820646,331512,5719,41
5810,2606372,5814,1308936,0,5818,40
5911,2606720,5916,1039341,0,5920,38
6012,2606816,6015,869849,0,6019,41
6112,2606816,6116,945046,0,6121,43
6212,2606916,6216,1725001,235867,6219,38
6313,2607412,6316,1779167,290033,6320,38
6414,2607868,6418,1071302,0,6422,35
6514,2608028,6518,1293626,0,6521,39
6614,2608376,6617,1519741,30607,6621,38
6714,2608872,6718,1653188,164054,6722,36
6815,2606456,6819,1978249,489115,6823,47
6916,2606556,6920,1405119,0,6924,37
7017,2606656,7021,1016072,0,7024,41
7118,2606888,7121,871295,0,7124,34
7217,2606740,7221,1352081,0,7224,39
7318,2606496,7321,1712916,223782,7324,38
7418,2606468,7422,1646958,157824,7425,40
7519,2607080,7522,1788953,299819,7525,40
7620,2606644,7624,1394598,0,7628,34
7720,2606688,7724,1405785,0,7728,35
7821,2606888,7825,1575961,86827,7828,44
7922,2606740,7926,1536627,47493,7929,38
8022,2606840,8026,911998,0,8030,34
8123,2606840,8126,926013,0,8130,38
8224,2606940,8229,989414,0,8232,36
8324,2607188,8328,1004203,0,8331,37
8424,2607408,8428,1587727,98593,8431,35
8526,2607608,8530,1595221,106087,8534,35
8626,2607608,8630,953572,0,8633,33
8727,2607708,8731,773341,0,8735,35
8829,2607708,8833,978488,0,8837,39
8929,2607560,8933,919860,0,8936,37
9030,2605920,9033,2318466,829332,9036,48
9130,2605676,9134,1809787,320653,9137,48
9231,2605572,9235,1480014,0,9239,37
9332,2605700,9335,1303600,0,9339,35
9432,2605576,9436,1292197,0,9439,36
9532,2605824,9536,1318561,0,9540,37
9636,2605980,9656,1097574,0,9660,38
9734,2604056,9738,1171676,0,9741,36
9835,2604180,9839,1061570,0,9842,35
9935,2604032,9939,903530,0,9943,37
10036,2604032,10039,857293,0,10043,38
10136,2604128,10139,1313777,0,10142,36
10236,2604136,10239,1427049,0,10243,39
10337,2605000,10340,1888260,399126,10343,41
10438,2606728,10441,1896763,407629,10445,41
10538,2606728,10542,1293626,0,10545,35
10639,2606580,10643,1037957,0,10648,40
10739,2606736,10743,1121011,0,10746,40
10840,2606936,10844,1765294,276160,10848,0
10941,2606640,10946,810950,0,10950,40
11041,2606676,11046,712264,0,11054,45
11141,2606924,11146,1177317,0,11150,46
11242,2606992,11252,1263905,0,11258,46
11343,2607024,11354,1364631,0,11361,48
11446,2607260,11460,889747,0,11469,46
11546,2607480,11569,810950,0,11577,45
11646,2607332,11655,1592022,102888,11660,45
11746,2607340,11755,1180809,0,11762,43
11847,2605072,11858,968447,0,11865,42
11948,2604924,11960,1041299,0,11968,44
12049,2605120,12063,879897,0,12071,48
12150,2605220,12162,945561,0,12171,50
12250,2605716,12262,1215844,0,12281,44
12350,2605984,12360,1330851,0,12367,42
12451,2606140,12461,979216,0,12470,50
12551,2608868,12561,1589504,100370,12568,46
12651,2604620,12660,1405157,0,12666,46
12751,2604720,12761,1225640,0,12768,50
12852,2604572,12872,1670186,181052,12876,46
12952,2604524,12961,1283001,0,12969,50
13053,2604560,13060,1484028,0,13064,43
13153,2604560,13162,1133563,0,13169,52
13254,2604808,13265,1401714,0,13272,47
13354,2604624,13363,1721584,232450,13369,52
13455,2604732,13465,1170215,0,13473,48
13556,2604888,13566,1219625,0,13573,48
13656,2604592,13664,1502933,13799,13671,49
13756,2604544,13766,1512709,23575,13771,50
13857,2604396,13862,1438402,0,13866,37
13958,2604580,13963,842728,0,13970,54
14059,2603592,14065,1329886,0,14070,54
14159,2603444,14165,1236999,0,14170,50
14259,2603644,14263,1240623,0,14267,49
14359,2603840,14364,1005644,0,14368,41
14460,2603772,14465,685260,0,14469,47
14560,2603772,14565,729432,0,14569,49
14661,2603624,14665,1218917,0,14669,45
14761,2603872,14765,1362669,0,14769,45
14861,2604128,14866,1366098,0,14870,43
14962,2604080,14967,912729,0,14971,45
15063,2603932,15068,909446,0,15071,45
15164,2604188,15170,698652,0,15173,44
15267,2604344,15275,724658,0,15279,50
15364,2604076,15369,665912,0,15373,46
15465,2604336,15470,998542,0,15474,47
15565,2604584,15570,1154086,0,15574,43
15666,2604684,15671,1379305,0,15674,40
15767,2603608,15772,1321266,0,15775,45
15868,2603460,15872,1024878,0,15876,39
15968,2603312,15973,1361872,0,15976,43
16068,2603508,16073,1249945,0,16077,49
16169,2603300,16173,1172168,0,16177,49
16269,2603312,16274,1173374,0,16278,50
16372,2603480,16377,809773,0,16381,46
16471,2603556,16482,637221,0,16487,49
16571,2603556,16576,902879,0,16580,45
16672,2603556,16677,1370588,0,16681,44
16773,2603508,16779,1053934,0,16782,44
16876,2603580,16883,691241,0,16886,42
16977,2603796,16985,756221,0,16988,50
17077,2603648,17086,877360,0,17091,49
17175,2603896,17180,835326,0,17186,47
17275,2604104,17280,802977,0,17284,44
17375,2604280,17380,1211081,0,17384,45
17476,2604108,17481,1079281,0,17484,40
17576,2604108,17583,1233596,0,17586,48
17677,2602776,17682,1247828,0,17686,40
17777,2602776,17782,1200053,0,17786,39
17878,2602776,17883,1321944,0,17886,41
17978,2602844,17983,1224189,0,17987,43
18078,2603304,18083,714718,0,18088,41
18179,2603404,18184,820800,0,18188,44
18279,2603652,18284,1029411,0,18288,39
