Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
11,2548072,19,2320499,948572,29,29
112,2547392,122,1284583,0,133,24
213,2547956,223,1220355,0,234,21
313,2549084,323,1362317,0,334,23
414,2549796,424,1175895,0,431,22
464,2549848,474,1548740,176813,484,31
565,2550560,576,1117750,0,582,19
664,2551484,674,1661090,289163,680,35
771,2554880,777,2356548,984621,783,54
865,2556164,873,2221925,849998,882,26
966,2556680,975,1876748,504821,984,28
1066,2556484,1075,1813685,441758,1084,23
1168,2556732,1180,1885386,513459,1191,27
1266,2556732,1269,1498201,126274,1271,17
1367,2556732,1371,1083143,0,1374,17
1468,2556608,1472,1335465,0,1476,23
1568,2556612,1572,1255613,0,1575,26
1669,2556416,1674,1289654,0,1677,25
1771,2556912,1774,1264840,0,1777,23
1871,2556964,1876,1233861,0,1879,22
1972,2557016,1976,1269569,0,1979,25
2073,2557264,2086,1226050,0,2102,22
2177,2557264,2189,1296322,0,2200,27
2277,2557172,2289,1222826,0,2302,22
2377,2556976,2388,1196061,0,2402,27
2476,2555572,2482,1903630,531703,2489,28
2578,2555812,2590,1256684,0,2600,25
2679,2555884,2693,1224446,0,2703,24
2779,2555884,2789,1429781,57854,2797,28
2877,2555740,2883,2294082,922155,2889,34
2979,2555772,2986,1598583,226656,2993,24
3079,2555772,3087,1634433,262506,3094,22
3180,2555776,3189,1489708,117781,3198,23
3281,2555776,3291,1283872,0,3301,20
3383,2555888,3393,1261347,0,3404,27
3483,2559660,3492,1527283,155356,3502,29
3584,2559956,3594,1464659,92732,3602,30
3684,2560008,3694,1339725,0,3704,24
3787,2560256,3802,1167949,0,3811,23
3886,2560060,3898,1236653,0,3912,25
3987,2560308,4000,1257115,0,4013,29
4087,2560308,4099,1346022,0,4109,25
4187,2560804,4198,1295101,0,4209,23
4288,2560804,4297,1362880,0,4307,25
4388,2560804,4397,1293933,0,4406,24
4487,2561308,4494,2147159,775232,4500,33
4589,2562812,4595,2717117,1345190,4601,42
4690,2569916,4698,2867689,1495762,4706,47
4789,2578256,4793,3242504,1870577,4797,66
4890,2574936,4893,4528073,3156146,4896,64
4990,2564028,4993,4410207,3038280,4995,51
5091,2566184,5094,3106098,1734171,5097,42
5193,2559872,5195,2476098,1104171,5200,35
5293,2559728,5295,2272985,901058,5298,26
5393,2559696,5398,1605753,233826,5405,25
5495,2559696,5503,1669241,297314,5512,28
5595,2559996,5603,1559526,187599,5611,24
5696,2559996,5704,1589448,217521,5712,29
5797,2560632,5803,2365783,993856,5808,33
5899,2568536,5906,3226194,1854267,5916,61
5999,2583588,6008,4144586,2772659,6017,76
6099,2572652,6106,4840238,3468311,6113,53
6200,2565792,6209,2966254,1594327,6218,26
6302,2565540,6314,1851799,479872,6322,25
6402,2566060,6412,2057262,685335,,
