Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
32,2683756,36,2949030,1241237,39,60
133,2692704,137,3462546,1754753,140,46
234,2711036,238,3817907,2110114,244,60
334,2712024,338,3950319,2242526,341,56
434,2708352,438,4279937,2572144,441,59
484,2708780,487,3830364,2122571,491,65
586,2709916,591,4959160,3251367,594,57
686,2699128,689,3541385,1833592,691,58
787,2706072,789,3857610,2149817,792,37
887,2711788,890,2945196,1237403,892,42
988,2636972,991,2887731,1179938,993,42
1089,2637420,1096,2081242,373449,1102,31
1190,2637420,1196,2122000,414207,1203,31
1290,2637224,1297,1734814,27021,1303,26
1391,2637224,1397,2028788,320995,1404,29
1491,2637440,1498,2193700,485907,1505,32
1593,2637244,1601,2172190,464397,1608,35
1693,2637244,1701,2170721,462928,1708,31
1794,2637048,1801,2327288,619495,1808,32
1895,2637496,1904,2179360,471567,1910,36
1994,2637424,1996,2520587,812794,1999,34
2094,2637448,2096,1992938,285145,2099,32
2194,2637664,2197,2320118,612325,2200,33
2294,2637700,2297,2253031,545238,2299,32
2396,2637700,2399,1939981,232188,2401,31
2496,2637896,2498,2520587,812794,2502,36
2597,2637896,2599,2120531,412738,2602,33
2697,2638144,2699,2494170,786377,2702,34
2799,2638408,2807,2561638,853845,2815,37
2899,2638408,2907,3006184,1298391,2914,43
3000,2637024,3007,2229551,521758,3018,38
3101,2637092,3110,2384355,676562,3118,34
3200,2637092,3203,2107659,399866,3206,26
3300,2636896,3303,1813685,105892,3306,27
3401,2637132,3404,1828026,120233,3406,28
3501,2637180,3504,2030758,322965,3506,27
3602,2637180,3608,1865726,157933,3615,34
3703,2637232,3709,2136340,428547,3715,32
3804,2637724,3814,2028788,320995,3820,33
3903,2637776,3906,2212273,504480,3908,31
4004,2637984,4006,1906897,199104,4009,27
4104,2638132,4107,1919768,211975,4109,27
4205,2637936,4207,1848067,140274,4210,25
4305,2638184,4308,2212567,504774,4311,32
4406,2651724,4408,2414505,706712,4411,39
4506,2659656,4508,2961401,1253608,4511,43
4607,2635680,4610,2567340,859547,4613,37
4707,2630996,4710,2245480,537687,4713,33
4808,2630996,4811,2363052,655259,4814,30
4909,2630724,4917,2172985,465192,4926,30
5010,2631308,5018,2387293,679500,5024,37
5110,2631384,5119,2527757,819964,5127,37
5211,2631188,5220,2312654,604861,5229,38
5310,2631468,5312,2456056,748263,5315,28
5412,2631468,5419,2172190,464397,5427,34
5512,2630880,5520,2306953,599160,5528,36
5611,2629512,5615,2494844,787051,5617,38
5711,2629512,5714,2272191,564398,,
