Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
32,2634488,36,4800830,3576996,39,66
132,2643592,135,4661834,3438000,138,76
233,2611932,235,4127722,2903888,238,43
333,2613092,336,2328463,1104629,339,37
433,2613684,436,1835196,611362,442,24
534,2614272,541,1481337,257503,550,27
637,2614104,649,1408241,184407,659,30
738,2614404,751,1279526,55692,764,32
838,2614752,848,1398294,174460,859,23
938,2615196,950,1263326,39492,962,30
1037,2615440,1044,2129709,905875,1051,36
1138,2615936,1145,1785005,561171,1152,24
1237,2616140,1240,1772928,549094,1244,22
1337,2616760,1340,1481090,257256,1343,22
1438,2617060,1441,1371376,147542,1444,20
1542,2617412,1554,1179086,0,1567,25
1590,2617660,1599,1605837,382003,1608,32
1691,2616144,1697,2064639,840805,1704,31
1791,2616144,1800,1489708,265874,1808,22
1892,2616392,1902,1333628,109794,1913,28
1995,2616408,2007,1185163,0,2022,28
2095,2616408,2106,1548944,325110,2117,23
2196,2616456,2207,1350881,127047,2218,26
2297,2616704,2308,1307366,83532,2320,30
2396,2616852,2405,1527040,303206,2414,28
2497,2616816,2505,1539578,315744,2513,24
2596,2616816,2604,1549552,325718,2612,27
2698,2617064,2708,1607510,383676,2720,29
2799,2617536,2805,2122000,898166,2812,32
2900,2617340,2907,1549552,325718,2915,24
3000,2617136,3008,1624358,400524,3019,29
3100,2618000,3107,1863876,640042,3114,23
3201,2618052,3208,1813685,589851,3215,26
3302,2621948,3311,1592934,369100,3321,26
3402,2622248,3410,2144436,920602,3417,30
3502,2621964,3509,1609396,385562,3516,29
3604,2621964,3615,1333628,109794,3624,26
3705,2622260,3714,1328569,104735,3722,24
3805,2622508,3813,1574487,350653,3821,24
3906,2622772,3913,1559526,335692,3920,27
4005,2623020,4015,2887731,1663897,4018,43
4104,2624108,4110,3548761,2324927,4115,56
4205,2628920,4208,3169582,1945748,4212,56
4305,2637384,4310,4390951,3167117,4313,86
4405,2639600,4410,4507258,3283424,4415,88
4508,2641136,4517,4779277,3555443,4527,87
4608,2637752,4618,4694138,3470304,4626,76
4709,2629424,4716,2707309,1483475,4725,51
4809,2632108,4819,2782784,1558950,4828,46
4910,2633788,4918,2978494,1754660,4927,54
5010,2625072,5016,1828769,604935,5023,38
5111,2625548,5118,2114829,890995,5126,32
5211,2625352,5219,1949978,726144,5227,29
5311,2625616,5318,1777896,554062,5324,26
5412,2625316,5419,1806576,582742,5425,29
5512,2625196,5519,1541283,317449,5526,22
5613,2625496,5620,1402786,178952,5628,22
5713,2625548,5720,1579474,355640,5728,27
5814,2625796,5821,1639319,415485,5829,26
5914,2625600,5922,1564513,340679,5929,30
6015,2625652,6023,1714124,490290,6031,30
6116,2625652,6124,1749033,525199,6132,28
6217,2626200,6225,2202031,978197,6234,39
6317,2631076,6324,2744444,1520610,6333,38
6419,2632228,6426,2252417,1028583,6434,33
6519,2627916,6527,1807204,583370,6536,25
6620,2627772,6630,1842427,618593,6639,29
6719,2627576,6726,1978598,754764,6734,28
6820,2626116,6832,2007278,783444,6839,0
6920,2625084,6927,1408938,185104,6934,30
7021,2625172,7028,1277052,53218,7035,30
7125,2625172,7141,840150,0,7149,22
7224,2625172,7235,780408,0,7243,29
7324,2625520,7333,1161308,0,7340,31
7424,2625372,7433,946866,0,7440,28
7525,2625320,7535,973267,0,7544,31
7625,2624832,7635,924019,0,7644,29
7726,2624832,7736,910886,0,7744,33
7827,2625152,7838,928225,0,7847,32
7928,2625004,7941,843808,0,7952,39
8028,2625104,8040,947748,0,8050,34
8129,2624956,8140,889179,0,8150,28
8230,2625304,8245,786427,0,8255,35
8330,2625156,8341,858109,0,8351,32
8431,2625200,8445,815141,0,8456,31
8531,2625440,8542,874771,0,8553,30
8632,2625440,8644,831006,0,8653,32
8733,2625888,8744,863649,0,8754,34
8832,2627132,8839,2169435,945601,8846,45
8934,2627532,8945,828450,0,8954,31
9035,2627540,9046,870008,0,9055,31
9135,2627636,9144,1510398,286564,9152,42
9236,2627340,9248,875234,0,9259,30
9338,2627340,9353,762127,0,9365,34
9438,2625000,9455,796029,0,9467,29
9539,2624840,9554,850510,0,9567,38
9640,2622956,9653,1052862,0,9665,41
9741,2623204,9757,888659,0,9770,33
9841,2623448,9856,887765,0,9867,36
9942,2623448,9955,891629,0,9966,34
10043,2623300,10059,784807,0,10070,35
10143,2623548,10158,792207,0,10171,33
10244,2623400,10259,792207,0,10272,33
10344,2623500,10358,914946,0,10371,34
10444,2623844,10458,928638,0,10471,32
10545,2623964,10559,838001,0,10571,31
10646,2624064,10659,858986,0,10672,30
10747,2624164,10762,803026,0,10773,30
10847,2624412,10861,844996,0,10872,34
10947,2624264,10960,947748,0,10971,33
11048,2624464,11061,920736,0,11071,28
11149,2624464,11163,793700,0,11174,30
11250,2624464,11263,855711,0,11274,29
11350,2624464,11362,845222,0,11372,27
11450,2624784,11459,1380257,156423,11467,30
11551,2625156,11560,1466299,242465,11569,31
11651,2625108,11659,1308556,84722,11666,30
11752,2625108,11762,1066555,0,11771,32
11854,2623836,11865,937048,0,11875,29
11953,2624084,11965,832089,0,11974,28
12055,2624332,12067,825032,0,12076,25
12155,2624580,12166,1026658,0,12177,31
12255,2624580,12265,1353909,130075,12271,29
12354,2625076,12358,1121412,0,12361,29
12455,2624928,12460,853388,0,12466,30
12555,2622312,12559,961267,0,12562,38
12656,2622312,12659,934144,0,12663,33
12757,2622560,12760,760869,0,12764,32
12861,2622412,12878,697887,0,12887,34
12960,2622412,12971,939919,0,12980,35
13060,2622660,13069,953568,0,13076,31
13162,2622760,13173,745927,0,13184,30
13262,2622712,13274,751730,0,13282,27
13362,2622712,13373,905913,0,13380,36
13463,2623060,13473,911491,0,13480,30
13563,2623284,13572,940435,0,13579,28
13664,2623284,13673,947748,0,13681,36
13765,2623384,13777,811229,0,13785,32
13866,2623336,13877,872445,0,13885,30
13967,2623336,13980,729727,0,13990,30
14068,2623584,14081,695707,0,14091,29
14169,2623932,14179,933803,0,14190,34
14270,2623784,14281,847328,0,14290,29
14369,2623784,14381,894757,0,14390,35
14470,2623772,14480,870644,0,14489,30
14570,2623772,14580,831006,0,14590,35
14672,2624268,14683,776918,0,14694,28
14773,2624220,14784,803369,0,14794,31
14873,2624220,14883,824011,0,14897,30
14975,2624468,14985,792207,0,14994,32
15075,2624568,15087,754027,0,15096,29
15176,2624420,15183,1220167,0,15190,44
15226,2624272,15232,1760272,536438,15237,29
15327,2624512,15337,1011697,0,15348,34
15429,2622128,15441,1083022,0,15450,36
15529,2622352,15541,980305,0,15551,30
15630,2622352,15642,832089,0,15652,27
15731,2622600,15744,851991,0,15754,32
15831,2622552,15843,1002816,0,15853,32
15932,2622552,15947,748250,0,15961,31
16032,2622404,16046,849480,0,16058,30
16134,2622752,16149,737827,0,16162,31
16234,2623000,16247,819348,0,16259,31
16334,2623100,16347,872445,0,16358,28
16434,2623224,16447,852922,0,16459,31
16536,2623096,16550,832341,0,16563,34
16636,2623096,16653,794118,0,16667,31
16737,2623344,16750,854323,0,16761,33
16838,2623196,16852,792207,0,16864,32
16938,2623544,16952,837694,0,16963,35
17038,2623396,17052,836188,0,17064,27
17140,2623892,17158,770227,0,17170,30
17240,2623744,17254,831006,0,17266,33
17340,2623960,17354,847328,0,17365,32
17440,2624084,17453,978427,0,17464,36
17541,2622428,17554,933803,0,17566,31
17642,2622528,17652,1011697,0,17662,29
17743,2622728,17753,1061568,0,17763,28
17843,2623076,17854,1121412,0,17862,30
17943,2623424,17953,1365917,142083,17961,31
18042,2623764,18046,1181256,0,18049,33
18142,2624012,18146,931057,0,18149,29
18243,2623964,18247,829382,0,18254,33
18344,2621916,18348,984584,0,18351,37
18444,2622100,18447,837833,0,18452,30
18546,2622284,18550,854325,0,18553,32
18646,2622284,18650,707307,0,18654,27
18747,2622384,18750,820885,0,18754,33
18847,2622632,18852,813553,0,18855,32
18948,2622732,18952,779692,0,18955,29
19048,2622732,19052,740155,0,19056,30
19150,2622584,19153,741899,0,19158,31
19250,2623080,19254,853684,0,19258,28
19351,2622688,19354,691107,0,19357,23
19451,2622932,19455,697327,0,19459,30
19552,2623052,19556,745927,0,19559,31
19653,2622904,19657,728509,0,19660,30
19753,2622856,19757,800418,0,19761,31
19854,2622708,19858,690520,0,19862,26
19955,2622708,19959,810313,0,19963,32
20056,2622808,20059,762565,0,20063,27
20156,2623056,20160,773053,0,20163,30
20256,2623056,20260,777913,0,20263,31
20360,2623156,20373,765996,0,20383,31
20461,2623052,20473,771847,0,20484,31
20561,2623052,20572,757806,0,20581,32
20662,2623300,20672,744735,0,20681,26
20762,2623400,20772,864078,0,20782,30
20864,2623500,20876,745927,0,20887,27
20964,2623452,20974,819348,0,20983,33
21066,2623552,21077,765451,0,21087,27
21165,2623552,21175,866867,0,21186,29
21266,2622124,21277,956851,0,21287,36
21368,2621888,21381,938515,0,21391,32
21469,2622112,21483,900956,0,21495,33
21570,2622360,21585,753984,0,21596,30
21669,2622312,21681,1056580,0,21690,30
21770,2622312,21783,841766,0,21795,28
21871,2622412,21883,925436,0,21895,32
21971,2622660,21982,1056580,0,21992,30
22072,2622660,22084,933868,0,22095,30
22173,2622908,22186,808298,0,22199,26
22274,2623008,22288,835670,0,22300,36
22373,2622908,22384,1716744,492910,22392,43
22474,2623196,22485,1061568,0,22495,25
22575,2623072,22589,954809,0,22601,36
22676,2623072,22690,814685,0,22700,31
22777,2623420,22793,788047,0,22805,33
22877,2623272,22891,854323,0,22903,35
22979,2623124,22995,840333,0,23006,30
23079,2623224,23093,854323,0,23104,33
23180,2623324,23197,763539,0,23209,28
23280,2621796,23295,861271,0,23305,36
23380,2622108,23392,994376,0,23403,32
23481,2622340,23494,880812,0,23504,31
23581,2622836,23591,1156321,0,23601,32
23681,2623068,23692,1141360,0,23701,30
23781,2623416,23791,1444788,220954,23799,30
23882,2623740,23890,1214663,0,23898,31
23983,2623840,23992,991749,0,24001,30
24082,2624060,24090,1322897,99063,24098,30
24182,2622232,24186,1321823,97989,24189,33
24282,2622424,24285,1085804,0,24289,27
24384,2623004,24392,2608213,1384379,24399,62
24484,2623128,24492,1672551,448717,24499,29
24585,2623128,24594,1301386,77552,24600,30
24684,2623228,24687,1308556,84722,24691,29
24784,2623228,24788,1028088,0,24791,26
24884,2623228,24888,952641,0,24891,28
24985,2623080,24988,1182685,0,24992,30
25085,2623172,25089,863976,0,25092,31
25186,2623024,25189,762565,0,25192,29
25287,2623024,25290,735793,0,25293,26
25390,2623124,25402,806305,0,25412,36
25489,2622848,25499,950537,0,25507,29
25590,2623096,25599,886390,0,25609,29
