Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
29,2577900,33,3150968,1967522,36,50
130,2587216,134,4322577,3139131,138,60
230,2562476,233,3652788,2469342,236,57
331,2583060,336,4411969,3228523,340,64
432,2598796,435,4418650,3235204,438,57
533,2568768,536,3617242,2433796,539,51
587,2569820,591,3665640,2482194,595,50
687,2573560,690,3654738,2471292,692,51
788,2586412,791,2933615,1750169,793,36
889,2586412,896,2404084,1220638,904,31
990,2586412,999,2367470,1184024,1008,30
1090,2586844,1099,2200871,1017425,1109,30
1191,2587092,1199,2456350,1272904,1208,36
1291,2587184,1300,2143510,960064,1309,32
1392,2587308,1402,2255587,1072141,1408,32
1491,2586328,1496,2497902,1314456,1504,36
1594,2586328,1603,2309539,1126093,1613,36
1694,2586628,1703,2427373,1243927,1710,36
1793,2586432,1795,1904525,721079,1798,27
1894,2586432,1897,1692073,508627,1907,27
1994,2586464,1996,2180340,996894,1999,35
2094,2586464,2103,2074257,890811,2110,34
2195,2586268,2197,1995321,811875,2200,32
2295,2586320,2298,1919946,736500,2301,36
2396,2586336,2398,1785297,601851,2401,29
2496,2586584,2498,2134871,951425,2501,30
2597,2587080,2600,2386325,1202879,2604,36
2698,2587576,2701,2367078,1183632,2704,33
2798,2587576,2801,1938767,755321,2803,32
2899,2587628,2901,3129077,1945631,2904,44
3001,2587876,3009,2838041,1654595,3019,42
3101,2587876,3112,2526668,1343222,3120,41
3200,2587876,3203,2059122,875676,3205,31
3301,2588216,3307,2007278,823832,3314,30
3402,2588248,3410,2078979,895533,3419,31
3503,2588248,3512,2303134,1119688,3516,34
3602,2588248,3605,2287226,1103780,3608,32
3702,2588712,3705,1961111,777665,3708,35
3803,2589012,3812,2185586,1002140,3819,34
3904,2582008,3911,1763994,580548,3918,31
4005,2582256,4013,2450355,1266909,4021,38
4104,2581268,4107,2236721,1053275,4110,35
4205,2581072,4207,1740723,557277,4210,34
4305,2580984,4307,2369323,1185877,4310,35
4405,2580892,4408,2192232,1008786,4411,32
4507,2580992,4509,2109836,926390,4512,27
4607,2580992,4610,1784623,601177,4612,33
4707,2580796,4709,1969182,785736,4712,37
4807,2581788,4809,2007278,823832,4812,29
4908,2577528,4911,2841185,1657739,4914,42
5008,2574020,5012,2218856,1035410,5015,35
5109,2573888,5112,2339866,1156420,5114,34
5211,2589092,5219,2875301,1691855,5231,0
5311,2578152,5319,2445379,1261933,5326,50
5412,2569284,5432,1730916,547470,5435,41
5512,2569284,5521,1412955,229509,5529,34
5613,2569484,5624,1587364,403918,5634,42
5713,2569640,5723,1305851,122405,5732,40
5814,2569492,5826,1494390,310944,5839,35
5915,2569344,5925,1448426,264980,5933,40
6015,2569196,6027,1435311,251865,6036,36
6122,2569352,6131,1717252,533806,6139,38
6216,2569452,6224,1808315,624869,6231,40
6314,2569324,6318,1327183,143737,6321,29
6414,2569408,6418,1515415,331969,6421,36
6516,2569408,6519,1580344,396898,6523,37
6616,2569408,6620,1373914,190468,6623,37
6716,2569508,6720,1830899,647453,6724,40
6817,2567592,6822,1907622,724176,6825,41
6918,2567840,6922,1462470,279024,6925,36
7018,2567544,7022,1137908,0,7025,35
7119,2567644,7123,1210141,26695,7126,38
7219,2568048,7223,1264082,80636,7227,40
7320,2568000,7324,1010913,0,7327,37
7421,2567740,7426,1055367,0,7429,40
7521,2567740,7525,846163,0,7528,33
7622,2567740,7625,799742,0,7630,38
7722,2567592,7727,940872,0,7730,37
7823,2568096,7828,932937,0,7831,40
7923,2568096,7926,1442156,258710,7929,40
8023,2568048,8027,1752028,568582,8030,37
8125,2568452,8128,1306662,123216,8132,35
8225,2568452,8229,1358457,175011,8232,36
8326,2568512,8329,1120087,0,8333,35
8426,2568576,8430,804537,0,8433,31
8526,2568528,8529,1141655,0,8533,37
8627,2568528,8630,1873920,690474,8633,44
8727,2568628,8730,1873920,690474,8733,39
8830,2568636,8841,1272890,89444,8851,38
8930,2568636,8940,1944010,760564,8949,37
9031,2568892,9043,2105769,922323,9051,52
9130,2566080,9133,2284952,1101506,9137,51
9231,2565852,9235,2043645,860199,9239,48
9331,2565856,9336,1579113,395667,9339,39
9432,2565744,9436,1274872,91426,9440,36
9532,2565992,9536,781153,0,9540,33
9633,2566092,9640,971156,0,9643,39
9735,2564948,9738,1704340,520894,9742,46
9835,2565084,9839,1384653,201207,9843,36
9936,2565160,9940,1104606,0,9943,34
10037,2565012,10041,820033,0,10044,34
10137,2565260,10141,827576,0,10145,36
10238,2565236,10242,921953,0,10245,35
10338,2565488,10343,930803,0,10346,35
10439,2567404,10442,1998178,814732,10446,50
10540,2567652,10543,1144281,0,10546,39
10641,2567808,10645,866435,0,10649,36
10741,2568040,10745,871871,0,10748,29
10842,2568288,10845,810313,0,10848,36
10943,2568288,10946,794882,0,10950,37
11043,2568288,11046,1424054,240608,11049,36
11144,2568544,11147,1482304,298858,11151,37
11245,2568644,11249,1077663,0,11253,34
11345,2568508,11349,760507,0,11352,37
11446,2568440,11449,941476,0,11454,40
11546,2568624,11550,823191,0,11554,34
11647,2569060,11651,931590,0,11654,34
11748,2568912,11752,929450,0,11756,37
11848,2568764,11852,873245,0,11855,40
11949,2568764,11953,897984,0,11956,36
12049,2568872,12052,1491880,308434,12055,40
12150,2569276,12153,1582959,399513,12157,35
12250,2569384,12255,1314711,131265,12258,36
12351,2569204,12355,1009815,0,12359,40
12452,2569200,12458,958196,0,12464,38
12553,2567340,12556,1795546,612100,12560,46
12654,2567720,12657,1176494,0,12661,37
12754,2567572,12758,1226798,43352,12762,40
12855,2567572,12858,1025114,0,12862,38
12956,2567672,12959,953947,0,12963,38
13055,2567712,13059,1137899,0,13062,37
13156,2567664,13159,1687497,504051,13162,36
13258,2567848,13263,1786374,602928,13266,0
13358,2567820,13362,1020269,0,13366,44
13458,2567668,13463,941310,0,13473,44
13559,2567668,13564,850348,0,13572,44
13660,2567924,13665,690505,0,13668,40
13761,2567932,13766,1233467,50021,13769,50
13862,2568180,13868,715564,0,13872,43
13962,2568528,13966,756563,0,13970,48
14062,2568380,14067,1007942,0,14070,46
14162,2567740,14166,1569011,385565,14170,46
14263,2567716,14270,1443836,260390,14274,43
14363,2567712,14368,1095199,0,14374,45
14465,2567576,14477,929145,0,14485,48
14567,2567576,14581,786613,0,14592,52
14667,2567576,14681,991526,0,14690,47
14767,2566448,14779,1287539,104093,14788,50
14868,2568024,14876,1389080,205634,14882,49
14969,2566496,14979,1476593,293147,14987,48
15070,2566652,15079,1362137,178691,15086,46
15170,2566852,15179,1439271,255825,15185,45
15271,2566980,15281,1503802,320356,15287,50
15372,2567452,15382,1576975,393529,15391,49
15471,2567728,15476,1416892,233446,15481,49
15572,2566184,15579,1683054,499608,15583,54
15673,2566036,15678,1163524,0,15681,46
15773,2566316,15778,1230557,47111,15782,50
15874,2566472,15881,1072427,0,15884,45
15974,2566324,15979,1077414,0,15982,43
16074,2566500,16078,1464539,281093,16083,46
16175,2566352,16180,1184768,1322,16183,46
16275,2566360,16280,1161200,0,16284,43
16376,2566460,16380,1283151,99705,16384,46
16476,2566560,16481,1297606,114160,16484,43
16577,2566716,16581,1360061,176615,16585,43
16677,2566724,16682,1071221,0,16686,48
16778,2566576,16783,1182142,0,16786,45
16878,2566800,16883,957726,0,16887,46
16979,2566916,16984,1058673,0,16987,45
17079,2566768,17084,1262668,79222,17087,48
17180,2567140,17185,984522,0,17188,42
17280,2567240,17285,1476858,293412,17288,45
17380,2567172,17385,1205337,21891,17389,45
17481,2567584,17486,1048239,0,17490,48
17581,2567592,17586,1180189,0,17590,47
17683,2567444,17688,845890,0,17691,32
17783,2567296,17788,1053823,0,17792,39
17884,2567700,17890,1201222,17776,17894,45
17984,2567808,17989,1023304,0,17993,47
18085,2568064,18095,1200137,16691,18105,46
18186,2567916,18196,1096156,0,18206,48
18286,2567984,18299,1483492,300046,18307,48
18387,2568120,18399,1213463,30017,18407,44
18487,2566668,18495,1434765,251319,18503,51
18588,2566668,18599,1105881,0,18606,44
18689,2566668,18700,913963,0,18708,43
18789,2566492,18799,1498104,314658,18806,50
18839,2566492,18848,1783435,599989,18855,51
18939,2566972,18948,1424592,241146,18955,46
19040,2566972,19051,1252350,68904,19058,41
19141,2566628,19151,1501037,317591,19158,49
19241,2566488,19250,1532895,349449,19257,44
19341,2566468,19350,1217941,34495,19357,37
19442,2566628,19452,1213930,30484,19460,52
19543,2566628,19553,1088633,0,19561,46
19644,2566628,19654,1225570,42124,19662,46
19745,2566876,19756,1108083,0,19763,47
19845,2566876,19855,1056385,0,19863,46
19946,2566976,19956,1295637,112191,19963,50
20046,2566828,20056,1145778,0,20064,43
20147,2567084,20159,876614,0,20169,44
20248,2567096,20259,968993,0,20266,44
20348,2567104,20361,760506,0,20370,46
20449,2567192,20462,843046,0,20471,48
20551,2565664,20564,812723,0,20573,46
20651,2565764,20664,765427,0,20674,48
20752,2566012,20765,780862,0,20775,48
20853,2566212,20868,788504,0,20887,40
20951,2566312,20962,1040715,0,20969,42
21053,2566560,21066,1083646,0,21074,48
21155,2566776,21170,798422,0,21177,41
21259,2566964,21273,802165,0,21280,44
21354,2567616,21365,1259394,75948,21372,44
