Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
29,2510220,32,5110526,3461741,36,68
131,2516960,134,4774206,3125421,137,74
231,2531072,234,4531217,2882432,238,48
331,2535880,334,3056875,1408090,337,45
431,2540840,434,2456056,807271,436,34
531,2545832,534,2504278,855493,536,38
632,2551040,634,2672628,1023843,637,39
732,2556000,735,2507716,858931,737,36
833,2560960,835,2489937,841152,838,37
933,2568136,935,2342804,694019,938,34
1034,2574152,1036,2468427,819642,1038,37
1134,2529124,1136,2450355,801570,1139,37
1234,2477772,1237,2041660,392875,1239,27
1335,2477824,1337,1273006,0,1340,25
1438,2477824,1450,1208246,0,1461,26
1538,2477876,1549,1272965,0,1560,28
1639,2478124,1651,1255226,0,1662,27
1739,2478176,1750,1312644,0,1759,28
1840,2477980,1849,1300985,0,1860,26
1941,2478032,1953,1337945,0,1965,31
2042,2478032,2054,1300586,0,2066,32
2142,2478104,2154,1294106,0,2167,30
2243,2478352,2255,1224446,0,2269,26
2344,2478156,2356,1221206,0,2369,25
2444,2478156,2457,1280610,0,2470,28
2545,2478156,2557,1280001,0,2568,24
2645,2478404,2656,1431762,0,2667,28
2745,2478404,2754,1471226,0,2764,32
2845,2480116,2852,2136340,487555,2863,27
2946,2477488,2955,1971428,322643,2963,29
3046,2477096,3055,1770665,121880,3063,24
3147,2477228,3154,1921237,272452,3162,27
3197,2477228,3204,1957087,308302,3211,30
3297,2477476,3304,1684624,35839,3312,24
3397,2481676,3405,1935577,286792,3412,26
3498,2481924,3505,1684624,35839,3513,23
3599,2481776,3607,1871046,222261,3614,30
3698,2481828,3701,1657465,8680,3704,25
3798,2481684,3801,1482976,0,3805,23
3899,2481684,3902,1511644,0,3905,28
3999,2482436,4003,3151849,1503064,4006,47
4100,2483404,4102,3197133,1548348,4105,49
4200,2488080,4203,3273741,1624956,4207,50
4301,2499836,4303,2652380,1003595,4306,52
4402,2498160,4405,3432484,1783699,4407,40
4502,2499340,4505,2177010,528225,4507,28
4602,2500848,4605,1673489,24704,4608,24
4703,2501544,4706,1780310,131525,4709,29
