Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
80,2557536,83,3201452,1584572,87,59
180,2575048,184,4070610,2453730,187,47
281,2589844,285,4025119,2408239,289,62
381,2600108,386,4358088,2741208,392,63
481,2612196,485,4590676,2973796,488,52
582,2621060,585,3614041,1997161,589,55
682,2630800,688,2646927,1030047,690,36
782,2657232,786,3487981,1871101,791,80
883,2660412,886,4623327,3006447,890,55
983,2666092,986,3661046,2044166,988,48
1084,2671548,1086,3190757,1573877,1088,41
1185,2677500,1191,2709947,1093067,1199,43
1286,2684248,1305,2695607,1078727,1311,47
1386,2687968,1392,3283174,1666294,1398,45
1486,2594360,1493,2676066,1059186,1499,38
1587,2594360,1595,2136340,519460,1601,35
1688,2594572,1696,2337102,720222,1701,32
1788,2594580,1796,2129170,512290,1801,34
1889,2594384,1899,2324732,707852,1902,34
1989,2594384,1992,2170721,553841,1995,31
2089,2594384,2092,2098727,481847,2095,31
2190,2594384,2193,1746035,129155,2196,34
2291,2594384,2294,1850052,233172,2296,32
2392,2594188,2394,2054170,437290,2398,34
2504,2595016,2507,2463020,846140,2511,39
2592,2593580,2595,2529226,912346,2597,35
2694,2593536,2701,2517062,900182,2709,32
2794,2593612,2803,2645416,1028536,2810,47
2895,2593612,2903,2778711,1161831,2911,42
2996,2593612,3004,2497608,880728,3011,31
3096,2594108,3106,2337102,720222,3112,36
3195,2594160,3198,2113361,496481,3201,29
3295,2594016,3298,1906897,290017,3300,30
3396,2593820,3399,1957580,340700,3403,31
3496,2593624,3500,2291144,674264,3503,31
3597,2593864,3600,1969959,353079,3603,26
3697,2593648,3700,1962495,345615,3703,29
3798,2593584,3801,1734542,117662,3804,27
3898,2609204,3901,2819555,1202675,3903,59
3999,2610616,4001,3531016,1914136,4004,40
4099,2613440,4102,2116004,499124,,
