Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
7,2554896,10,4705062,3123162,14,64
129,2558800,134,4433186,2851286,140,60
185,2563396,189,4739134,3157234,192,73
286,2574524,288,5247450,3665550,291,64
387,2585196,391,3971610,2389710,394,56
488,2597932,493,2673402,1091502,498,49
588,2611156,591,3306954,1725054,594,77
690,2619588,697,5362774,3780874,704,75
790,2630292,798,4619347,3037447,805,62
891,2632748,898,4798513,3216613,906,56
991,2626208,1000,3641712,2059812,1007,43
1091,2532912,1097,2348004,766104,1103,32
1193,2533160,1200,1514643,0,1208,25
1294,2533160,1302,1659267,77367,1312,27
1396,2533284,1406,1392429,0,1418,30
1496,2532524,1506,1629081,47181,1518,29
1597,2532396,1610,1368603,0,1623,28
1698,2532200,1711,1386948,0,1724,30
1798,2532448,1809,1451526,0,1820,30
1899,2532500,1912,1303317,0,1924,25
2001,2532552,2016,1246209,0,2029,26
2101,2532800,2116,1314078,0,2128,28
2202,2532852,2217,1290866,0,2229,31
2301,2532904,2312,1523757,0,2323,29
2402,2532708,2413,1408845,0,2425,26
2503,2533204,2519,1316922,0,2531,29
2603,2533204,2617,1333628,0,2632,27
2702,2536372,2710,2165020,583120,2718,30
2802,2534940,2808,1577072,0,2814,21
2903,2534964,2909,1544891,0,2916,23
3004,2534820,3011,1770038,188138,3018,27
3104,2535360,3111,1594435,12535,3118,30
3205,2535464,3212,1744046,162146,3219,28
3305,2539928,3312,1594435,12535,3318,25
3405,2540212,3412,1935577,353677,3417,28
3506,2540452,3512,1885386,303486,3517,28
3606,2540700,3612,1777835,195935,3617,25
3707,2541172,3712,1670284,88384,3717,21
3808,2541172,3816,1476691,0,3823,22
3907,2541408,3909,2120531,538631,3911,27
4007,2542584,4010,3502890,1920990,4013,56
4108,2543824,4110,3701890,2119990,4113,62
4209,2554644,4212,4528747,2946847,4216,70
4310,2551588,4313,4708794,3126894,4317,75
4410,2551784,4413,4838943,3257043,4417,72
4510,2552872,4514,5230568,3648668,4517,67
4611,2548088,4614,4385933,2804033,4616,58
4711,2551716,4714,3849057,2267157,4716,51
4812,2549860,4816,3142830,1560930,4819,44
4912,2545560,4915,2576185,994285,4918,35
5012,2546248,5015,2256763,674863,5017,32
5194,2543112,5202,1364820,0,5207,17
5239,2543112,5245,1655943,74043,5251,30
5342,2543112,5353,1255765,0,5364,26
5442,2543156,5453,1309277,0,5463,26
5543,2543156,5554,1267232,0,5564,27
5643,2543652,5655,1291659,0,5665,25
5744,2543704,5755,1278699,0,5766,25
5845,2543952,5855,1317307,0,5867,28
5947,2544396,5958,1275757,0,5969,27
6046,2544644,6059,1250366,0,6070,29
6147,2545140,6158,1349412,0,6170,30
6247,2545192,6259,1303544,0,6270,30
6348,2545440,6360,1268186,0,6372,27
6450,2545884,6461,1322084,0,6472,26
6549,2546224,6559,1387256,0,6569,30
6650,2546696,6661,1328965,0,6673,28
6701,2546944,6711,1602554,20654,6721,36
6799,2545232,6807,1973448,391548,6814,33
6903,2545232,6913,1345287,0,6923,30
7002,2545284,7014,1314897,0,7026,26
7102,2545284,7112,1476385,0,7123,32
7203,2545532,7212,1395505,0,7221,26
7302,2547368,7310,2767308,1185408,7317,44
7402,2549796,7410,2877536,1295636,7417,41
7505,2545720,7512,2678329,1096429,7518,38
7603,2545920,7609,1780098,198198,7615,22
7704,2548916,7711,1813685,231785,7717,28
7804,2549624,7810,1318949,0,7815,14
7905,2546488,7911,1562732,0,7918,26
8004,2546096,8009,1835196,253296,8015,22
8105,2545704,8110,1693363,111463,8116,25
8205,2545772,8211,1820856,238956,8216,25
8306,2546016,8311,2021618,439718,8317,32
8407,2546100,8412,1978598,396698,8417,29
8507,2546196,8512,1462351,0,8518,19
8607,2546196,8612,1741985,160085,8618,25
8709,2546444,8716,1639319,57419,8724,29
8809,2548428,8816,2301252,719352,8823,34
8908,2548476,8911,1741985,160085,8913,22
9008,2548280,9010,1529604,0,9013,25
9108,2548528,9110,1519630,0,9113,24
9208,2548528,9211,1474747,0,9213,22
9309,2550260,9313,2007278,425378,9317,34
9410,2545792,9413,2242422,660522,9415,28
9510,2545952,9512,1243794,0,9515,22
9611,2546076,9614,1148980,0,9617,25
9715,2546324,9729,1180224,0,9742,28
9815,2546324,9827,1339203,0,9838,28
9915,2546128,9924,1389588,0,9934,28
10016,2546180,10024,1375982,0,10034,25
10149,2546232,10157,1608019,26119,10163,26
10215,2546480,10217,1876160,294260,10219,25
10399,2546480,10407,1441258,0,10412,21
10449,2546408,10455,2064639,482739,10461,30
10550,2546564,10557,1664254,82354,10564,29
10652,2546368,10660,1451526,0,10668,27
10753,2546864,10762,1435110,0,10772,26
10852,2547112,10860,1481075,0,10868,31
10953,2546916,10962,1333331,0,10972,23
11055,2546720,11068,1195286,0,11079,25
11155,2546968,11166,1322656,0,11176,25
11257,2547464,11271,1190267,0,11283,28
11357,2547464,11368,1284432,0,11379,28
11458,2547640,11471,1290166,0,11482,28
11559,2547680,11571,1273606,0,11581,29
11658,2547680,11667,1423395,0,11676,28
11759,2546948,11770,1317307,0,11781,29
11860,2546948,11872,1276788,0,11883,26
11960,2547196,11971,1445707,0,11983,27
12060,2547692,12069,1497491,0,12079,31
12160,2546168,12169,1676136,94236,12178,30
12261,2546168,12270,1415411,0,12279,25
12361,2546168,12370,1356314,0,12379,24
12462,2546420,12471,1290650,0,12481,24
12562,2546488,12571,1385862,0,12581,25
12662,2546488,12670,1644306,62406,12679,27
12763,2546520,12770,1639319,57419,12779,26
12863,2546572,12870,1489708,0,12878,23
12963,2546820,12971,1484721,0,12978,23
13064,2547068,13071,1584461,2561,13079,27
13165,2547120,13174,1484358,0,13184,26
13265,2546924,13272,1639319,57419,13280,30
13366,2546976,13376,1381560,0,13386,25
13467,2547348,13480,1309277,0,13491,29
13567,2547264,13579,1278699,0,13591,29
13618,2547264,13629,1452542,0,13641,31
13719,2547316,13731,1247126,0,13744,28
13819,2547316,13833,1268186,0,13844,28
13919,2547564,13930,1366272,0,13940,28
14020,2547368,14031,1347618,0,14042,30
14121,2547420,14133,1307749,0,14147,26
14221,2547668,14232,1354613,0,14243,26
14321,2547916,14330,1474509,0,14338,31
14421,2547916,14431,1484358,0,14439,27
14522,2548132,14535,1568678,0,14542,32
14621,2548132,14628,2114829,532929,14635,28
14722,2548184,14730,1770665,188765,14737,29
14823,2545884,14830,2027320,445420,14836,24
14926,2545884,14934,1534052,0,14939,22
15023,2546120,15025,1741985,160085,15030,26
15122,2545924,15125,1709858,127958,15127,25
15223,2546172,15226,1770336,188436,15232,28
15360,2546172,15367,1601667,19767,15374,23
