Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
25,2657336,29,3952169,2612296,32,59
126,2669300,129,3808680,2468807,133,56
227,2655872,231,3574711,2234838,235,55
326,2673824,331,4178000,2838127,335,65
376,2677068,380,4665860,3325987,385,70
477,2689372,483,4621871,3281998,486,58
578,2701968,582,4266478,2926605,587,76
678,2714880,684,5965649,4625776,688,92
780,2713516,785,6296682,4956809,799,90
881,2703852,888,5724456,4384583,903,0
985,2712016,995,3731760,2391887,1000,0
1085,2709296,1097,4724457,3384584,1101,96
1185,2712396,1191,6631786,5291913,1197,95
1286,2713072,1290,6301364,4961491,1294,90
1386,2709872,1389,5869721,4529848,1392,70
1488,2636560,1492,4365804,3025931,1494,50
1589,2631688,1591,3383762,2043889,1593,43
1688,2639016,1691,2851880,1512007,1693,42
1790,2644088,1792,2909241,1569368,1795,43
1889,2547656,1892,2676360,1336487,1895,40
1990,2547656,1993,2213742,873869,1995,32
2092,2547460,2100,1845568,505695,2109,26
2192,2547460,2200,1856706,516833,2209,28
2293,2547264,2306,1964257,624384,2311,31
2392,2547512,2395,2064639,724766,2397,29
2494,2547512,2504,1883624,543751,2512,32
2593,2547464,2596,2361376,1021503,2604,30
2694,2550552,2696,2007278,667405,2699,30
2794,2548596,2797,2183887,844014,2800,32
2894,2548596,2897,2844710,1504837,2900,42
2995,2548204,3012,2066902,727029,3022,31
3095,2546988,3098,2401252,1061379,3101,36
3196,2546988,3198,2337015,997142,3201,31
3296,2546988,3299,1876121,536248,3301,35
3396,2547288,3398,2493876,1154003,3403,34
3497,2547336,3499,2231814,891941,3502,32
3598,2547140,3600,1802015,462142,3603,27
3698,2547552,3701,2341335,1001462,3704,34
3800,2547608,3802,1780310,440437,3805,33
3900,2547608,3903,2177890,838017,3906,32
4001,2547412,4005,2167742,827869,4008,35
4103,2547672,4111,2252608,912735,4122,34
4202,2547672,4209,2561638,1221765,4218,35
4303,2547512,4310,2028788,688915,4319,30
4403,2547512,4421,2301252,961379,4428,35
4504,2547516,4513,2242716,902843,4520,35
4605,2547516,4615,2172190,832317,4622,34
4704,2548056,4706,2017324,677451,4709,28
4804,2548064,4806,2136340,796467,4809,35
4905,2547868,4908,1994544,654671,4910,37
5005,2543584,5008,2871835,1531962,5010,48
5105,2553352,5108,3802011,2462138,5115,46
5207,2541920,5216,2970541,1630668,5221,45
5306,2541920,5309,2427877,1088004,5312,34
5409,2541528,5419,2101095,761222,5430,32
5509,2541380,5530,2242000,902127,5542,32
5608,2538180,5617,2376304,1036431,5621,39
5708,2538264,5711,2634928,1295055,5714,31
5808,2538180,5812,1969371,629498,5814,30
5909,2538180,5912,1876367,536494,5914,32
6009,2538232,6012,1993867,653994,6015,33
6110,2538232,6113,2577861,1237988,6115,32
6210,2538448,6213,2056000,716127,6215,27
6312,2538304,6319,2093319,753446,6327,32
6413,2538304,6421,1892557,552684,6430,31
6513,2538304,6521,2157850,817977,6529,29
6613,2538304,6620,2310685,970812,6628,32
6714,2538536,6722,1971428,631555,6730,34
6813,2538800,6820,2401633,1061760,6827,33
6915,2538604,6925,2179360,839487,6931,37
7014,2538604,7017,2243510,903637,7020,29
7115,2551964,,,,,
